variant,scenario,cost_bps,annual_borrow_fee,full_observations,full_years,full_total_return,full_annual_return,full_annual_volatility,full_sharpe_zero_rf,full_sortino_zero_target,full_max_drawdown,full_max_drawdown_duration_weeks,full_calmar,full_cvar_5_weekly,full_positive_week_share,full_worst_week,full_best_week,full_annual_turnover,full_mean_short_exposure,oos_2016_2020_observations,oos_2016_2020_years,oos_2016_2020_total_return,oos_2016_2020_annual_return,oos_2016_2020_annual_volatility,oos_2016_2020_sharpe_zero_rf,oos_2016_2020_sortino_zero_target,oos_2016_2020_max_drawdown,oos_2016_2020_max_drawdown_duration_weeks,oos_2016_2020_calmar,oos_2016_2020_cvar_5_weekly,oos_2016_2020_positive_week_share,oos_2016_2020_worst_week,oos_2016_2020_best_week,oos_2016_2020_annual_turnover,oos_2016_2020_mean_short_exposure,oos_2021_present_observations,oos_2021_present_years,oos_2021_present_total_return,oos_2021_present_annual_return,oos_2021_present_annual_volatility,oos_2021_present_sharpe_zero_rf,oos_2021_present_sortino_zero_target,oos_2021_present_max_drawdown,oos_2021_present_max_drawdown_duration_weeks,oos_2021_present_calmar,oos_2021_present_cvar_5_weekly,oos_2021_present_positive_week_share,oos_2021_present_worst_week,oos_2021_present_best_week,oos_2021_present_annual_turnover,oos_2021_present_mean_short_exposure
real,10bps_borrow3,10,0.03,1126,21.6538462,-0.0530308281,-0.00251319051,0.0185350759,-0.126485499,-0.173113389,-0.102214945,1008,-0.0245873098,-0.00649915404,0.068383659,-0.0286303278,0.0218100753,3.18650089,0.068383659,261,5.01923077,0.0169521131,0.00335473924,0.010821615,0.314881825,0.472445554,-0.0165785015,113,0.202354792,-0.00269255735,0.0498084291,-0.00999116071,0.0125326874,1.1954023,0.0341954023,293,5.63461538,-0.0402597207,-0.00726635143,0.0303251256,-0.225325492,-0.300614684,-0.0841465957,227,-0.0863534807,-0.012099161,0.0716723549,-0.0286303278,0.0218100753,3.54948805,0.0711604096
real,50bps_borrow3,50,0.03,1126,21.6538462,-0.281970593,-0.0151808621,0.0200863468,-0.751393035,-0.903212923,-0.303840618,1009,-0.0499632413,-0.00880778145,0.0586145648,-0.0286303278,0.0194607377,3.18650089,0.068383659,261,5.01923077,-0.00724593834,-0.00144784174,0.0117911543,-0.116997439,-0.151756333,-0.0246273556,155,-0.0587899797,-0.00371280741,0.0421455939,-0.0100610436,0.0125326874,1.1954023,0.0341954023,293,5.63461538,-0.114181147,-0.0212876446,0.0312085536,-0.673717088,-0.832664823,-0.138790056,258,-0.153380186,-0.0136021531,0.0614334471,-0.0286303278,0.0194607377,3.54948805,0.0711604096
real,100bps_borrow3,100,0.03,1126,21.6538462,-0.492753469,-0.0308596588,0.0251699056,-1.23233359,-1.33517331,-0.495664017,1009,-0.0622592274,-0.0128120393,0.053285968,-0.0286303278,0.0194607377,3.18650089,0.068383659,261,5.01923077,-0.0368169675,-0.00744576133,0.0148093119,-0.497211878,-0.57499998,-0.0392892309,155,-0.189511506,-0.00576069553,0.0383141762,-0.0150607102,0.0125326874,1.1954023,0.0341954023,293,5.63461538,-0.198992053,-0.0386135362,0.0349579317,-1.10849521,-1.25602852,-0.207991252,283,-0.185649809,-0.0162568643,0.0546075085,-0.0286303278,0.0194607377,3.54948805,0.0711604096
real,100bps_borrow8,100,0.08,1126,21.6538462,-0.528817217,-0.0341548486,0.0254495901,-1.35224902,-1.44198488,-0.529932766,1113,-0.0644512867,-0.013119258,0.0461811723,-0.0291148822,0.0189570958,3.18650089,0.068383659,261,5.01923077,-0.0450007976,-0.00913172164,0.0148979228,-0.608256282,-0.685158017,-0.0450007976,155,-0.202923551,-0.00603545237,0.0383141762,-0.0153553117,0.0120317864,1.1954023,0.0341954023,293,5.63461538,-0.214661805,-0.0419785035,0.0352019111,-1.20008286,-1.33778805,-0.221789872,283,-0.189271508,-0.016589573,0.0546075085,-0.0291148822,0.0189570958,3.54948805,0.0711604096
inverted,10bps_borrow3,10,0.03,1126,21.6538462,-0.165959939,-0.00834565483,0.0189296795,-0.433227401,-0.567725426,-0.200580276,1113,-0.0416075548,-0.00727903651,0.0595026643,-0.0241278743,0.0284128222,3.18650089,0.068383659,261,5.01923077,-0.0390059013,-0.0078955789,0.0111935915,-0.702523527,-0.835702179,-0.0425488257,154,-0.185565143,-0.00487336788,0.0268199234,-0.0130221532,0.00944256144,1.1954023,0.0341954023,293,5.63461538,-0.0283420979,-0.00508965693,0.03066671,-0.151108242,-0.212124942,-0.0686748423,286,-0.0741123934,-0.0116635869,0.0716723549,-0.0241278743,0.0284128222,3.54948805,0.0711604096
inverted,50bps_borrow3,50,0.03,1126,21.6538462,-0.367706038,-0.0209469885,0.021655618,-0.966497672,-1.14095735,-0.385681313,1113,-0.05431165,-0.00949860208,0.0452930728,-0.0280656932,0.0284128222,3.18650089,0.068383659,261,5.01923077,-0.0618551731,-0.0126406873,0.0127167541,-0.993874126,-1.10290875,-0.0618551731,155,-0.20435942,-0.00601315188,0.0191570881,-0.0130221532,0.00944256144,1.1954023,0.0341954023,293,5.63461538,-0.103349903,-0.0191743941,0.0329029348,-0.571886734,-0.74342098,-0.12884047,286,-0.148822758,-0.0133040426,0.0614334471,-0.0280656932,0.0284128222,3.54948805,0.0711604096
inverted,100bps_borrow3,100,0.03,1126,21.6538462,-0.553416976,-0.036543583,0.0276002446,-1.33445592,-1.44437688,-0.559498913,1113,-0.0653148418,-0.0138082747,0.0444049734,-0.0340922954,0.0284128222,3.18650089,0.068383659,261,5.01923077,-0.0897784212,-0.0185668337,0.0161200261,-1.15432302,-1.21989193,-0.0897784212,155,-0.206807309,-0.00790044735,0.0191570881,-0.0168279151,0.00944256144,1.1954023,0.0341954023,293,5.63461538,-0.189389923,-0.0365782117,0.0379590007,-0.962332622,-1.14106809,-0.200429482,286,-0.182499158,-0.0169582194,0.0614334471,-0.0329879668,0.0284128222,3.54948805,0.0711604096
inverted,100bps_borrow8,100,0.08,1126,21.6538462,-0.585172986,-0.0398200091,0.0279073922,-1.44142772,-1.53884759,-0.588339946,1113,-0.0676819743,-0.0141054661,0.0408525755,-0.0342863177,0.0279056336,3.18650089,0.068383659,261,5.01923077,-0.0975173166,-0.0202349982,0.0164237391,-1.23621324,-1.28949351,-0.0975173166,155,-0.207501589,-0.008266932,0.0191570881,-0.0172196709,0.00894288369,1.1954023,0.0341954023,293,5.63461538,-0.205246612,-0.0399501091,0.0381392569,-1.0494499,-1.22305898,-0.211314087,286,-0.189055588,-0.0173104196,0.0614334471,-0.0334707819,0.0279056336,3.54948805,0.0711604096
random_pairs,10bps_borrow3,10,0.03,1126,21.6538462,-0.0145359917,-0.000675987281,0.0227377851,-0.018406517,-0.0278347754,-0.0911134865,719,-0.00741917917,-0.00790783605,0.0674955595,-0.0260901756,0.0278466295,3.87921847,0.0588291889,261,5.01923077,-0.0258963271,-0.00521376365,0.020814423,-0.240716456,-0.304275501,-0.0544431459,216,-0.0957652899,-0.00758763436,0.061302682,-0.0260901756,0.0181067031,3.5862069,0.0423371648,293,5.63461538,-0.00958292776,-0.00170746639,0.0237489555,-0.0601490114,-0.0882852905,-0.0683535161,263,-0.0249799351,-0.00843665215,0.0682593857,-0.0221114157,0.0278466295,4.25938567,0.0593003413
random_pairs,50bps_borrow3,50,0.03,1126,21.6538462,-0.296400597,-0.0161037374,0.0249582151,-0.63790301,-0.828909403,-0.325441462,1085,-0.0494827467,-0.0102858984,0.0515097691,-0.0300279808,0.0278466295,3.87921847,0.0588291889,261,5.01923077,-0.0938013986,-0.0194325865,0.0237586422,-0.81388824,-0.929600234,-0.0938013986,216,-0.207167343,-0.0103084298,0.0383141762,-0.0300279808,0.0181067031,3.5862069,0.0423371648,293,5.63461538,-0.100498209,-0.0186215025,0.0256811723,-0.719015579,-0.930749594,-0.143657098,263,-0.129624659,-0.0104700838,0.0546075085,-0.0221114157,0.0278466295,4.25938567,0.0593003413
