candidate,signal_horizon_weeks,calibration_weeks,state_quantile,state_mode,low_active_weight,high_active_weight,high_state_share_when_active,state_transitions,controller_annual_one_way_turnover,peak_total_stock_weight,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates,joint_improvement
h26__cal26__q40__breadth_high__w50_80,26,26,0.4,breadth_high,0.5,0.8,0.49019607843137253,13,4.093617021276595,0.07378789503220702,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,True,True
h26__cal26__q40__breadth_high__w25_80,26,26,0.4,breadth_high,0.25,0.8,0.49019607843137253,13,3.2638297872340427,0.07378789503220702,1.1293348809519004,2.806327722237252,-0.0913011541255736,0.4176553458840251,1.0000080831418994,True,True
h26__cal26__q60__breadth_high__w50_80,26,26,0.6,breadth_high,0.5,0.8,0.3333333333333333,19,4.093617021276595,0.07378789503220702,1.1062451451646256,2.787459357722604,-0.09130115412557316,0.41655612410248954,0.9592308136648142,True,True
h26__cal52__q40__breadth_high__w50_80,26,52,0.4,breadth_high,0.5,0.8,0.29411764705882354,15,4.093617021276595,0.07378789503220702,1.1062451451646242,2.7874593577226032,-0.09130115412557327,0.4182581516626187,0.9592308136648138,True,True
h26__cal52__q60__breadth_high__w50_80,26,52,0.6,breadth_high,0.5,0.8,0.17647058823529413,19,3.927659574468085,0.07378789503220702,1.1007330007576281,2.7880469519393642,-0.08708758375337322,0.41748452537920944,0.9536672893175486,True,True
h26__cal26__q40__breadth_high__w25_65,26,26,0.4,breadth_high,0.25,0.65,0.49019607843137253,13,2.807446808510638,0.059952664713668204,1.090027606283158,2.7533151379549925,-0.09346477954472143,0.4123618015665409,0.9658121553688181,True,True
h26__cal26__q40__breadth_high__w50_65,26,26,0.4,breadth_high,0.5,0.65,0.49019607843137253,13,3.6372340425531915,0.059952664713668204,1.090027606283157,2.7533151379549894,-0.09346477954472165,0.4147757002621173,0.9658121553688166,True,True
h26__cal52__q40__breadth_high__w25_80,26,52,0.4,breadth_high,0.25,0.8,0.29411764705882354,15,3.2638297872340423,0.07378789503220702,1.0869704589616673,2.7686533955387245,-0.0913011541255736,0.41423775820917563,0.9251883220127395,False,True
h26__cal26__q60__breadth_high__w25_80,26,26,0.6,breadth_high,0.25,0.8,0.3333333333333333,19,3.2638297872340423,0.07378789503220702,1.0869704589616673,2.7686533955387254,-0.09130115412557349,0.4111738585454716,0.9251883220127393,False,True
h26__cal52__q40__breadth_high__w50_65,26,52,0.4,breadth_high,0.5,0.65,0.29411764705882354,15,3.6372340425531915,0.059952664713668204,1.0787249590670007,2.7434525574541584,-0.09346477954472165,0.41389592654369545,0.9459860862732969,True,True
h26__cal26__q60__breadth_high__w50_65,26,26,0.6,breadth_high,0.5,0.65,0.3333333333333333,19,3.6372340425531915,0.059952664713668204,1.0787249590670007,2.74345255745416,-0.09346477954472121,0.41303011420912816,0.9459860862732965,True,True
h26__cal52__q60__breadth_high__w25_80,26,52,0.6,breadth_high,0.25,0.8,0.17647058823529413,19,2.959574468085106,0.07378789503220702,1.076353366717897,2.7588665277493454,-0.08823384495424702,0.41271118394433803,0.9150122160900649,False,True
h26__cal52__q60__breadth_high__w50_65,26,52,0.6,breadth_high,0.5,0.65,0.17647058823529413,19,3.5542553191489366,0.059952664713668204,1.0759028976961025,2.741660796529804,-0.09275979014889435,0.41346736208149193,0.9431937096508658,True,True
h26__cal26__q60__breadth_high__w25_65,26,26,0.6,breadth_high,0.25,0.65,0.3333333333333333,19,2.8074468085106385,0.059952664713668204,1.05970588196532,2.7245623631996083,-0.09346477954472154,0.40766380430628546,0.9122302897940096,False,False
h26__cal52__q40__breadth_high__w25_65,26,52,0.4,breadth_high,0.25,0.65,0.29411764705882354,15,2.8074468085106385,0.059952664713668204,1.0597058819653191,2.724562363199607,-0.09346477954472143,0.4098908314955665,0.9122302897940091,False,True
h26__cal52__q60__breadth_high__w25_65,26,52,0.6,breadth_high,0.25,0.65,0.17647058823529413,19,2.586170212765958,0.059952664713668204,1.0518151650608978,2.712011612780393,-0.09619738799552091,0.408710468119442,0.9048020411836319,False,False
h26__cal26__q40__breadth_high__w00_50,26,26,0.4,breadth_high,0.0,0.5,0.49019607843137253,13,1.521276595744681,0.046117434395129386,1.0510082013109456,2.6918745642719997,-0.10076752452473337,0.4044833864484467,0.9320198735415854,False,False
h26__cal26__q60__breadth_high__w00_50,26,26,0.6,breadth_high,0.0,0.5,0.3333333333333333,19,1.521276595744681,0.046117434395129386,1.0136570527330382,2.651397299492894,-0.10076752452473348,0.3986063026051292,0.8658997968892128,False,False
h26__cal52__q40__breadth_high__w00_50,26,52,0.4,breadth_high,0.0,0.5,0.29411764705882354,15,1.521276595744681,0.046117434395129386,1.0136570527330377,2.6513972994928947,-0.10076752452473325,0.40132913563368056,0.8658997968892135,False,False
h26__cal52__q60__breadth_high__w00_50,26,52,0.6,breadth_high,0.0,0.5,0.17647058823529413,19,1.2446808510638299,0.046117434395129386,1.0031511026436664,2.619896391659333,-0.10784858990052337,0.3996776024504287,0.8566093078275845,False,False
