candidate,signal_horizon_weeks,calibration_weeks,state_quantile,state_mode,low_active_weight,high_active_weight,high_state_share_when_active,state_transitions,controller_annual_one_way_turnover,peak_total_stock_weight,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates
h26__cal26__q40__breadth_high__w50_80,26,26,0.4,breadth_high,0.5,0.8,0.49019607843137253,13,4.093617021276595,0.07378789503220702,1.1293348809519004,2.8063277222372536,-0.09130115412557338,0.4200790331177189,1.0000080831418994,True
h26__cal26__q40__breadth_high__w25_80,26,26,0.4,breadth_high,0.25,0.8,0.49019607843137253,13,3.2638297872340427,0.07378789503220702,1.1293348809519004,2.806327722237252,-0.0913011541255736,0.4176553458840251,1.0000080831418994,True
h26__cal26__q40__breadth_or_dispersion_high__w25_80,26,26,0.4,breadth_or_dispersion_high,0.25,0.8,0.5294117647058824,15,3.568085106382979,0.07378789503220702,1.1293348809519,2.806327722237253,-0.09130115412557327,0.41209633658120826,1.0000080831418994,True
h26__cal26__q40__breadth_or_dispersion_high__w50_80,26,26,0.4,breadth_or_dispersion_high,0.5,0.8,0.5294117647058824,15,4.259574468085106,0.07378789503220702,1.1293348809518982,2.80632772223725,-0.09130115412557349,0.4170444977861332,1.0000080831419003,True
h26__cal26__q40__breadth_high_dispersion_low__w50_80,26,26,0.4,breadth_high_dispersion_low,0.5,0.8,0.09803921568627451,9,3.595744680851064,0.07378789503220702,1.1159400056826878,2.7880847242101563,-0.0957519240708703,0.41920594107254305,0.9869538477481679,True
h13__cal26__q40__breadth_or_dispersion_high__w50_80,13,26,0.4,breadth_or_dispersion_high,0.5,0.8,0.6666666666666666,20,4.840425531914893,0.07378789503220702,1.109144861216531,2.7781684139103424,-0.09130115412557338,0.41109101841042306,0.9720507216995795,True
h13__cal26__q40__breadth_high__w50_80,13,26,0.4,breadth_high,0.5,0.8,0.5490196078431373,22,4.840425531914893,0.07378789503220702,1.1091448612165298,2.7781684139103415,-0.09130115412557338,0.41331429008963094,0.9720507216995771,True
h26__cal26__q60__breadth_high__w50_80,26,26,0.6,breadth_high,0.5,0.8,0.3333333333333333,19,4.093617021276595,0.07378789503220702,1.1062451451646256,2.787459357722604,-0.09130115412557316,0.41655612410248954,0.9592308136648142,True
h26__cal52__q40__breadth_or_dispersion_high__w50_80,26,52,0.4,breadth_or_dispersion_high,0.5,0.8,0.47058823529411764,9,4.093617021276595,0.07378789503220702,1.1062451451646247,2.7874593577226032,-0.09130115412557327,0.4228918101894892,0.959230813664814,True
h26__cal26__q60__breadth_or_dispersion_high__w50_80,26,26,0.6,breadth_or_dispersion_high,0.5,0.8,0.43137254901960786,17,4.259574468085106,0.07378789503220702,1.1062451451646247,2.787459357722602,-0.09130115412557327,0.41514211173256,0.9592308136648147,True
