candidate,recent_cagr,full_cagr,completed_rolling_windows,rolling_outperformance_share,neighborhood_joint_improvement_share,bootstrap_4w_probability_positive,bootstrap_13w_probability_positive,controller_one_week_delay_recent_cagr,controller_two_week_delay_recent_cagr,overlay_one_week_delay_recent_cagr,overlay_two_week_delay_recent_cagr,preliminary_robustness_gates
h26__cal26__q40__breadth_high__w50_80,1.1293348809519004,0.4200790331177189,163,0.1901840490797546,0.7,0.884,0.7966,1.129334880951899,1.129334880951899,1.0157224126704927,1.0913590251045484,False
h26__cal26__q40__breadth_high__w25_80,1.1293348809519004,0.4176553458840251,163,0.3558282208588957,0.7,0.884,0.7966,1.1293348809518982,1.1293348809518982,1.0157224126704931,1.0913590251045484,False
h26__cal26__q40__breadth_or_dispersion_high__w25_80,1.1293348809519,0.41209633658120826,163,0.2822085889570552,0.55,0.884,0.7966,1.1293348809518986,1.1293348809518986,1.0157224126704936,1.0913590251045489,False
h26__cal26__q40__breadth_or_dispersion_high__w50_80,1.1293348809518982,0.4170444977861332,163,0.09815950920245399,0.55,0.884,0.7966,1.129334880951899,1.1293348809518986,1.0157224126704922,1.091359025104548,False
h26__cal26__q40__breadth_high_dispersion_low__w50_80,1.1159400056826878,0.41920594107254305,163,0.024539877300613498,0.55,0.7954,0.744,1.0814739529445023,1.0646898319586908,1.0440289595248604,1.0913590251045475,False
h13__cal26__q40__breadth_or_dispersion_high__w50_80,1.109144861216531,0.41109101841042306,163,0.27607361963190186,0.45,0.8416,0.7642,1.1293348809518986,1.1293348809518982,0.9966096485595455,1.0715290864845928,False
h13__cal26__q40__breadth_high__w50_80,1.1091448612165298,0.41331429008963094,163,0.26993865030674846,0.45,0.8416,0.7642,1.1293348809519004,1.129334880951899,0.9966096485595481,1.0715290864845932,False
h26__cal26__q60__breadth_high__w50_80,1.1062451451646256,0.41655612410248954,163,0.06748466257668712,0.7,0.8788,0.7912,1.0672123123761512,1.1528778457460045,0.9938646493165937,1.0686810857357938,False
h26__cal52__q40__breadth_or_dispersion_high__w50_80,1.1062451451646247,0.4228918101894892,163,0.2392638036809816,0.55,0.8788,0.7912,1.1091448612165289,1.1293348809518982,0.9938646493165955,1.068681085735796,False
h26__cal26__q60__breadth_or_dispersion_high__w50_80,1.1062451451646247,0.41514211173256,163,0.08588957055214724,0.55,0.8788,0.7912,1.109144861216531,1.1293348809518986,0.9938646493165937,1.0686810857357942,False
h26__cal52__q40__breadth_high__w50_80,1.1062451451646242,0.4182581516626187,163,0.07975460122699386,0.7,0.8788,0.7912,1.1091448612165307,1.129334880951899,0.9938646493165937,1.068681085735796,False
h26__cal26__q40__breadth_high_dispersion_low__w25_80,1.1040020076665291,0.4158359787838597,163,0.36809815950920244,0.55,0.7516,0.7402,1.040929679528099,1.0109497913996517,1.0676701561032127,1.0913590251045484,False
h26__cal52__q60__breadth_high__w50_80,1.1007330007576281,0.41748452537920944,163,0.06748466257668712,0.7,0.8812,0.7888,1.0171583202705534,1.0791263212859277,0.9945205429387638,1.0407115885188554,False
h13__cal26__q40__breadth_high_dispersion_low__w50_80,1.0958769940560273,0.41126955337995885,163,0.018404907975460124,0.2,0.7236,0.7062,1.0814739529445019,1.06468983195869,1.0246477971714683,1.0715290864845932,False
h26__cal52__q40__breadth_high_dispersion_low__w50_80,1.0929955190685874,0.4172998627959841,163,0.024539877300613498,0.55,0.791,0.7384,1.0617377430300614,1.0646898319586908,1.0218642502350428,1.0686810857357956,False
h13__cal26__q60__breadth_or_dispersion_high__w50_80,1.0922881489690228,0.4117517694964383,163,0.2147239263803681,0.45,0.7874,0.7364,1.1091448612165298,1.129334880951899,0.9806523404887502,1.0549730071155001,False
