candidate,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week
h13__cal26__q40__breadth_high__w00_50,base,50,full_recent,188,2023-01-06,2026-08-07,0.3935018458277426,1.5710419790411776,2.6125905939810985,-0.2177868814566093,2.7867434172751087,2.3189767731221256,0.2283619340530065,0.5957446808510638,0.11529536904474091,-0.12569620363330747
h13__cal26__q40__breadth_high__w00_50,base,50,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.3840142534373454,1.47870631343977,2.4449654207850036,-0.21778688145660985,3.315871914226078,1.684418180861472,0.2397402983630232,0.5949367088607594,0.11529536904474091,-0.12569620363330747
h13__cal26__q40__breadth_high__w00_50,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.3961994947439331,1.514102434328661,2.506179845718689,-0.2177868814566094,3.3369921175014032,1.739238714110292,0.24000490908623168,0.5987261146496815,0.11529536904474091,-0.12569620363330747
h13__cal26__q40__breadth_high__w00_50,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.5732102914782125,1.8463350965785599,3.1527331241244734,-0.21778688145660974,3.5000064197899112,1.496651465180205,0.26532784279161953,0.638095238095238,0.11529536904474091,-0.12569620363330747
h13__cal26__q40__breadth_high__w00_50,base,50,trailing_1y,53,2025-08-08,2026-08-07,1.0183958289033876,2.638146802125578,5.245488841086878,-0.10076752452473325,1.0303137891297856,1.045840852343627,0.282653225484131,0.660377358490566,0.11529536904474091,-0.0724939435810179
h13__cal26__q40__breadth_high__w00_50,base,50,ytd,32,2026-01-02,2026-08-07,1.0401564754114654,2.442712998400449,4.922918827926733,-0.10076752452473325,1.7064572132462072,0.5508226680650083,0.3130183984428034,0.625,0.11529536904474091,-0.0724939435810179
h13__cal26__q40__breadth_high__w00_50,base,100,full_recent,188,2023-01-06,2026-08-07,0.3466412319893042,1.4137810889826985,2.3089925266940696,-0.23406918165698265,2.787708482278607,1.9328871903230826,0.22964392405613754,0.5957446808510638,0.11524988102393063,-0.1275485828049835
h13__cal26__q40__breadth_high__w00_50,base,100,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.33264491484958936,1.3137858706377115,2.132276130672368,-0.2340691816569831,3.3170202194201144,1.3929853993308936,0.24115176052388534,0.5949367088607594,0.11524988102393063,-0.1275485828049835
h13__cal26__q40__breadth_high__w00_50,base,100,trailing_3y,157,2023-08-11,2026-08-07,0.34405629356411516,1.3479788565295816,2.1900882262434784,-0.23406918165698332,3.338147736741262,1.4418666467647552,0.2414503072314287,0.5987261146496815,0.11524988102393063,-0.1275485828049835
h13__cal26__q40__breadth_high__w00_50,base,100,trailing_2y,105,2024-08-09,2026-08-07,0.5124169987460361,1.6870992401920142,2.828793989865041,-0.23220750562011672,3.5009874823566007,1.3056762285012784,0.26711265626290853,0.638095238095238,0.11524988102393063,-0.1275485828049835
h13__cal26__q40__breadth_high__w00_50,base,100,trailing_1y,53,2025-08-08,2026-08-07,0.9736316514699868,2.552689242565914,5.02073553401729,-0.10380433990443372,1.0306242520839448,0.9996053757893688,0.2832840549309288,0.660377358490566,0.11524988102393063,-0.07293461104915766
h13__cal26__q40__breadth_high__w00_50,base,100,ytd,32,2026-01-02,2026-08-07,0.9940310550071936,2.363700993124633,4.716584276654252,-0.10380433990443372,1.7069714175140336,0.5291511332227945,0.31377576762767434,0.625,0.11524988102393063,-0.07293461104915766
h13__cal26__q40__breadth_high__w00_50,base,200,full_recent,188,2023-01-06,2026-08-07,0.2573209868848385,1.1010285750098947,1.7336398095498025,-0.3037551859358434,2.7896431734942793,1.2884221045254112,0.2329640257229253,0.5851063829787234,0.1151589049823103,-0.13124847902741354
h13__cal26__q40__breadth_high__w00_50,base,200,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.23525430277043502,0.9866211838227599,1.5422969603412606,-0.3037551859358435,3.3193222570691425,0.9001952030215661,0.24477194381401107,0.5886075949367089,0.1151589049823103,-0.13124847902741354
h13__cal26__q40__breadth_high__w00_50,base,200,trailing_3y,157,2023-08-11,2026-08-07,0.2452338331690318,1.0184782106647243,1.5937266898031928,-0.3037551859358435,3.340464437050475,0.9390298033377344,0.245139080445268,0.5923566878980892,0.1151589049823103,-0.13124847902741354
h13__cal26__q40__breadth_high__w00_50,base,200,trailing_2y,105,2024-08-09,2026-08-07,0.39745409215659144,1.3714743408220338,2.217951810444259,-0.2603335717705424,3.502954386144098,0.9654864420624356,0.27140833880048687,0.6285714285714286,0.1151589049823103,-0.13124847902741354
h13__cal26__q40__breadth_high__w00_50,base,200,trailing_1y,53,2025-08-08,2026-08-07,0.8868908893542671,2.3807038833083625,4.582663927131861,-0.1106082013983597,1.0312459029522276,0.9100714376094496,0.28481640461320545,0.660377358490566,0.1151589049823103,-0.0738156728585162
h13__cal26__q40__breadth_high__w00_50,base,200,ytd,32,2026-01-02,2026-08-07,0.9046998889595743,2.204977256558664,4.312967097408355,-0.1106082013983598,1.7080010267646273,0.4866233772542701,0.3155616823694831,0.625,0.1151589049823103,-0.0738156728585162
h13__cal26__q40__breadth_high__w00_50,adverse,50,full_recent,188,2023-01-06,2026-08-07,0.3575429140566313,1.4438620511080857,2.366443989011831,-0.23863735727876056,2.7920139108719475,2.019640242290328,0.23062554837599838,0.5851063829787234,0.11529536904474091,-0.12569620363330725
h13__cal26__q40__breadth_high__w00_50,adverse,50,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.3597494919231201,1.392929057915259,2.27639804710437,-0.23863735727876045,3.322143134455229,1.5439569074714647,0.2421536641297927,0.5886075949367089,0.11529536904474091,-0.12569620363330725
h13__cal26__q40__breadth_high__w00_50,adverse,50,trailing_3y,157,2023-08-11,2026-08-07,0.3715665697774313,1.4274675329059818,2.335249987364094,-0.23863735727876023,3.3433032818084465,1.5959089748594395,0.24244322254613956,0.5923566878980892,0.11529536904474091,-0.12569620363330725
h13__cal26__q40__breadth_high__w00_50,adverse,50,trailing_2y,105,2024-08-09,2026-08-07,0.5330687199244957,1.7301792841120784,2.9151560148973847,-0.23832521732437772,3.509828834725716,1.3696911024556138,0.26858084809750177,0.6285714285714286,0.11529536904474091,-0.12569620363330725
h13__cal26__q40__breadth_high__w00_50,adverse,50,trailing_1y,53,2025-08-08,2026-08-07,1.0183958289033903,2.6381468021255805,5.245488841086883,-0.10076752452473303,1.0303137891297856,1.0458408523436296,0.2826532254841312,0.660377358490566,0.11529536904474091,-0.0724939435810178
h13__cal26__q40__breadth_high__w00_50,adverse,50,ytd,32,2026-01-02,2026-08-07,1.0401564754114703,2.442712998400454,4.922918827926744,-0.10076752452473314,1.7064572132462072,0.5508226680650106,0.31301839844280355,0.625,0.11529536904474091,-0.0724939435810178
h13__cal26__q40__breadth_high__w00_50,adverse,100,full_recent,188,2023-01-06,2026-08-07,0.3117362080332078,1.28840207216811,2.0744624525478073,-0.2740736478864213,2.793156842409887,1.6672298749721097,0.2319106731422784,0.5797872340425532,0.11524988102393063,-0.12754858280498382
h13__cal26__q40__breadth_high__w00_50,adverse,100,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.3092221254118419,1.2299489578893628,1.9735422498862658,-0.2740736478864205,3.323503078310498,1.2674646302729693,0.24358422082982661,0.5886075949367089,0.11524988102393063,-0.12754858280498382
h13__cal26__q40__breadth_high__w00_50,adverse,100,trailing_3y,157,2023-08-11,2026-08-07,0.3202838071393417,1.2633275815797322,2.029168716332043,-0.2740736478864211,3.3446718877264887,1.31378187887419,0.24390710624016165,0.5923566878980892,0.11524988102393063,-0.12754858280498382
h13__cal26__q40__breadth_high__w00_50,adverse,100,trailing_2y,105,2024-08-09,2026-08-07,0.47372641860129683,1.5733742088323859,2.603660361961336,-0.2524405939653256,3.511128357608645,1.1881269935680776,0.27038601342634583,0.6285714285714286,0.11524988102393063,-0.12754858280498382
h13__cal26__q40__breadth_high__w00_50,adverse,100,trailing_1y,53,2025-08-08,2026-08-07,0.9736316514699843,2.55268924256591,5.02073553401728,-0.1038043399044336,1.030624252083945,0.9996053757893661,0.2832840549309287,0.660377358490566,0.11524988102393063,-0.07293461104915755
h13__cal26__q40__breadth_high__w00_50,adverse,100,ytd,32,2026-01-02,2026-08-07,0.9940310550071876,2.3637009931246262,4.716584276654237,-0.1038043399044336,1.706971417514034,0.5291511332227916,0.3137757676276741,0.625,0.11524988102393063,-0.07293461104915755
h13__cal26__q40__breadth_high__w00_50,adverse,200,full_recent,188,2023-01-06,2026-08-07,0.22443387564846384,0.9795900345359546,1.521667804154187,-0.34031337622746916,2.795447506469613,1.0793139275079984,0.23522867595678712,0.574468085106383,0.1151589049823103,-0.13124847902741377
h13__cal26__q40__breadth_high__w00_50,adverse,200,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.2134267844587141,0.9069117423939252,1.402478135370509,-0.34031337622746916,3.326228678584097,0.7999980003538067,0.24723401984437388,0.5822784810126582,0.1151589049823103,-0.13124847902741377
h13__cal26__q40__breadth_high__w00_50,adverse,200,trailing_3y,157,2023-08-11,2026-08-07,0.22309107344975132,0.938038356105241,1.452052389287257,-0.34031337622746904,3.3474148485113835,0.8367848540425673,0.24762421695179565,0.5859872611464968,0.1151589049823103,-0.13124847902741377
h13__cal26__q40__breadth_high__w00_50,adverse,200,trailing_2y,105,2024-08-09,2026-08-07,0.36150618440596927,1.2628481106979983,2.0167153232851507,-0.28695479277965397,3.51373260556158,0.8647324872057123,0.2747131635279247,0.6190476190476191,0.1151589049823103,-0.13124847902741377
h13__cal26__q40__breadth_high__w00_50,adverse,200,trailing_1y,53,2025-08-08,2026-08-07,0.8868908893542651,2.3807038833083607,4.58266392713186,-0.1106082013983597,1.0312459029522274,0.9100714376094476,0.28481640461320523,0.660377358490566,0.1151589049823103,-0.07381567285851587
h13__cal26__q40__breadth_high__w00_50,adverse,200,ytd,32,2026-01-02,2026-08-07,0.9046998889595703,2.2049772565586645,4.31296709740836,-0.11060820139835992,1.7080010267646266,0.4866233772542681,0.3155616823694826,0.625,0.1151589049823103,-0.07381567285851587
h13__cal26__q40__breadth_high__w25_65,base,50,full_recent,188,2023-01-06,2026-08-07,0.4034604577083216,1.601859066178546,2.6678449797541854,-0.21754381553197955,3.828304379461363,2.4055343849878046,0.22845606972200888,0.6117021276595744,0.11529536904474091,-0.12569620363330747
h13__cal26__q40__breadth_high__w25_65,base,50,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.3953541376208596,1.5126877961764842,2.503780068528784,-0.21754381553197977,4.306744979339076,1.7518079430311313,0.2397921348716693,0.6139240506329114,0.11529536904474091,-0.12569620363330747
h13__cal26__q40__breadth_high__w25_65,base,50,trailing_3y,157,2023-08-11,2026-08-07,0.40777031467965497,1.5484913252612573,2.565796311324226,-0.21754381553197932,4.3336482938028285,1.808353607598323,0.2400464699125892,0.6178343949044586,0.11529536904474091,-0.12569620363330747
h13__cal26__q40__breadth_high__w25_65,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.5890740897161197,1.8839543235624476,3.2183952216459835,-0.21754381553197955,4.165905925252678,1.5477478836795067,0.26541712057070405,0.6476190476190476,0.11529536904474091,-0.12569620363330747
h13__cal26__q40__breadth_high__w25_65,base,50,trailing_1y,53,2025-08-08,2026-08-07,1.0635232657434215,2.7129632223849116,5.396599664905251,-0.09346477954472165,1.0747276595923843,1.0924714927517574,0.2831761292072974,0.6792452830188679,0.11529536904474091,-0.0724939435810178
