candidate,event_columns,bucket,n_weeks,candidate_ann_return,ggg1_ann_return,ann_return_delta_vs_ggg1,candidate_sharpe,ggg1_sharpe,mean_weekly_delta_vs_ggg1
improved_phaseooo6_efa_spy_selective_tilt,efa_spy_raw_top10_event,event_active,84,0.10264604714153736,0.10297230300896132,-0.0003262558674239635,1.4928718720646754,1.5024286378073082,-5.40433865112498e-06
improved_phaseooo6_efa_spy_selective_tilt,efa_spy_raw_top10_event,event_inactive,1026,0.06886412269814413,0.06883499829069084,2.9124407453284817e-05,0.8965967609483803,0.8962988344137325,5.349640497464255e-07
improved_phaseooo6_efa_spy_vol_filtered_tilt,efa_spy_vol_filtered_top20_event,event_active,109,0.10970825679907659,0.10960895916584867,9.929763322791274e-05,1.6960880288676776,1.69774349126894,1.876075093221041e-06
improved_phaseooo6_efa_spy_vol_filtered_tilt,efa_spy_vol_filtered_top20_event,event_inactive,1001,0.06732429049664823,0.06729864811236985,2.5642384278379282e-05,0.8701761331044261,0.8699524972106992,4.768481091063509e-07
improved_phaseooo6_efa_spy_trend_confirmed_tilt,efa_spy_market_trend_confirmed_top20_event+market_trend_breadth_confirmed_event,event_active,44,0.08913957363315239,0.08907194775210736,6.762588104503031e-05,1.0464447437711086,1.048915698326001,1.6360446769251363e-06
improved_phaseooo6_efa_spy_trend_confirmed_tilt,efa_spy_market_trend_confirmed_top20_event+market_trend_breadth_confirmed_event,event_inactive,1066,0.07067113214740228,0.07065699214092791,1.4140006474372413e-05,0.9318932048956953,0.9317650316264549,2.6122214382457694e-07
