variant,episode,entry,window_end,weeks,n_fires,variant_total_return,base_total_return,variant_ann,base_ann,capture_pp_ann,contribution_total
pbi_native_B25_S3,2008-02,2008-02-29,2008-05-30,14,4,-0.0041137745227283196,-0.006342648820830132,-0.01519462788192838,-0.023356356073764628,0.8161728191836248,0.002228874298101813
pbi_native_B25_S3,2008-09,2008-09-05,2008-10-03,5,1,-0.04412384495598065,-0.04458903247860946,-0.3745725607849528,-0.37773078931951487,0.31582285345620464,0.00046518752262880714
pbi_native_B25_S3,2009-01,2009-01-02,2009-06-12,24,9,-0.02662317097791289,-0.017840581472780115,-0.056789033648524834,-0.03825271482068471,-1.8536318827840126,-0.008782589505132776
pbi_native_B25_S3,2011-09,2011-09-23,2011-12-09,12,4,0.001332937529711975,0.010094144875022026,0.005788907822272149,0.044482976283530595,-3.8694068461258446,-0.008761207345310051
pbi_native_B25_S3,2016-02,2016-02-19,2016-04-15,9,5,0.02156662059856207,0.01599302121747903,0.13120391336208304,0.0960063661205306,3.519754724155244,0.005573599381083039
pbi_native_B25_S3,2018-12,2018-12-21,2019-03-01,11,5,0.02509749621130042,0.022035651025134717,0.12431992596421026,0.10853287624636332,1.5787049717846946,0.0030618451861657014
pbi_native_B25_S3,2020-05,2020-05-01,2020-07-24,13,6,0.032924285221660465,0.036406032759119356,0.13834512813303834,0.15377129315699367,-1.542616502395533,-0.00348174753745889
pbi_native_B25_S3,2022-03,2022-03-25,2023-01-20,44,11,0.0029677872225615243,0.003271481331879489,0.003508330422871575,0.0038674449601341365,-0.03591145372625615,-0.0003036941093179646
pbi_native_B25_S3,2025-05,2025-05-09,2025-06-27,8,4,0.020284956153843625,0.019797304791978165,0.13943522260534214,0.1358999723538039,0.35352502515382245,0.0004876513618654599
pbi_native_B25_S5,2008-02,2008-02-29,2008-05-30,14,4,-0.0041137745227283196,-0.006342648820830132,-0.01519462788192838,-0.023356356073764628,0.8161728191836248,0.002228874298101813
pbi_native_B25_S5,2008-09,2008-09-05,2008-10-03,5,1,-0.04412384495598065,-0.04458903247860946,-0.3745725607849528,-0.37773078931951487,0.31582285345620464,0.00046518752262880714
pbi_native_B25_S5,2009-01,2009-01-02,2009-06-12,24,9,-0.014284960088803866,-0.017840581472780115,-0.03069304287674557,-0.03825271482068471,0.7559671943939139,0.0035556213839762485
pbi_native_B25_S5,2011-09,2011-09-23,2011-12-09,12,4,0.001332937529711975,0.010094144875022026,0.005788907822272149,0.044482976283530595,-3.8694068461258446,-0.008761207345310051
pbi_native_B25_S5,2016-02,2016-02-19,2016-04-15,9,5,0.02156662059856207,0.01599302121747903,0.13120391336208304,0.0960063661205306,3.519754724155244,0.005573599381083039
pbi_native_B25_S5,2018-12,2018-12-21,2019-03-01,11,5,0.02509749621130042,0.022035651025134717,0.12431992596421026,0.10853287624636332,1.5787049717846946,0.0030618451861657014
pbi_native_B25_S5,2020-05,2020-05-01,2020-07-24,13,6,0.032924285221660465,0.036406032759119356,0.13834512813303834,0.15377129315699367,-1.542616502395533,-0.00348174753745889
