variant,episode,entry,window_end,weeks,n_fires,variant_total_return,base_total_return,variant_ann,base_ann,capture_pp_ann,contribution_total
pbi_native_B25_S5,2022-03,2022-03-25,2023-01-20,44,11,0.0058472836388709926,0.003271481331879489,0.006914093659968978,0.0038674449601341365,0.3046648699834842,0.0025758023069915037
pbi_native_B25_S5,2025-05,2025-05-09,2025-06-27,8,4,0.020284956153843625,0.019797304791978165,0.13943522260534214,0.1358999723538039,0.35352502515382245,0.0004876513618654599
pbi_native_B25_S7,2008-02,2008-02-29,2008-05-30,14,4,-0.0041137745227283196,-0.006342648820830132,-0.01519462788192838,-0.023356356073764628,0.8161728191836248,0.002228874298101813
pbi_native_B25_S7,2008-09,2008-09-05,2008-10-03,5,1,-0.04412384495598065,-0.04458903247860946,-0.3745725607849528,-0.37773078931951487,0.31582285345620464,0.00046518752262880714
pbi_native_B25_S7,2009-01,2009-01-02,2009-06-12,24,9,-0.014284960088803866,-0.017840581472780115,-0.03069304287674557,-0.03825271482068471,0.7559671943939139,0.0035556213839762485
pbi_native_B25_S7,2011-09,2011-09-23,2011-12-09,12,4,0.001332937529711975,0.010094144875022026,0.005788907822272149,0.044482976283530595,-3.8694068461258446,-0.008761207345310051
pbi_native_B25_S7,2016-02,2016-02-19,2016-04-15,9,5,0.02156662059856207,0.01599302121747903,0.13120391336208304,0.0960063661205306,3.519754724155244,0.005573599381083039
pbi_native_B25_S7,2018-12,2018-12-21,2019-03-01,11,5,0.02509749621130042,0.022035651025134717,0.12431992596421026,0.10853287624636332,1.5787049717846946,0.0030618451861657014
pbi_native_B25_S7,2020-05,2020-05-01,2020-07-24,13,6,0.032924285221660465,0.036406032759119356,0.13834512813303834,0.15377129315699367,-1.542616502395533,-0.00348174753745889
pbi_native_B25_S7,2022-03,2022-03-25,2023-01-20,44,11,0.00826998458545991,0.003271481331879489,0.009780949605609823,0.0038674449601341365,0.5913504645475687,0.004998503253580422
pbi_native_B25_S7,2025-05,2025-05-09,2025-06-27,8,4,0.020284956153843625,0.019797304791978165,0.13943522260534214,0.1358999723538039,0.35352502515382245,0.0004876513618654599
pbi_native_B40_S3,2008-02,2008-02-29,2008-05-30,14,4,-0.0020734712333362326,-0.006342648820830132,-0.007679818353484413,-0.023356356073764628,1.5676537720280215,0.0042691775874939
pbi_native_B40_S3,2008-09,2008-09-05,2008-10-03,5,1,-0.043096271526288366,-0.04458903247860946,-0.3675448018628442,-0.37773078931951487,1.0185987456670653,0.0014927609523210927
pbi_native_B40_S3,2009-01,2009-01-02,2009-06-12,24,9,-0.03588497002826252,-0.017840581472780115,-0.07612648867756822,-0.03825271482068471,-3.787377385688351,-0.018044388555482405
pbi_native_B40_S3,2011-09,2011-09-23,2011-12-09,12,4,-0.006897308085332399,0.010094144875022026,-0.029546592211989187,0.044482976283530595,-7.402956849551979,-0.016991452960354425
pbi_native_B40_S3,2016-02,2016-02-19,2016-04-15,9,5,0.028275735026960236,0.01599302121747903,0.1748069468217297,0.0960063661205306,7.880058070119911,0.012282713809481205
pbi_native_B40_S3,2018-12,2018-12-21,2019-03-01,11,5,0.03103486084612106,0.022035651025134717,0.15543825929603017,0.10853287624636332,4.690538304966685,0.008999209820986342
pbi_native_B40_S3,2020-05,2020-05-01,2020-07-24,13,6,0.030957108135490685,0.036406032759119356,0.12969807628214514,0.15377129315699367,-2.4073216874848535,-0.00544892462362867
pbi_native_B40_S3,2022-03,2022-03-25,2023-01-20,44,11,0.0022400252975343093,0.003271481331879489,0.002647841388521144,0.0038674449601341365,-0.12196035716129927,-0.0010314560343451795
pbi_native_B40_S3,2025-05,2025-05-09,2025-06-27,8,4,0.02223827646660448,0.019797304791978165,0.15368939520749647,0.1358999723538039,1.778942285369256,0.0024409716746263133
pbi_native_B40_S5,2008-02,2008-02-29,2008-05-30,14,4,-0.0020734712333362326,-0.006342648820830132,-0.007679818353484413,-0.023356356073764628,1.5676537720280215,0.0042691775874939
pbi_native_B40_S5,2008-09,2008-09-05,2008-10-03,5,1,-0.043096271526288366,-0.04458903247860946,-0.3675448018628442,-0.37773078931951487,1.0185987456670653,0.0014927609523210927
pbi_native_B40_S5,2009-01,2009-01-02,2009-06-12,24,9,-0.03588497002826252,-0.017840581472780115,-0.07612648867756822,-0.03825271482068471,-3.787377385688351,-0.018044388555482405
pbi_native_B40_S5,2011-09,2011-09-23,2011-12-09,12,4,-0.006897308085332399,0.010094144875022026,-0.029546592211989187,0.044482976283530595,-7.402956849551979,-0.016991452960354425
pbi_native_B40_S5,2016-02,2016-02-19,2016-04-15,9,5,0.028275735026960236,0.01599302121747903,0.1748069468217297,0.0960063661205306,7.880058070119911,0.012282713809481205
pbi_native_B40_S5,2018-12,2018-12-21,2019-03-01,11,5,0.03103486084612106,0.022035651025134717,0.15543825929603017,0.10853287624636332,4.690538304966685,0.008999209820986342
pbi_native_B40_S5,2020-05,2020-05-01,2020-07-24,13,6,0.030957108135490685,0.036406032759119356,0.12969807628214514,0.15377129315699367,-2.4073216874848535,-0.00544892462362867
pbi_native_B40_S5,2022-03,2022-03-25,2023-01-20,44,11,0.011015876406023306,0.003271481331879489,0.013031761604239689,0.0038674449601341365,0.9164316644105552,0.007744395074143817
pbi_native_B40_S5,2025-05,2025-05-09,2025-06-27,8,4,0.02223827646660448,0.019797304791978165,0.15368939520749647,0.1358999723538039,1.778942285369256,0.0024409716746263133
pbi_native_B40_S7,2008-02,2008-02-29,2008-05-30,14,4,-0.0020734712333362326,-0.006342648820830132,-0.007679818353484413,-0.023356356073764628,1.5676537720280215,0.0042691775874939
pbi_native_B40_S7,2008-09,2008-09-05,2008-10-03,5,1,-0.043096271526288366,-0.04458903247860946,-0.3675448018628442,-0.37773078931951487,1.0185987456670653,0.0014927609523210927
pbi_native_B40_S7,2009-01,2009-01-02,2009-06-12,24,9,-0.0072037301061104175,-0.017840581472780115,-0.015542520279307803,-0.03825271482068471,2.2710194541376905,0.010636851366669697
pbi_native_B40_S7,2011-09,2011-09-23,2011-12-09,12,4,-0.006897308085332399,0.010094144875022026,-0.029546592211989187,0.044482976283530595,-7.402956849551979,-0.016991452960354425
pbi_native_B40_S7,2016-02,2016-02-19,2016-04-15,9,5,0.028275735026960236,0.01599302121747903,0.1748069468217297,0.0960063661205306,7.880058070119911,0.012282713809481205
pbi_native_B40_S7,2018-12,2018-12-21,2019-03-01,11,5,0.03103486084612106,0.022035651025134717,0.15543825929603017,0.10853287624636332,4.690538304966685,0.008999209820986342
pbi_native_B40_S7,2020-05,2020-05-01,2020-07-24,13,6,0.030957108135490685,0.036406032759119356,0.12969807628214514,0.15377129315699367,-2.4073216874848535,-0.00544892462362867
pbi_native_B40_S7,2022-03,2022-03-25,2023-01-20,44,11,0.015138580104740118,0.003271481331879489,0.017915570530363523,0.0038674449601341365,1.4048125570229386,0.01186709877286063
pbi_native_B40_S7,2025-05,2025-05-09,2025-06-27,8,4,0.02223827646660448,0.019797304791978165,0.15368939520749647,0.1358999723538039,1.778942285369256,0.0024409716746263133
pbi_native_B55_S3,2008-02,2008-02-29,2008-05-30,14,4,-5.493052169647239e-05,-0.006342648820830132,-0.00020401244252421513,-0.023356356073764628,2.3152343631240413,0.00628771829913366
pbi_native_B55_S3,2008-09,2008-09-05,2008-10-03,5,1,-0.042069611958849285,-0.04458903247860946,-0.3604520893907357,-0.37773078931951487,1.7278699928779173,0.0025194205197601738
pbi_native_B55_S3,2009-01,2009-01-02,2009-06-12,24,9,-0.04515597678213534,-0.017840581472780115,-0.09526732863945153,-0.03825271482068471,-5.701461381876682,-0.027315395309355228
pbi_native_B55_S3,2011-09,2011-09-23,2011-12-09,12,4,-0.015081072292092768,0.010094144875022026,-0.06372787076957642,0.044482976283530595,-10.821084705310701,-0.025175217167114794
pbi_native_B55_S3,2016-02,2016-02-19,2016-04-15,9,5,0.03500424075509789,0.01599302121747903,0.21992267102252017,0.0960063661205306,12.391630490198956,0.019011219537618862
pbi_native_B55_S3,2018-12,2018-12-21,2019-03-01,11,5,0.03699544663059218,0.022035651025134717,0.18735741864116817,0.10853287624636332,7.882454239480485,0.01495979560545746
pbi_native_B55_S3,2020-05,2020-05-01,2020-07-24,13,6,0.02893190759725517,0.036406032759119356,0.12084753313759133,0.15377129315699367,-3.2923760019402337,-0.007474125161864187
pbi_native_B55_S3,2022-03,2022-03-25,2023-01-20,44,11,0.0014969422748076777,0.003271481331879489,0.0017693542502723592,0.0038674449601341365,-0.20980907098617774,-0.0017745390570718111
pbi_native_B55_S3,2025-05,2025-05-09,2025-06-27,8,4,0.024348466985352646,0.019797304791978165,0.16925757413222442,0.1358999723538039,3.335760177842051,0.004551162193374481
pbi_native_B55_S5,2008-02,2008-02-29,2008-05-30,14,4,-5.493052169647239e-05,-0.006342648820830132,-0.00020401244252421513,-0.023356356073764628,2.3152343631240413,0.00628771829913366
pbi_native_B55_S5,2008-09,2008-09-05,2008-10-03,5,1,-0.042069611958849285,-0.04458903247860946,-0.3604520893907357,-0.37773078931951487,1.7278699928779173,0.0025194205197601738
pbi_native_B55_S5,2009-01,2009-01-02,2009-06-12,24,9,-0.04515597678213534,-0.017840581472780115,-0.09526732863945153,-0.03825271482068471,-5.701461381876682,-0.027315395309355228
pbi_native_B55_S5,2011-09,2011-09-23,2011-12-09,12,4,-0.015081072292092768,0.010094144875022026,-0.06372787076957642,0.044482976283530595,-10.821084705310701,-0.025175217167114794
pbi_native_B55_S5,2016-02,2016-02-19,2016-04-15,9,5,0.03500424075509789,0.01599302121747903,0.21992267102252017,0.0960063661205306,12.391630490198956,0.019011219537618862
pbi_native_B55_S5,2018-12,2018-12-21,2019-03-01,11,5,0.03699544663059218,0.022035651025134717,0.18735741864116817,0.10853287624636332,7.882454239480485,0.01495979560545746
pbi_native_B55_S5,2020-05,2020-05-01,2020-07-24,13,6,0.02893190759725517,0.036406032759119356,0.12084753313759133,0.15377129315699367,-3.2923760019402337,-0.007474125161864187
pbi_native_B55_S5,2022-03,2022-03-25,2023-01-20,44,11,0.021979639998025213,0.003271481331879489,0.026027533912650336,0.0038674449601341365,2.21600889525162,0.018708158666145724
pbi_native_B55_S5,2025-05,2025-05-09,2025-06-27,8,4,0.024348466985352646,0.019797304791978165,0.16925757413222442,0.1358999723538039,3.335760177842051,0.004551162193374481
pbi_native_B55_S7,2008-02,2008-02-29,2008-05-30,14,4,-5.493052169647239e-05,-0.006342648820830132,-0.00020401244252421513,-0.023356356073764628,2.3152343631240413,0.00628771829913366
pbi_native_B55_S7,2008-09,2008-09-05,2008-10-03,5,1,-0.042069611958849285,-0.04458903247860946,-0.3604520893907357,-0.37773078931951487,1.7278699928779173,0.0025194205197601738
pbi_native_B55_S7,2009-01,2009-01-02,2009-06-12,24,9,-0.0002697953274666265,-0.017840581472780115,-0.0005844645463594089,-0.03825271482068471,3.76682502743253,0.01757078614531349
pbi_native_B55_S7,2011-09,2011-09-23,2011-12-09,12,4,-0.015081072292092768,0.010094144875022026,-0.06372787076957642,0.044482976283530595,-10.821084705310701,-0.025175217167114794
pbi_native_B55_S7,2016-02,2016-02-19,2016-04-15,9,5,0.03500424075509789,0.01599302121747903,0.21992267102252017,0.0960063661205306,12.391630490198956,0.019011219537618862
pbi_native_B55_S7,2018-12,2018-12-21,2019-03-01,11,5,0.03699544663059218,0.022035651025134717,0.18735741864116817,0.10853287624636332,7.882454239480485,0.01495979560545746
pbi_native_B55_S7,2020-05,2020-05-01,2020-07-24,13,6,0.02893190759725517,0.036406032759119356,0.12084753313759133,0.15377129315699367,-3.2923760019402337,-0.007474125161864187
pbi_native_B55_S7,2022-03,2022-03-25,2023-01-20,44,11,0.021979639998025213,0.003271481331879489,0.026027533912650336,0.0038674449601341365,2.21600889525162,0.018708158666145724
pbi_native_B55_S7,2025-05,2025-05-09,2025-06-27,8,4,0.024348466985352646,0.019797304791978165,0.16925757413222442,0.1358999723538039,3.335760177842051,0.004551162193374481
pbi_native_B70_S3,2008-02,2008-02-29,2008-05-30,14,4,0.0019422066585441655,-0.006342648820830132,0.007232946356090064,-0.023356356073764628,3.0589302429854692,0.008284855479374298
pbi_native_B70_S3,2008-09,2008-09-05,2008-10-03,5,1,-0.04104296226728621,-0.04458903247860946,-0.3532876300746819,-0.37773078931951487,2.444315924483298,0.003546070211323249
pbi_native_B70_S3,2009-01,2009-01-02,2009-06-12,24,9,-0.029979208466485496,-0.017840581472780115,-0.06382093166455105,-0.03825271482068471,-2.5568216843866343,-0.012138626993705381
pbi_native_B70_S3,2011-09,2011-09-23,2011-12-09,12,4,-0.023216793233924227,0.010094144875022026,-0.09678293871299903,0.044482976283530595,-14.126591499652964,-0.03331093810894625
pbi_native_B70_S3,2016-02,2016-02-19,2016-04-15,9,5,0.04175209195531049,0.01599302121747903,0.26659756034932935,0.0960063661205306,17.059119422879874,0.025759070737831458
pbi_native_B70_S3,2018-12,2018-12-21,2019-03-01,11,5,0.042981167178745894,0.022035651025134717,0.2201067841406834,0.10853287624636332,11.157390789432009,0.020945516153611177
pbi_native_B70_S3,2020-05,2020-05-01,2020-07-24,13,6,0.026848993433175927,0.036406032759119356,0.11179912244321821,0.15377129315699367,-4.197217071377546,-0.009557039325943428
pbi_native_B70_S3,2022-03,2022-03-25,2023-01-20,44,11,0.00074078181253312,0.003271481331879489,0.0008755283603427699,0.0038674449601341365,-0.29919165997913666,-0.002530699519346369
pbi_native_B70_S3,2025-05,2025-05-09,2025-06-27,8,4,0.026448943020704663,0.019797304791978165,0.18493025073881442,0.1358999723538039,4.903027838501051,0.0066516382287264975
pbi_native_B70_S5,2008-02,2008-02-29,2008-05-30,14,4,0.0019422066585441655,-0.006342648820830132,0.007232946356090064,-0.023356356073764628,3.0589302429854692,0.008284855479374298
pbi_native_B70_S5,2008-09,2008-09-05,2008-10-03,5,1,-0.04104296226728621,-0.04458903247860946,-0.3532876300746819,-0.37773078931951487,2.444315924483298,0.003546070211323249
pbi_native_B70_S5,2009-01,2009-01-02,2009-06-12,24,9,-0.054434788753041086,-0.017840581472780115,-0.11420841150325145,-0.03825271482068471,-7.595569668256674,-0.03659420728026097
pbi_native_B70_S5,2011-09,2011-09-23,2011-12-09,12,4,-0.023216793233924227,0.010094144875022026,-0.09678293871299903,0.044482976283530595,-14.126591499652964,-0.03331093810894625
pbi_native_B70_S5,2016-02,2016-02-19,2016-04-15,9,5,0.04175209195531049,0.01599302121747903,0.26659756034932935,0.0960063661205306,17.059119422879874,0.025759070737831458
pbi_native_B70_S5,2018-12,2018-12-21,2019-03-01,11,5,0.042981167178745894,0.022035651025134717,0.2201067841406834,0.10853287624636332,11.157390789432009,0.020945516153611177
pbi_native_B70_S5,2020-05,2020-05-01,2020-07-24,13,6,0.026848993433175927,0.036406032759119356,0.11179912244321821,0.15377129315699367,-4.197217071377546,-0.009557039325943428
pbi_native_B70_S5,2022-03,2022-03-25,2023-01-20,44,11,0.02879610479840644,0.003271481331879489,0.034120158851975946,0.0038674449601341365,3.025271389184181,0.025524623466526952
pbi_native_B70_S5,2025-05,2025-05-09,2025-06-27,8,4,0.026448943020704663,0.019797304791978165,0.18493025073881442,0.1358999723538039,4.903027838501051,0.0066516382287264975
pbi_native_B70_S7,2008-02,2008-02-29,2008-05-30,14,4,0.0019422066585441655,-0.006342648820830132,0.007232946356090064,-0.023356356073764628,3.0589302429854692,0.008284855479374298
pbi_native_B70_S7,2008-09,2008-09-05,2008-10-03,5,1,-0.04104296226728621,-0.04458903247860946,-0.3532876300746819,-0.37773078931951487,2.444315924483298,0.003546070211323249
pbi_native_B70_S7,2009-01,2009-01-02,2009-06-12,24,9,-0.054434788753041086,-0.017840581472780115,-0.11420841150325145,-0.03825271482068471,-7.595569668256674,-0.03659420728026097
pbi_native_B70_S7,2011-09,2011-09-23,2011-12-09,12,4,-0.023216793233924227,0.010094144875022026,-0.09678293871299903,0.044482976283530595,-14.126591499652964,-0.03331093810894625
pbi_native_B70_S7,2016-02,2016-02-19,2016-04-15,9,5,0.04175209195531049,0.01599302121747903,0.26659756034932935,0.0960063661205306,17.059119422879874,0.025759070737831458
pbi_native_B70_S7,2018-12,2018-12-21,2019-03-01,11,5,0.042981167178745894,0.022035651025134717,0.2201067841406834,0.10853287624636332,11.157390789432009,0.020945516153611177
pbi_native_B70_S7,2020-05,2020-05-01,2020-07-24,13,6,0.026848993433175927,0.036406032759119356,0.11179912244321821,0.15377129315699367,-4.197217071377546,-0.009557039325943428
pbi_native_B70_S7,2022-03,2022-03-25,2023-01-20,44,11,0.02879610479840644,0.003271481331879489,0.034120158851975946,0.0038674449601341365,3.025271389184181,0.025524623466526952
pbi_native_B70_S7,2025-05,2025-05-09,2025-06-27,8,4,0.026448943020704663,0.019797304791978165,0.18493025073881442,0.1358999723538039,4.903027838501051,0.0066516382287264975
