Date,gross_return,net_return,turnover,cost,wealth,drawdown
2019-01-04,0.005825836856501117,0.005824329553033259,0.0263916790590461,1.5073034678569031e-06,2.303997714353647,-0.06730364740225969
2019-01-11,0.006284824257042047,0.006271021046954438,0.363101087231561,1.3803210087609703e-05,2.318446132512494,-0.06145468894470152
2019-01-18,0.0034187360927861194,0.003418452065054649,0.006377867007272536,2.8402773147050643e-07,2.3263716294818995,-0.058246316787977204
2019-01-25,0.010439753826603105,0.010434856792821356,0.08360945346538429,4.897033781748544e-06,2.3506469842824256,-0.04841925196954766
2019-02-01,0.004957329425520674,0.004957092639050606,0.004866048254642506,2.3678647006873984e-07,2.362299359145218,-0.04370217804802379
2019-02-08,0.0014533029730154365,0.0014419385577127992,0.3266781856014379,1.1364415302637329e-05,2.36570564967603,-0.04232325534589432
2019-02-15,0.0004891876831870743,0.0004888337078220765,0.009189343360477945,3.5397536499781293e-07,2.366862086340377,-0.041855110671910056
2019-02-22,-0.008663428394528844,-0.008678588171158654,0.42446815937895105,1.5159776629810048e-05,2.3463210650350996,-0.05017045557468891
2019-03-01,0.004606326719310989,0.004605929624963362,0.006772225090695902,3.9709434762694023e-07,2.3571280547382205,-0.04579560753735479
2019-03-08,0.007591503132815881,0.007591185125625074,0.009720690986987461,3.180071908069149e-07,2.375021450166543,-0.03855206534648625
2019-03-15,0.007917299648719393,0.00791675412177293,0.011231107164709653,5.45526946463823e-07,2.393823911021448,-0.030940518446948007
2019-03-22,0.005920600097427383,0.0059199151495885815,0.01358584015144551,6.849478388013862e-07,2.4079951454577513,-0.025203768541249616
2019-03-29,0.002759763845833065,0.0027507588876497344,0.18394355224089426,9.00495818333084e-06,2.4146189595055363,-0.022522339143917103
2019-04-05,8.97684732356843e-05,8.877677554146229e-05,0.0159911862458575,9.916976942220138e-07,2.4148333215909226,-0.02243556182902251
2019-04-12,-0.007617963993655188,-0.007619698796180967,0.03709131266229905,1.734802525778973e-06,2.3964330190374183,-0.029884308401743276
2019-04-19,0.00719136277382985,0.007190005915198566,0.02494209582802486,1.3568586312830603e-06,2.4136633866196746,-0.022909170840724857
2019-04-26,0.0033747807989334523,0.0033606555582005857,0.27100263888131537,1.4125240732866478e-05,2.4217748778955435,-0.019625505114843844
2019-05-03,-0.004755048546371158,-0.004755822160238216,0.019397438649605993,7.736138670579539e-07,2.4102573472641398,-0.02428799186295094
2019-05-10,0.003651582011431455,0.0036499724040361743,0.031148391613956015,1.6096073952808237e-06,2.4190547200682793,-0.020726669958963995
2019-05-17,0.0017672239898659618,0.0017661829659267817,0.02745888070696245,1.041023939180063e-06,2.4233272133085086,-0.018997094084459154
2019-05-24,-0.0010410453036436493,-0.0010420219746799459,0.02201207256781074,9.766710362965647e-07,2.420802053100401,-0.020019320669648066
2019-05-31,0.014467689604674016,0.014460423871152265,0.14964896327747862,7.265733521751388e-06,2.4558078768963885,-0.005848384660991468
2019-06-07,0.002503681923701794,0.0025033107122893906,0.008317467037663583,3.712114124037189e-07,2.461955527061948,-0.003359714272673453
2019-06-14,0.008525012926420699,0.008524298766509236,0.014766587667415704,7.141599114626132e-07,2.482941971524483,0.0
2019-06-21,-0.0031276523195521476,-0.0031283514929847807,0.013013919696519785,6.991734326329951e-07,2.47517445630087,-0.003128351492984738
2019-06-28,0.009731674848026062,0.009725608024528438,0.1340298500558918,6.066823497623864e-06,2.4992470328551777,0.0
2019-07-05,-0.004105204446438095,-0.00410760977763859,0.03206436896044976,2.4053312004945895e-06,2.4889811013062877,-0.004107609777638577
2019-07-12,-0.005866704098202582,-0.005867612645055684,0.01947792961004332,9.085468531022487e-07,2.4743767243229584,-0.009951120559621884
2019-07-19,0.005060862374833746,0.005060329527043406,0.015714994209908316,5.328477903398821e-07,2.486897885922079,-0.004941146981773392
2019-07-26,0.01346438529265002,0.013454656377268472,0.17023287142800675,9.728915381546593e-06,2.520358242422516,0.0
2019-08-02,0.01841204774204528,0.018411156767010252,0.011932541969189043,8.909750350292064e-07,2.5667609531327833,0.0
2019-08-09,0.012904039269163432,0.012903026710582882,0.013758222703591245,1.0125585805497408e-06,2.599879938270737,0.0
2019-08-16,-0.0005363699128083807,-0.0005378412830571306,0.022275419982503448,1.471370248749933e-06,2.598481615508943,-0.0005378412830572277
2019-08-23,0.009518987230302176,0.009517694814291933,0.024278475211936996,1.2924160102434648e-06,2.623213170505905,0.0
2019-08-30,-0.000987622922497733,-0.0010001396739354582,0.2989601069674275,1.2516751437725151e-05,2.6205895909408925,-0.0010001396739353074
2019-09-06,-0.018464991765891337,-0.01846748346630959,0.03631439781262389,2.4917004182546967e-06,2.5721938959982085,-0.01944915307735262
2019-09-13,0.015470007716678067,0.015468976251551341,0.018797825936241547,1.0314651267258493e-06,2.6119831022897904,-0.004281035312867498
2019-09-20,-0.0018990045861962403,-0.001899643526086724,0.00993160724543548,6.389398904835802e-07,2.6070212654992777,-0.006172546397937184
2019-09-27,0.00873436375088894,0.008725212390211873,0.22605107090186394,9.151360677067749e-06,2.629768079746558,0.0
2019-10-04,-0.01219162370704012,-0.012191819149532332,0.003983089580593176,1.9544249221189577e-07,2.597706422913075,-0.01219181914953249
2019-10-11,0.005091346295157416,0.005090814109339231,0.009204201025706508,5.321858181845115e-07,2.610930863422762,-0.0071630713251381595
2019-10-18,0.0008833097936846621,0.0008817178041136962,0.028967937529864183,1.5919895709659456e-06,2.6132329676503514,-0.0062876693285440766
2019-10-25,0.007161910061406931,0.00715801853378279,0.08772079511994521,3.891527624141349e-06,2.6319385376658846,0.0
2019-11-01,-0.02791128742522095,-0.027911871951338103,0.006814231332788259,5.845261171533019e-07,2.5584762062187623,-0.027911871951338152
2019-11-08,0.012100413169847793,0.012099640870800697,0.011142560625620856,7.722990470955182e-07,2.589432849490498,-0.01614995470718039
2019-11-15,-0.0005037362958139771,-0.0005045267837392455,0.0152893164969681,7.904879252684327e-07,2.588126411263236,-0.016646333406213687
2019-11-22,0.007008944262620694,0.007008156712288309,0.012542883774848586,7.875503323847869e-07,2.606264406744581,-0.009754836807121081
2019-11-29,-0.0027846303082159542,-0.00278999894914271,0.09817682828610802,5.36864092675543e-06,2.5989929317885756,-0.012517619771822863
2019-12-06,0.0013545659843796555,0.001353976976645312,0.008023730505257256,5.890077343434994e-07,2.602511908380681,-0.01118059136415106
2019-12-13,0.003079497323905496,0.003077585793438229,0.028069984967720042,1.9115304672666145e-06,2.6105213620571672,-0.008137414799857412
2019-12-20,0.008628942401677463,0.008628056756129205,0.013948592313662744,8.856455482578725e-07,2.6330450885320844,0.0
2019-12-27,0.007897481297527934,0.00788776898341409,0.18275493708892943,9.71231411384444e-06,2.6538139399133382,0.0
2020-01-03,0.0021038946789447193,0.0021031362585222694,0.012731383513185444,7.584204224497185e-07,2.6593952722337417,0.0
2020-01-10,0.005633362183369244,0.005632641244213148,0.009933239912983848,7.209391560959329e-07,2.674374691728791,0.0
2020-01-17,0.004402760409652076,0.004402234638734679,0.009476858952267238,5.257709173962652e-07,2.686147916633675,0.0
2020-01-24,-0.0017715450613997863,-0.0017721443149241235,0.009619509065399844,5.992535243372147e-07,2.681387674874167,-0.0017721443149241178
2020-01-31,0.007128990469275834,0.007114935580628244,0.2125160956934744,1.405488864759099e-05,2.7004655754475873,0.0
2020-02-07,0.007706419333092287,0.007705457544841418,0.011939606648524993,9.617882508689683e-07,2.7212738982905043,0.0
2020-02-14,0.0051015418011002844,0.005100571143592919,0.0104872296855262,9.706575073656353e-07,2.7351539494099377,0.0
2020-02-21,-0.025819144207660433,-0.025820041150689945,0.010542275921108353,8.969430295108982e-07,2.664532161882701,-0.02582004115068992
