variant,offense_base,stop,n_active_fires,n_stops,net_cagr,log_growth,ann_vol,sharpe,max_dd,cvar5,avg_oneway_turnover,beta_spy,residual_alpha_ann,delta_cagr_vs_base,delta_logg_vs_base,mean_episode_capture_pp,worst_episode_contribution,containment_pass,cagr_2x,delta_cagr_vs_base_2x,logg_2x,delta_logg_vs_base_2x,expectancy_calm_trend,expectancy_neutral_mixed,expectancy_recovery_confirmed,expectancy_recovery_fragile,expectancy_stressed_panic,expectancy_stressed_panic_improving
pbi_native_B25_S3,0.25,0.03,37,2,0.07312641784445639,0.07057627389827613,0.07555929535995953,0.9725051531838802,-0.11720357986997565,-0.02499860005291695,0.06420615059238388,0.2435659935369815,0.04473036293681442,-0.0004945848771256145,-0.0004607760383339432,-0.07973181014422842,-0.008782589505132776,False,0.07293670813914277,-0.0004997894794063207,0.07039947601799867,-0.00046570604506089575,0.0464025614268834,0.10943901855189786,0.033083347893747894,0.07128132479653032,0.04761361148010272,0.015898315325343654
pbi_native_B25_S5,0.25,0.05,45,1,0.07391543564017033,0.07131125522148789,0.07557293724565359,0.9820822068776802,-0.11720357986997587,-0.02499860005291695,0.06497695432172675,0.24442733275898204,0.04536572011431199,0.00029443291858832765,0.00027420528487781537,0.2480654566210679,-0.008761207345310051,False,0.07372408413622766,0.000287586517678573,0.07113305817986426,0.00026787611680469114,0.0464025614268834,0.10943854337371736,0.033083347893747894,0.07128132479653032,0.04761081609827713,0.03236851198514019
pbi_native_B25_S7,0.25,0.07,49,0,0.07403824350995558,0.07142560393497382,0.07558544800800268,0.9834470673604698,-0.11720357986997587,-0.02499860005291695,0.06526411172403816,0.24466647701762653,0.04545294081942842,0.00041724078837357403,0.0003885539983637526,0.27991941157263284,-0.008761207345310051,False,0.07384631367142713,0.00040981605287804257,0.0712468887071022,0.0003817066440426342,0.0464025614268834,0.10943854337371736,0.033083347893747894,0.07128132479653032,0.04761008860055865,0.03494875689204392
pbi_native_B40_S3,0.4,0.03,37,2,0.0729687600862492,0.07042934867323276,0.07583749182058494,0.9672759729150076,-0.11720357986997587,-0.025041825699611782,0.06776204353535434,0.24679441551231296,0.04422324750349271,-0.0006522426353328115,-0.0006077012633773082,0.3573527664738286,-0.018044388555482405,False,0.07277175574562489,-0.0006647418729242016,0.07024572503400506,-0.0006194570290545126,0.0464025614268834,0.10943724279529884,0.033083347893747894,0.07127609110956096,0.04759999724826771,0.013156801098750403
pbi_native_B40_S5,0.4,0.05,40,2,0.07341347950942123,0.07084373845090777,0.0758728029160198,0.9723302478619535,-0.11720357986997587,-0.025041825699611782,0.06896333360676134,0.24821873540786324,0.04447275303509785,-0.00020752321216077618,-0.0001933114857022994,0.4727296577595901,-0.018044388555482405,False,0.07321383447904539,-0.0002226631395036982,0.07065773035378688,-0.00020745170927269352,0.0464025614268834,0.10943724279529884,0.033083347893747894,0.07127609110956096,0.0475928986549429,0.02250698606532175
pbi_native_B40_S7,0.4,0.07,49,0,0.0751181509285157,0.07243056338068174,0.07596986198993276,0.9921010924174679,-0.11720357986997587,-0.025041825699611782,0.07035930837259158,0.24937946479926149,0.0459320980006062,0.001497148206933696,0.0013935134440716673,1.2001494058083038,-0.016991452960354425,False,0.07491558026206291,0.0014790826435138182,0.07224212850720663,0.0013769464441470564,0.0464025614268834,0.10943577303269789,0.033083347893747894,0.07127609110956096,0.04759069258163095,0.05817061836197102
pbi_native_B55_S3,0.55,0.03,37,2,0.07280539222267168,0.07027707928018648,0.07628079558049962,0.9600989444785938,-0.11720357986997598,-0.02518813055595921,0.071454381319847,0.2500265928712453,0.04372303683158818,-0.0008156104989103241,-0.0007599706564235947,0.8475797892677394,-0.027315395309355228,False,0.0726006538869719,-0.0008358437315771905,0.07008621719448256,-0.000778964868577009,0.0464025614268834,0.10943546703869977,0.033083347893747894,0.07127085742259162,0.04758534868008306,0.0105831009649635
pbi_native_B55_S5,0.55,0.05,44,1,0.07383827195213089,0.07123939997309518,0.07642574074552541,0.9710310439767756,-0.11720357986997598,-0.02518813055595921,0.07444458893724867,0.25299215945692854,0.04434762575823996,0.0002172692305488777,0.00020235003648511052,1.1171151188497168,-0.027315395309355228,False,0.0736271050444326,0.00019060742588350443,0.071042733791055,0.00017755172799542585,0.0464025614268834,0.10943546703869977,0.033083347893747894,0.07127085742259162,0.04756981485137751,0.03240020587717862
pbi_native_B55_S7,0.55,0.07,49,0,0.07618555778894898,0.07342289834826457,0.07661343489968288,0.997377865916102,-0.11720357986997598,-0.02518813055595921,0.0756167085273225,0.2540962286205829,0.046418074681243725,0.0025645550673669693,0.002385848411654498,2.169146942106296,-0.025175217167114794,False,0.07597180257933611,0.0025353049607870215,0.07322425561492915,0.002359073551869581,0.0464025614268834,0.10943299902213617,0.033083347893747894,0.07127085742259162,0.04756981485137751,0.08156010586487589
pbi_native_B70_S3,0.7,0.03,36,2,0.0739309864438562,0.07132573558984778,0.07665416806944941,0.9694929108896848,-0.11720357986997576,-0.025279679344855782,0.0742573202575403,0.2506838281646385,0.044724015531183214,0.00030998372227419857,0.0002886856532377108,1.9381069225428245,-0.03331093810894625,False,0.07371993899665208,0.00028344137810298875,0.07112919764656885,0.000264015583509275,0.0464025614268834,0.10943369128210076,0.033083347893747894,0.07126562373562226,0.04757565623169541,0.03472146905239085
