variant,episode,trigger_date,drawdown_from_entry,fires_disabled
pbi_native_B25_S3,2009-01,2009-02-20,-0.04049506689084226,5
pbi_native_B25_S3,2022-03,2022-06-10,-0.0306578822774618,7
pbi_native_B25_S5,2022-03,2022-09-16,-0.05683442601186517,4
pbi_native_B40_S3,2009-01,2009-02-13,-0.03699166462366832,5
pbi_native_B40_S3,2022-03,2022-06-10,-0.03136124513177352,7
pbi_native_B40_S5,2009-01,2009-02-27,-0.05279778381272515,5
pbi_native_B40_S5,2022-03,2022-09-16,-0.05198792610751857,4
pbi_native_B55_S3,2009-01,2009-02-13,-0.04624777922104828,5
pbi_native_B55_S3,2022-03,2022-06-10,-0.0320794154260442,7
pbi_native_B55_S5,2009-01,2009-02-20,-0.0587637559158013,5
pbi_native_B70_S3,2009-01,2009-01-30,-0.030869258921464082,6
pbi_native_B70_S3,2022-03,2022-06-10,-0.03281022472338868,7
pbi_native_B70_S5,2009-01,2009-02-13,-0.05551177264003648,5
pbi_native_B70_S7,2009-01,2009-02-27,-0.07102219569280732,5
