episode,date,state,fired,active,grade,offense_share_base,offense_share_variant,variant_net,base_net,spy_next
2008-02,2008-02-29,stressed_panic,True,True,2of3,0.0949255808958952,0.4865384615384615,-0.008319879793684709,-0.00663020276833512,-0.03071297011134899
2008-02,2008-03-07,stressed_panic,False,False,,0.0999081735158942,0.0999081735158942,0.005022259859500536,0.005035393645223998,-0.0007711191894764768
2008-02,2008-03-14,stressed_panic,False,False,,0.09532041361410071,0.09532041361410071,-0.00507385577197655,-0.00507385577197655,0.024102099067768723
2008-02,2008-03-21,stressed_panic,False,False,,0.10198582744467931,0.10198582744467931,0.002174845023131224,0.002174845023131224,-0.004315417810906275
2008-02,2008-03-28,stressed_panic,False,False,,0.0894883992159884,0.0894883992159884,0.0027747661386944705,0.0027747661386944705,0.040908999781086974
2008-02,2008-04-04,stressed_panic,False,False,,0.0866437771796104,0.0866437771796104,0.0011367720013167157,0.0011367720013167157,-0.02564050988388311
2008-02,2008-04-11,stressed_panic,True,True,3of3,0.0838131839814509,0.55,0.007896333185884558,-0.0037303570134348137,0.03823678907352246
2008-02,2008-04-18,stressed_panic,False,False,,0.0812222172751207,0.0812222172751207,-0.004183391096903135,-0.004168163837452306,0.008087236487122285
2008-02,2008-04-25,stressed_panic,True,True,2of3,0.0578726879441594,0.4865384615384614,0.003564815918890054,-0.001924290637965985,0.013682170303545682
2008-02,2008-05-02,stressed_panic,True,True,2of3,0.057019673033184594,0.4865384615384615,-0.004048886661586402,0.004986997636563565,-0.018444215391365315
2008-02,2008-05-09,neutral_mixed,False,False,,0.0602992710371619,0.06029927103716189,0.0021276995155930837,0.002144621176734308,0.027070494649504395
2008-02,2008-05-16,recovery_fragile,False,False,,0.06265149248337129,0.0626514924833713,-9.718543234911067e-05,-9.718543234911067e-05,-0.035188717623653054
2008-02,2008-05-23,neutral_mixed,False,False,,0.0765610618581522,0.0765610618581522,-0.007084033802182849,-0.007084033802182849,0.019689315190086543
2008-02,2008-05-30,neutral_mixed,False,False,,0.2657569997901237,0.2657569997901237,0.004212616977541252,0.004212616977541252,-0.028928096031028527
2008-09,2008-09-05,stressed_panic,True,True,2of3,0.16114673344582658,0.4865384615384614,-0.007990035526646505,-0.010608991066610925,0.013422128926201538
2008-09,2008-09-12,stressed_panic,False,False,,0.1696657886580804,0.1696657886580804,0.009955767405934094,0.009965876723822698,-0.00992599319077625
2008-09,2008-09-19,stressed_panic,False,False,,0.20086067477725678,0.20086067477725678,-0.005756364136587187,-0.005756364136587187,-0.026345096882157804
2008-09,2008-09-26,stressed_panic,False,False,,0.0941272950800011,0.09412729508000112,-0.01042111500707202,-0.01042111500707202,-0.08696757057357862
2008-09,2008-10-03,stressed_panic,False,False,,0.0979184543881247,0.0979184543881247,-0.028210230971819027,-0.028210230971819027,-0.19793350420686306
2009-01,2009-01-02,stressed_panic,True,True,2of3,0.0693676406472515,0.4865384615384615,0.01585178962149067,-0.00019163536263511443,-0.041630599428243764
2009-01,2009-01-09,stressed_panic,True,True,2of3,0.0687349976855131,0.4865384615384615,-0.016778269870004456,-0.002829573122436476,-0.0452355256646354
