multiplier,financing_rate,window,cagr,sharpe,max_drawdown
1.0,0.05,full,0.3941212257428348,1.8310923641102101,-0.1868546022649621
1.0,0.05,recent_52w,1.1064965452480715,3.1161286263540986,-0.11116225097772803
1.0,0.08,full,0.3941212257428348,1.8310923641102101,-0.1868546022649621
1.0,0.08,recent_52w,1.1064965452480715,3.1161286263540986,-0.11116225097772803
1.25,0.05,full,0.48725949480933295,1.7790142226249204,-0.23350524551091956
1.25,0.05,recent_52w,1.4797860770201505,3.076215485334782,-0.13868614262902068
1.25,0.08,full,0.47622415141722185,1.747767337733746,-0.23541360098537634
1.25,0.08,recent_52w,1.4615593462015144,3.0522676007231913,-0.13945010233556399
