cost_bps,residual_delay_weeks,scenario,window,cagr,sharpe,max_drawdown
50,0,base,full,0.3941212257428348,1.8310923641102101,-0.1868546022649621
50,0,base,recent_52w,1.1064965452480715,3.1161286263540986,-0.11116225097772803
50,0,base,recent_104w,0.6103306801920119,2.201116814655307,-0.18685460226496198
50,1,base,full,0.3783205904720901,1.7743368000433566,-0.1909021605659429
50,1,base,recent_52w,1.083512813981521,3.088196764742787,-0.11116225097772792
50,1,base,recent_104w,0.5927642015239771,2.1631270500434927,-0.19090216056594278
50,2,base,full,0.37830102559228185,1.7689687600357609,-0.1969541950792425
50,2,base,recent_52w,1.0964783852579658,3.0899816975959027,-0.1111622509777277
50,2,base,recent_104w,0.587371594722311,2.139376225948102,-0.19695419507924217
50,0,adverse_total_loss,recent_52w,0.9583880966811127,2.677789551882744,-0.11116225097772803
100,0,base,full,0.3513870664218337,1.66228788685433,-0.20710589119979228
100,0,base,recent_52w,1.0635769642585515,3.037415113419659,-0.11358124832121774
100,0,base,recent_104w,0.5600942793637922,2.059047119835049,-0.19877837348245475
100,1,base,full,0.3360368817087933,1.604498221197796,-0.21754075320329636
100,1,base,recent_52w,1.0408990671679454,3.004834720381163,-0.11358124832121763
100,1,base,recent_104w,0.5429709295688834,2.017785165382881,-0.2027751469874628
100,2,base,full,0.33591674343491973,1.5965446082732566,-0.2206665024816279
100,2,base,recent_52w,1.0533365979015943,3.0007873834027476,-0.11358124832121763
100,2,base,recent_104w,0.5375319160612437,1.9895146849497307,-0.2088021934371681
100,0,adverse_total_loss,recent_52w,0.9184862052139617,2.6036577438316826,-0.11358124832121774
200,0,base,full,0.269616309329187,1.324514876920289,-0.27843199559479803
200,0,base,recent_52w,0.9802302914723269,2.8768856960064872,-0.11840695190860484
200,0,base,recent_104w,0.4640551560239117,1.772367340072822,-0.22655167220197314
200,1,base,full,0.2551408810172793,1.2657408463293711,-0.28801554090690606
200,1,base,recent_52w,0.9581542014306381,2.8356292174931688,-0.11840695190860484
200,1,base,recent_104w,0.44779643065071384,1.7260082558843086,-0.23542432756005705
200,2,base,full,0.25479382319683985,1.253779683577013,-0.2911283986680411
200,2,base,recent_52w,0.9695773086120425,2.8210876808564387,-0.11840695190860484
200,2,base,recent_104w,0.44223881810357235,1.6903353778310026,-0.24255672993563204
200,0,adverse_total_loss,recent_52w,0.8409996637569022,2.4528095281687414,-0.11840695190860484
