ticker,reason,weekly_observations,liquidity_observations,median_daily_value_idr,minimum_median_daily_value_idr
GOTO,below_minimum_liquidity,,,2335445000.0,5000000000.0
SMRA,below_minimum_liquidity,,,4653866400.0,5000000000.0
