candidate,gate,lookback_weeks,allocation,underlying_cost_bps,outer_cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,active_share,average_sleeve_weight
relative__lb4__w0.10__under50__outer50,relative,4,0.1,50,50,0.9770273774475045,2.6206468470638176,-0.10076752452473314,0.38686154511297444,1.579359662063564,-0.21581422367374925,0.4148936170212766,0.04148936170212766
relative__lb4__w0.10__under50__outer100,relative,4,0.1,50,100,0.9606856909876966,2.5882406714709636,-0.10082112619110795,0.3779306252817567,1.550347866085732,-0.2169911264629819,0.4148936170212766,0.04148936170212766
relative__lb4__w0.10__under50__outer200,relative,4,0.1,50,200,0.9283824801588352,2.5233111712923075,-0.10179163131363711,0.36022782608578985,1.4920958474147354,-0.21934139863765556,0.4148936170212766,0.04148936170212766
relative__lb4__w0.20__under50__outer50,relative,4,0.2,50,50,0.9050794111783447,2.534870616255656,-0.10082112619110795,0.36448337556875554,1.5267564869447288,-0.2176921788112588,0.4148936170212766,0.08297872340425531
relative__lb4__w0.20__under50__outer100,relative,4,0.2,50,100,0.8736962219785505,2.4688221644348918,-0.10179163131363711,0.3469556351588825,1.4677064293626358,-0.22003948129940376,0.4148936170212766,0.08297872340425531
relative__lb4__w0.20__under50__outer200,relative,4,0.2,50,200,0.8123820599207838,2.336320943277386,-0.1037326415586951,0.3125219650698996,1.3487732397774221,-0.22471999226578543,0.4148936170212766,0.08297872340425531
relative__lb4__w0.30__under50__outer50,relative,4,0.3,50,50,0.8351262140530133,2.433930447142701,-0.10130637875237236,0.34221708638866466,1.4667821213759202,-0.21958057592114721,0.4148936170212766,0.12446808510638299
relative__lb4__w0.30__under50__outer100,relative,4,0.3,50,100,0.789939147676775,2.333449266955751,-0.10276213643616616,0.3164218835272987,1.3769768942800253,-0.2230917360393011,0.4148936170212766,0.12446808510638299
relative__lb4__w0.30__under50__outer200,relative,4,0.3,50,200,0.7026844549139444,2.131751556751107,-0.10700610628377916,0.26619875348557964,1.1957156122408472,-0.23008243421234997,0.4148936170212766,0.12446808510638299
relative__lb4__w0.40__under50__outer50,relative,4,0.4,50,50,0.7671298879326083,2.317786812975446,-0.10179163131363678,0.3200664823212853,1.399659643014321,-0.22166744384636006,0.4148936170212766,0.16595744680851063
