candidate,gate,lookback_weeks,allocation,underlying_cost_bps,outer_cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,active_share,average_sleeve_weight,beats_control_both
leader_negative_sleeve_positive__lb8__w0.50__under50__outer50,leader_negative_sleeve_positive,8,0.5,50,50,1.0703901198445664,2.7450913815611226,-0.10076752452473337,0.38573176654214025,1.5436759479234514,-0.23897864896280285,0.07446808510638298,0.03723404255319149,False
leader_negative_relative__lb8__w0.50__under50__outer50,leader_negative_relative,8,0.5,50,50,1.0703901198445664,2.7450913815611226,-0.10076752452473337,0.36445096595851667,1.4827401581025956,-0.24279162078365313,0.13829787234042554,0.06914893617021277,False
leader_negative_sleeve_positive__lb8__w0.40__under50__outer50,leader_negative_sleeve_positive,8,0.4,50,50,1.0666209147344738,2.736429263623216,-0.10076752452473303,0.390484401977935,1.5610680491325823,-0.23400558086835477,0.07446808510638298,0.02978723404255319,False
leader_negative_relative__lb8__w0.40__under50__outer50,leader_negative_relative,8,0.4,50,50,1.0666209147344738,2.736429263623216,-0.10076752452473303,0.37340984162476687,1.5131115963000015,-0.23707586852963847,0.13829787234042554,0.0553191489361702,False
leader_negative_sleeve_positive__lb8__w0.30__under50__outer50,leader_negative_sleeve_positive,8,0.3,50,50,1.0627980156083532,2.726756660163869,-0.10076752452473325,0.3952225242027583,1.5778836308571877,-0.22901587476352214,0.07446808510638298,0.022340425531914895,False
leader_negative_relative__lb8__w0.30__under50__outer50,leader_negative_relative,8,0.3,50,50,1.0627980156083532,2.726756660163869,-0.10076752452473325,0.3823793347685167,1.5425435599610922,-0.23133357297117196,0.13829787234042554,0.041489361702127664,False
sleeve_positive__lb13__w0.40__under50__outer50,sleeve_positive,13,0.4,50,50,1.060836843483902,3.0865236657499304,-0.11961015661036845,0.388834029090265,1.634663940076207,-0.23421303157172424,0.6808510638297872,0.2723404255319149,False
sleeve_positive__lb13__w0.30__under50__outer50,sleeve_positive,13,0.3,50,50,1.0607182865667544,3.0279745307331303,-0.11361886819882572,0.3946209225619184,1.6493148076675428,-0.22485226277515413,0.6808510638297872,0.20425531914893616,False
sleeve_positive__lb13__w0.50__under50__outer50,sleeve_positive,13,0.5,50,50,1.05937944798558,3.1055613925647916,-0.125866945449015,0.38261467999850884,1.608117545199046,-0.24359829787204978,0.6808510638297872,0.3404255319148936,False
sleeve_positive__lb13__w0.20__under50__outer50,sleeve_positive,13,0.2,50,50,1.059032516761706,2.9366541124690504,-0.10764495929000406,0.399971305124579,1.6519823263437563,-0.21992281274175585,0.6808510638297872,0.13617021276595745,False
leader_negative_sleeve_positive__lb8__w0.20__under50__outer50,leader_negative_sleeve_positive,8,0.2,50,50,1.0589215270631875,2.7160918651009758,-0.10076752452473314,0.3999459204548059,1.5940972869144898,-0.2240095128416455,0.07446808510638298,0.014893617021276595,False
leader_negative_relative__lb8__w0.20__under50__outer50,leader_negative_relative,8,0.2,50,50,1.0589215270631875,2.7160918651009758,-0.10076752452473314,0.391359063175889,1.5709755740119598,-0.22556466652850027,0.13829787234042554,0.0276595744680851,False
sleeve_positive__lb13__w0.10__under50__outer50,sleeve_positive,13,0.1,50,50,1.0557910627376237,2.821550999553244,-0.10401955675024543,0.40488139237658594,1.6433284822115946,-0.21691198008678825,0.6808510638297872,0.06808510638297872,False
leader_negative_sleeve_positive__lb8__w0.10__under50__outer50,leader_negative_sleeve_positive,8,0.1,50,50,1.0549915539374668,2.7044563441155183,-0.10076752452473325,0.4046543766090671,1.609685637007175,-0.2189864773198793,0.07446808510638298,0.007446808510638297,False
leader_negative_relative__lb8__w0.10__under50__outer50,leader_negative_relative,8,0.1,50,50,1.0549915539374668,2.7044563441155183,-0.10076752452473325,0.4003486406860852,1.5983529859922898,-0.21976908157537944,0.13829787234042554,0.01382978723404255,False
leader_negative_sleeve_positive__lb26__w0.10__under50__outer50,leader_negative_sleeve_positive,26,0.1,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.40732265205412266,1.619696155530328,-0.21534824208385994,0.015957446808510637,0.001595744680851064,False
leader_negative_relative__lb26__w0.10__under50__outer50,leader_negative_relative,26,0.1,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.40642219913533006,1.6162441699298045,-0.21534824208386005,0.02127659574468085,0.002127659574468085,False
leader_negative_sleeve_positive__lb26__w0.20__under50__outer50,leader_negative_sleeve_positive,26,0.2,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.40529651413582446,1.614658408048052,-0.21674873345591916,0.015957446808510637,0.003191489361702128,False
leader_negative_relative__lb26__w0.20__under50__outer50,leader_negative_relative,26,0.2,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.4034973709430245,1.607727532841359,-0.21674873345591905,0.02127659574468085,0.00425531914893617,False
leader_negative_sleeve_positive__lb26__w0.30__under50__outer50,leader_negative_sleeve_positive,26,0.3,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.4032692564750813,1.6095145676017488,-0.2181482245554297,0.015957446808510637,0.004787234042553191,False
leader_negative_sleeve_positive__lb26__w0.40__under50__outer50,leader_negative_sleeve_positive,26,0.4,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.4012408720825742,1.604265013592471,-0.21954671538239257,0.015957446808510637,0.006382978723404256,False
leader_negative_sleeve_positive__lb13__w0.10__under50__outer50,leader_negative_sleeve_positive,13,0.1,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.4009583828768559,1.5986442762960575,-0.21781166022664566,0.0797872340425532,0.007978723404255319,False
leader_negative_relative__lb26__w0.30__under50__outer50,leader_negative_relative,26,0.3,50,50,1.0510082013109483,2.691874564272,-0.10076752452473337,0.40057318877937753,1.5990791722790156,-0.21814822455542993,0.02127659574468085,0.006382978723404255,False
