series,weeks,base_cagr,overlay_cagr,base_sharpe,overlay_sharpe,base_drawdown,overlay_drawdown,base_worst_rolling,overlay_worst_rolling,share_risk_off,sharpe_improved,drawdown_improved
equal_weight_universe,143,0.2225400817023344,0.19458788666743887,1.280203952604849,1.2791768258548089,-0.20250624510804038,-0.13255210674478157,-0.055097689047136855,0.027786755620538894,0.1958041958041958,False,True
150.86% Residual 1.25x,193,0.4237316019915087,0.3305515291995498,1.9328631701439953,1.803343202488798,-0.18198529364119487,-0.11324367145066028,-0.09026637718171215,-0.013817183166402014,0.29015544041450775,False,True
174.97% Fragile 1.35x,188,0.3841063819386141,0.29305552514882494,1.5687519627280082,1.4193638804972286,-0.22247501912378398,-0.13553282233683406,-0.15091257842372985,-0.05596832902763105,0.2712765957446808,False,True
ETF Incumbent,1127,0.14604277568643442,0.10842939755328529,0.814152205222927,0.7609994757520679,-0.4353022422892424,-0.2958893006280745,-0.39137169776500713,-0.27039645155067094,0.37267080745341613,False,True
142% Growth / Micron,188,0.3333525749329689,0.2840453876790461,0.9820214885029788,0.9428347090594178,-0.36301623795578464,-0.2434776410437448,-0.17126840805585797,-0.1805464103087996,0.2712765957446808,False,True
102% Daily-Audited,181,0.3861720477502413,0.2901277604681869,1.5369225828579247,1.3694933660440898,-0.21473689564444642,-0.12909586391739447,-0.14065390679329826,-0.04693336188977726,0.27071823204419887,False,True
124% Sector Ensemble,188,0.45411093655651613,0.36557553815225496,1.7947640055851524,1.7023093252727264,-0.21322374374663866,-0.12803314686232137,-0.11602239221596644,-0.02030702276887164,0.2712765957446808,False,True
