form,window,horizon_weeks,events,months,mean_abnormal_return,median_abnormal_return,share_positive,bootstrap_p,clears_bonferroni
SC 13D,select,1,1473,84,0.0029294239305337486,-0.0008684067118337468,0.48404616429056346,0.118,False
SC 13D,evaluate,1,1613,80,-0.003983112149071784,-0.004851534145421832,0.46931184128952264,0.1232,False
SC 13G,select,1,14107,84,6.92058428198988e-05,-0.0016958251204186592,0.47522506557028427,0.838,False
SC 13G,evaluate,1,20437,80,-4.814528835062797e-05,-0.0022451266344583054,0.47780985467534376,0.9856,False
SC 13D,select,4,1472,84,0.0019184156236328551,-0.004947149967296172,0.4741847826086957,0.5928,False
SC 13D,evaluate,4,1590,80,-0.002702908417786601,-0.012514593162212373,0.45031446540880504,0.6192,False
SC 13G,select,4,14100,84,0.0011032455869398796,-0.0039783715836484435,0.4735460992907801,0.4644,False
SC 13G,evaluate,4,19900,80,-0.000867736330010892,-0.009578858549135871,0.4617085427135678,0.7836,False
SC 13D,select,13,1466,84,-0.003924259480309048,-0.02334634561894644,0.4481582537517053,0.5976,False
SC 13D,evaluate,13,1558,78,-0.02126170535936455,-0.04649181284093856,0.4165596919127086,0.0164,False
SC 13G,select,13,14082,84,0.003219693130639419,-0.008371955233807848,0.47450646215026276,0.1988,False
SC 13G,evaluate,13,19247,78,-0.002160109033877635,-0.018918578291753363,0.4554995583727334,0.7976,False
