rebalance_at,cik10,intended_weight
2023-01-06,0000320193,0.025
2023-01-06,0000732834,0.025
2023-01-06,0000874499,0.025
2023-01-06,0000917273,0.05
2023-01-06,0001070412,0.025
2023-01-06,0001107843,0.05
2023-01-06,0001124804,0.05
2023-01-06,0001173489,0.05
2023-01-06,0001273441,0.025
2023-01-06,0001280263,0.05
2023-01-06,0001288469,0.05
2023-01-06,0001314727,0.05
2023-01-06,0001327567,0.025
2023-01-06,0001361113,0.05
2023-01-06,0001373715,0.025
2023-01-06,0001475115,0.025
2023-01-06,0001509991,0.025
2023-01-06,0001585521,0.05
2023-01-06,0001773383,0.05
2023-01-06,0001827075,0.05
2023-01-06,0000004127,0.025
2023-01-06,0000101778,0.025
2023-01-06,0000833640,0.025
2023-01-06,0000858470,0.025
2023-01-06,0001326801,0.025
2023-01-06,0001506293,0.025
2023-01-06,0001640147,0.025
2023-01-06,0001671933,0.025
2023-01-06,0001810806,0.025
2023-04-07,0000004127,0.05
2023-04-07,0000056978,0.05
2023-04-07,0000732834,0.025
2023-04-07,0000874499,0.025
2023-04-07,0000917273,0.05
2023-04-07,0001070412,0.025
2023-04-07,0001107843,0.05
2023-04-07,0001173489,0.05
2023-04-07,0001273441,0.025
2023-04-07,0001280263,0.05
2023-04-07,0001327567,0.025
2023-04-07,0001361113,0.05
2023-04-07,0001373715,0.025
2023-04-07,0001475115,0.025
2023-04-07,0001509991,0.025
2023-04-07,0001585521,0.05
2023-04-07,0001628945,0.05
2023-04-07,0001773383,0.05
2023-04-07,0001827075,0.05
2023-04-07,0001834494,0.025
2023-04-07,0000833640,0.025
2023-04-07,0000858470,0.025
2023-04-07,0001023459,0.025
2023-04-07,0001124804,0.025
2023-04-07,0001288469,0.025
2023-04-07,0001506293,0.025
2023-04-07,0001562088,0.025
2023-04-07,0001640147,0.025
2023-04-07,0001704715,0.025
2023-07-07,0000004127,0.05
2023-07-07,0000023194,0.025
2023-07-07,0000769397,0.025
2023-07-07,0000858470,0.05
2023-07-07,0000917273,0.05
2023-07-07,0001031308,0.025
2023-07-07,0001108524,0.025
2023-07-07,0001124610,0.025
2023-07-07,0001314727,0.05
2023-07-07,0001327567,0.025
2023-07-07,0001349436,0.05
2023-07-07,0001353283,0.025
2023-07-07,0001361113,0.05
2023-07-07,0001393052,0.05
2023-07-07,0001442145,0.025
2023-07-07,0001475115,0.025
2023-07-07,0001493761,0.05
2023-07-07,0001640147,0.05
2023-07-07,0001792849,0.025
2023-07-07,0001856314,0.025
2023-07-07,0000056978,0.025
2023-07-07,0001124804,0.025
2023-07-07,0001280263,0.025
2023-07-07,0001280452,0.025
2023-07-07,0001321655,0.025
2023-07-07,0001506293,0.025
2023-07-07,0001585521,0.025
2023-07-07,0001657788,0.025
2023-07-07,0001671933,0.025
2023-07-07,0001698990,0.025
2023-07-07,0001773383,0.025
2023-10-06,0000004127,0.05
2023-10-06,0000023194,0.025
2023-10-06,0000033213,0.05
2023-10-06,0000769397,0.025
2023-10-06,0000858470,0.05
2023-10-06,0000874499,0.025
2023-10-06,0000945983,0.025
2023-10-06,0001031308,0.025
2023-10-06,0001070235,0.05
2023-10-06,0001314727,0.05
2023-10-06,0001327567,0.025
2023-10-06,0001349436,0.05
2023-10-06,0001353283,0.025
2023-10-06,0001361113,0.05
2023-10-06,0001475115,0.025
2023-10-06,0001493761,0.05
2023-10-06,0001640147,0.05
2023-10-06,0001701732,0.05
2023-10-06,0001803696,0.025
2023-10-06,0001807794,0.05
2023-10-06,0000056978,0.025
2023-10-06,0001124804,0.025
2023-10-06,0001280263,0.025
2023-10-06,0001280452,0.025
2023-10-06,0001321655,0.025
2023-10-06,0001393052,0.025
2023-10-06,0001516513,0.025
2023-10-06,0001621434,0.025
2023-10-06,0001657788,0.025
2024-01-05,0000004127,0.05
2024-01-05,0000033213,0.025
2024-01-05,0000858470,0.05
2024-01-05,0000945983,0.025
2024-01-05,0001013462,0.025
2024-01-05,0001031308,0.025
2024-01-05,0001070235,0.05
2024-01-05,0001104485,0.025
2024-01-05,0001280263,0.05
2024-01-05,0001314727,0.05
2024-01-05,0001327567,0.025
2024-01-05,0001353283,0.025
2024-01-05,0001361113,0.05
2024-01-05,0001475115,0.025
2024-01-05,0001493761,0.025
2024-01-05,0001621434,0.05
2024-01-05,0001640147,0.05
2024-01-05,0001713683,0.025
2024-01-05,0001803696,0.025
2024-01-05,0001807794,0.05
2024-01-05,0000056978,0.025
2024-01-05,0001124804,0.025
2024-01-05,0001280452,0.025
2024-01-05,0001321655,0.025
2024-01-05,0001349436,0.025
2024-01-05,0001516513,0.025
2024-01-05,0001585521,0.025
2024-01-05,0001657788,0.025
2024-01-05,0001701732,0.025
2024-01-05,0001773383,0.025
2024-01-05,0001902733,0.025
2024-04-05,0000004127,0.05
2024-04-05,0000007332,0.025
2024-04-05,0000033213,0.025
2024-04-05,0000315852,0.025
2024-04-05,0000769397,0.05
2024-04-05,0000858470,0.05
2024-04-05,0000945983,0.025
2024-04-05,0001013462,0.05
2024-04-05,0001031308,0.025
2024-04-05,0001104485,0.025
2024-04-05,0001314727,0.05
2024-04-05,0001361113,0.05
2024-04-05,0001373715,0.025
2024-04-05,0001475115,0.025
2024-04-05,0001621434,0.05
2024-04-05,0001640147,0.05
2024-04-05,0001701732,0.05
2024-04-05,0001713683,0.05
2024-04-05,0001730168,0.025
2024-04-05,0001807794,0.05
2024-04-05,0001070235,0.025
2024-04-05,0001280263,0.025
2024-04-05,0001280452,0.025
2024-04-05,0001321655,0.025
2024-04-05,0001349436,0.025
2024-04-05,0001494259,0.025
2024-04-05,0001585521,0.025
2024-04-05,0001657788,0.025
2024-04-05,0001773383,0.025
2024-07-05,0000004127,0.05
2024-07-05,0000006281,0.025
2024-07-05,0000351817,0.025
2024-07-05,0000935036,0.025
2024-07-05,0001013462,0.05
2024-07-05,0001013857,0.025
2024-07-05,0001031308,0.025
2024-07-05,0001104485,0.025
2024-07-05,0001108524,0.025
2024-07-05,0001114995,0.025
2024-07-05,0001280452,0.05
2024-07-05,0001314727,0.05
2024-07-05,0001327567,0.025
2024-07-05,0001361113,0.05
2024-07-05,0001393052,0.05
2024-07-05,0001493761,0.025
2024-07-05,0001506293,0.05
2024-07-05,0001657788,0.05
2024-07-05,0001897982,0.05
2024-07-05,0001928446,0.05
2024-07-05,0001044777,0.025
2024-07-05,0001562088,0.025
2024-07-05,0001580808,0.025
2024-07-05,0001585521,0.025
2024-07-05,0001621434,0.025
2024-07-05,0001679268,0.025
2024-07-05,0001698990,0.025
2024-07-05,0001701732,0.025
2024-07-05,0001807794,0.025
2024-07-05,0001902733,0.025
2024-10-04,0000004127,0.05
2024-10-04,0000033213,0.025
2024-10-04,0000874499,0.05
2024-10-04,0001013857,0.05
2024-10-04,0001114995,0.025
2024-10-04,0001171486,0.05
2024-10-04,0001262039,0.025
2024-10-04,0001280452,0.05
2024-10-04,0001327567,0.025
2024-10-04,0001361113,0.05
2024-10-04,0001373715,0.025
2024-10-04,0001393052,0.05
2024-10-04,0001562088,0.05
2024-10-04,0001615165,0.025
2024-10-04,0001657788,0.05
2024-10-04,0001679268,0.05
2024-10-04,0001701732,0.05
2024-10-04,0001730168,0.025
2024-10-04,0001773383,0.05
2024-10-04,0001897982,0.05
2024-10-04,0000895126,0.025
2024-10-04,0001044777,0.025
2024-10-04,0001506293,0.025
2024-10-04,0001580808,0.025
2024-10-04,0001585521,0.025
2024-10-04,0001902733,0.025
2024-10-04,0001928446,0.025
2025-01-03,0000033213,0.025
2025-01-03,0000874499,0.05
2025-01-03,0001013857,0.05
2025-01-03,0001044777,0.05
2025-01-03,0001114995,0.025
2025-01-03,0001171486,0.05
2025-01-03,0001327567,0.025
2025-01-03,0001361113,0.05
2025-01-03,0001373715,0.025
2025-01-03,0001393052,0.05
2025-01-03,0001459417,0.025
2025-01-03,0001562088,0.05
2025-01-03,0001580808,0.05
2025-01-03,0001585521,0.05
2025-01-03,0001615165,0.025
2025-01-03,0001657788,0.05
2025-01-03,0001679268,0.05
2025-01-03,0001701732,0.05
2025-01-03,0001713683,0.05
2025-01-03,0001773383,0.05
2025-01-03,0000004127,0.025
2025-01-03,0000895126,0.025
2025-01-03,0001506293,0.025
2025-01-03,0001698990,0.025
2025-01-03,0001902733,0.025
2025-01-03,0001928446,0.025
2025-04-04,0000006281,0.025
2025-04-04,0000033213,0.05
2025-04-04,0000785786,0.025
2025-04-04,0000874499,0.025
2025-04-04,0000895126,0.05
2025-04-04,0001013857,0.05
2025-04-04,0001031308,0.025
2025-04-04,0001044777,0.05
2025-04-04,0001171486,0.05
2025-04-04,0001327567,0.025
