candidate,price_family,price_weight,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,worst_delay_recent_cagr,endpoint_outperformance_share,rolling26_outperformance_share,rolling26_windows,worst_missing_bundle_recent_cagr,peak_total_stock_weight,latest_distinct_holdings,minimum_raw_bootstrap_probability,bonferroni_adjusted_probability,all_candidate_gates
fundamental_control,none,0.0,1.2420414930921906,3.1028844174788257,-0.08708758375337322,0.4273578340691979,1.0726891496158184,1.2280379258660892,0.0,0.0,163,1.0931712975015522,0.07025288590307753,26,0.995,1.0,False
trend_10,trend,0.1,1.1186287872104108,2.8755772567426225,-0.087087583753373,0.384899040793627,0.959429606825527,1.1030063719039078,0.0,0.10429447852760736,163,0.8686835529803183,0.07432052982306604,28,0.0854,0.0,False
residual_trend_10,residual_trend,0.1,1.1076435878786617,2.856910103224412,-0.08708758375337311,0.37325809028740764,0.9494836554137813,1.0967761032387977,0.0,0.05521472392638037,163,0.879373852351792,0.07383105480656188,29,0.0424,0.0,False
residual_10,residual,0.1,1.1003578301080297,2.8347604857363726,-0.08708758375337311,0.37295011274665346,0.9429723214420769,1.0922075411044845,0.0,0.07975460122699386,163,0.9315042853818589,0.07415434617634521,29,0.035,0.0,False
residual_20,residual,0.2,0.9213431667289791,2.470640946221346,-0.12375794847462052,0.34646435820527866,0.7713570916226926,0.9300448406045716,0.14285714285714285,0.1165644171779141,163,0.776968206272243,0.07916239289195669,27,0.0462,0.0,False
residual_30,residual,0.3,0.8373018643309005,2.2939684980274246,-0.14211538487514097,0.3334473288984374,0.6694891595232184,0.8604899718014813,0.0,0.17791411042944785,163,0.6270497680622227,0.08035627959455478,24,0.0156,0.0,False
trend_20,trend,0.2,0.8236343939874606,2.377262174268049,-0.12002204694781837,0.3249029097048317,0.6566092760762978,0.8201616356415928,0.0,0.11042944785276074,163,0.7784731864960024,0.06248313524767899,27,0.0096,0.0,False
residual_trend_20,residual_trend,0.2,0.8187990703796346,2.334656064626661,-0.1313075576034619,0.3241415365865363,0.6475843532932037,0.8385904354587927,0.0,0.08588957055214724,163,0.7534438804297394,0.06755196401884661,27,0.001,0.0,False
residual_trend_30,residual_trend,0.3,0.7957842658850198,2.25416103479683,-0.13822435283702528,0.34083795126107086,0.6022703489664079,0.8245419637991871,0.0,0.27607361963190186,163,0.7543107717841675,0.08482041772798489,26,0.007,0.0,False
trend_30,trend,0.3,0.7788299836928516,2.2375834698579378,-0.13849093244415123,0.3498430946847917,0.5871142316928533,0.7999943863312082,0.0,0.31901840490797545,163,0.7573944435080766,0.06922435491211622,25,0.0072,0.0,False
