candidate,bundle_size,banned_ciks,recent_cagr
fundamental_control,1,0001770787,1.2223088992343705
fundamental_control,2,0001770787|0001107843,1.1143926795045758
fundamental_control,3,0001770787|0001107843|0001327567,1.0998029045487927
fundamental_control,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0931712975015522
residual_10,1,0001770787,1.129987403750004
residual_10,2,0001770787|0001107843,1.0023209449067019
residual_10,3,0001770787|0001107843|0001327567,0.9315042853818589
residual_10,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.933425572889893
residual_20,1,0001770787,0.892554065641354
residual_20,2,0001770787|0001107843,0.8385946665195478
residual_20,3,0001770787|0001107843|0001327567,0.776968206272243
residual_20,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.7921669603729136
residual_30,1,0001770787,0.834387456513856
residual_30,2,0001770787|0001107843,0.6295042929435615
residual_30,3,0001770787|0001107843|0001327567,0.6270497680622227
residual_30,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.6272348982892093
trend_10,1,0001770787,1.1053415686057462
trend_10,2,0001770787|0001107843,0.8889283612335648
trend_10,3,0001770787|0001107843|0001327567,0.87176104634196
trend_10,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.8686835529803183
trend_20,1,0001770787,0.8036488511534972
trend_20,2,0001770787|0001107843,0.8015699965815619
trend_20,3,0001770787|0001107843|0001327567,0.7810682003055922
trend_20,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.7784731864960024
trend_30,1,0001770787,0.7573944435080766
trend_30,2,0001770787|0001107843,0.7605662006028604
trend_30,3,0001770787|0001107843|0001327567,0.800175879864214
trend_30,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.7972700177275605
residual_trend_10,1,0001770787,1.1341675109907872
residual_trend_10,2,0001770787|0001107843,1.0015189336394892
residual_trend_10,3,0001770787|0001107843|0001327567,0.9478104228158872
residual_trend_10,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.879373852351792
residual_trend_20,1,0001770787,0.8029584342215572
residual_trend_20,2,0001770787|0001107843,0.7958522727613164
residual_trend_20,3,0001770787|0001107843|0001327567,0.7821353782476421
residual_trend_20,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.7534438804297394
residual_trend_30,1,0001770787,0.7543107717841675
residual_trend_30,2,0001770787|0001107843,0.7782926880422547
residual_trend_30,3,0001770787|0001107843|0001327567,0.7862261888736828
residual_trend_30,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.7856915729722829
