name,state,regime_binding_share,target_vol_binding_share,none_binding_share,avg_self_gated_overlay_cut_risky,avg_non_self_gated_overlay_cut_risky,avg_overlay_cash_weight,overlay_penalty_mode,inferred_overlay_cash_source
improved_phase2b_regime_confidence_boost,calm_trend,0.0,0.003389830508474576,0.9966101694915255,6.092931456808475e-05,6.630510095069085e-05,0.033516425783243604,none,other_or_none
improved_phase2b_regime_confidence_boost,neutral_healthy_proxy,0.18771331058020477,0.0034129692832764505,0.8088737201365188,0.002836488435141885,0.003721779078646857,0.14923340060800244,none,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,neutral_mixed,0.19,0.0,0.81,0.014673856278763298,0.01789787567129942,0.3316676389889186,none,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,recovery_confirmed,0.2727272727272727,0.0,0.7272727272727273,0.005357162642833446,0.009152773887640225,0.06383761565651912,none,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,recovery_fragile,0.2653061224489796,0.0,0.7346938775510204,0.0022118806091238202,0.003585116260994237,0.12351317074439862,none,lighter_both_regime_relief
improved_phase2b_regime_confidence_boost,stressed_panic,0.2183406113537118,0.0,0.7816593886462883,0.04512372517189488,0.04901721485996033,0.5093247219202602,none,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,calm_trend,0.0,0.003389830508474576,0.9966101694915255,6.185861881151356e-05,6.925063140954e-05,0.035139319145584325,none,other_or_none
improved_phasett_recovery_two_stage_bucket,neutral_healthy_proxy,0.18771331058020477,0.0034129692832764505,0.8088737201365188,0.0047755467246979625,0.004314846177113489,0.15699896878107125,none,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,neutral_mixed,0.19,0.0,0.81,0.01511661349696708,0.017511283241492034,0.3329260218043655,none,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,recovery_confirmed,0.2727272727272727,0.0,0.7272727272727273,0.008536617355805843,0.005817222319513329,0.06529400415731872,none,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,recovery_fragile,0.24489795918367346,0.02040816326530612,0.7346938775510204,0.0036703900916925064,0.002937412128419226,0.12749099435961536,none,lighter_both_regime_relief
improved_phasett_recovery_two_stage_bucket,stressed_panic,0.2183406113537118,0.0,0.7816593886462883,0.045359393940307434,0.04870393913044326,0.5098276684082245,none,lighter_both_regime_relief
