portfolio,decision_date,first_return_date,one_way_turnover,cost_bps,selected_names,cash_weight
baseline,2019-02-01,2019-02-04,1.0,50.0,12,0.0
baseline,2019-03-01,2019-03-04,0.2956568036542038,50.0,12,0.0
baseline,2019-04-01,2019-04-02,0.3470527043267352,50.0,12,0.0
baseline,2019-05-02,2019-05-03,0.5222252966667795,50.0,12,1.1102230246251565e-16
baseline,2019-06-10,2019-06-11,0.3479493867872703,50.0,12,0.0
baseline,2019-07-01,2019-07-02,0.3357108123188457,50.0,12,0.0
baseline,2019-08-01,2019-08-02,0.34141606350243386,50.0,12,0.0
baseline,2019-09-02,2019-09-03,0.24607766865450195,50.0,12,0.0
baseline,2019-10-01,2019-10-02,0.3262505289511783,50.0,12,0.0
baseline,2019-11-01,2019-11-04,0.2765591709743455,50.0,12,0.0
baseline,2019-12-02,2019-12-03,0.2859912438059946,50.0,12,0.0
baseline,2020-01-02,2020-01-03,0.4333639905434767,50.0,12,0.0
baseline,2020-02-03,2020-02-04,0.27875069616204795,50.0,12,0.0
baseline,2020-03-02,2020-03-03,0.4445526583578001,50.0,12,0.0
baseline,2020-04-01,2020-04-02,0.430768946722342,50.0,12,1.1102230246251565e-16
baseline,2020-05-04,2020-05-05,0.11384479645191639,50.0,12,1.1102230246251565e-16
baseline,2020-06-02,2020-06-03,0.19950806367293789,50.0,12,0.0
baseline,2020-07-01,2020-07-02,0.283266016333733,50.0,12,0.0
baseline,2020-08-03,2020-08-04,0.24246045833827773,50.0,12,0.0
baseline,2020-09-01,2020-09-02,0.19666657166230483,50.0,12,0.0
baseline,2020-10-01,2020-10-02,0.2057803143213999,50.0,12,0.0
baseline,2020-11-02,2020-11-03,0.3683103505428868,50.0,12,0.0
baseline,2020-12-01,2020-12-02,0.3189988357912657,50.0,12,0.0
baseline,2021-01-04,2021-01-05,0.4230976089631047,50.0,12,0.0
baseline,2021-02-01,2021-02-02,0.4439062112749952,50.0,12,0.0
baseline,2021-03-01,2021-03-02,0.1874691753244876,50.0,12,1.1102230246251565e-16
baseline,2021-04-01,2021-04-05,0.6108312421486941,50.0,12,0.0
baseline,2021-05-03,2021-05-04,0.4219652779144333,50.0,12,1.1102230246251565e-16
baseline,2021-06-02,2021-06-03,0.27125377056400046,50.0,12,0.0
