decision_date,point_in_time_members,eligible_names,breadth_names,breadth,breadth_state,stock_allocation,selected_names,status
2019-02-01,80,66,66,0.7727272727272727,broad,1.0,12,candidate
2019-03-01,80,68,68,0.7205882352941176,broad,1.0,12,candidate
2019-04-01,80,69,69,0.6666666666666666,broad,1.0,12,candidate
2019-05-02,80,63,63,0.6984126984126984,broad,1.0,12,candidate
2019-06-10,80,63,63,0.47619047619047616,mixed,0.6,12,candidate
2019-07-01,80,62,62,0.6129032258064516,broad,1.0,12,candidate
2019-08-01,80,66,66,0.5909090909090909,mixed,0.6,12,candidate
2019-09-02,80,69,69,0.43478260869565216,mixed,0.6,12,candidate
2019-10-01,80,70,70,0.4142857142857143,mixed,0.6,12,candidate
2019-11-01,80,69,69,0.43478260869565216,mixed,0.6,12,candidate
2019-12-02,80,67,67,0.2835820895522388,weak,0.25,12,candidate
2020-01-02,80,66,66,0.4393939393939394,mixed,0.6,12,candidate
2020-02-03,80,66,66,0.3181818181818182,weak,0.25,12,candidate
2020-03-02,80,65,65,0.15384615384615385,weak,0.25,12,candidate
2020-04-01,80,64,64,0.015625,weak,0.25,12,candidate
2020-05-04,80,64,64,0.125,weak,0.25,12,candidate
2020-06-02,80,62,62,0.08064516129032258,weak,0.25,12,candidate
2020-07-01,80,66,66,0.15151515151515152,weak,0.25,12,candidate
2020-08-03,80,68,68,0.38235294117647056,weak,0.25,12,candidate
2020-09-01,80,72,72,0.5555555555555556,mixed,0.6,12,candidate
2020-10-01,80,69,69,0.36231884057971014,weak,0.25,12,candidate
2020-11-02,80,70,70,0.6285714285714286,broad,1.0,12,candidate
2020-12-01,80,70,70,0.9571428571428572,broad,1.0,12,candidate
2021-01-04,80,75,75,0.9333333333333333,broad,1.0,12,candidate
2021-02-01,80,79,79,0.8354430379746836,broad,1.0,12,candidate
2021-03-01,80,78,78,0.8717948717948718,broad,1.0,12,candidate
2021-04-01,80,78,78,0.6538461538461539,broad,1.0,12,candidate
2021-05-03,80,77,77,0.6493506493506493,broad,1.0,12,candidate
2021-06-02,80,75,75,0.38666666666666666,weak,0.25,12,candidate
2021-07-01,80,71,71,0.3380281690140845,weak,0.25,12,candidate
2021-08-02,80,74,74,0.32432432432432434,weak,0.25,12,candidate
2021-09-01,80,73,73,0.3424657534246575,weak,0.25,12,candidate
2021-10-01,80,69,69,0.4057971014492754,mixed,0.6,12,candidate
2021-11-01,80,73,73,0.5753424657534246,mixed,0.6,12,candidate
2021-12-01,80,70,70,0.4857142857142857,mixed,0.6,12,candidate
2022-01-03,80,68,68,0.4411764705882353,mixed,0.6,12,candidate
2022-02-02,80,70,70,0.45714285714285713,mixed,0.6,12,candidate
2022-03-01,80,70,70,0.5142857142857142,mixed,0.6,12,candidate
