security_id,ticker,event_date,action_type,amount,knowledge_at_utc,source_revision
yahoo-ticker:SPY,SPY,1993-03-19,cash_distribution,0.213,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1993-06-18,cash_distribution,0.318,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1993-09-17,cash_distribution,0.286,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1993-12-17,cash_distribution,0.317,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1994-03-18,cash_distribution,0.271,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1994-06-17,cash_distribution,0.305,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1994-09-16,cash_distribution,0.288,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1994-12-16,cash_distribution,0.363,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1995-03-17,cash_distribution,0.268,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1995-06-16,cash_distribution,0.316,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1995-09-15,cash_distribution,0.312,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1995-12-15,cash_distribution,0.382,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1996-03-15,cash_distribution,0.285,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1996-06-21,cash_distribution,0.351,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1996-09-20,cash_distribution,0.352,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1996-12-20,cash_distribution,0.367,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1997-03-21,cash_distribution,0.299,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:SPY,SPY,1997-06-20,cash_distribution,0.35,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
yahoo-ticker:EWJ,EWJ,1997-08-25,cash_distribution,0.02,2026-08-14T22:06:15.842138+00:00,yfinance-1.5.2:2026-08-14T22:06:15.842138+00:00
yahoo-ticker:SPY,SPY,1997-09-19,cash_distribution,0.348,2026-08-14T22:06:21.409180+00:00,yfinance-1.5.2:2026-08-14T22:06:21.409180+00:00
