comparison,verdict,ok,fail
FG_vs_GGG,PASS,Full Sharpe Δ=+0.0121 ≥ +0.01; Holdout Sharpe Δ=+0.0276 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0004 ≥ -0.002; SP Sharpe Δ=-0.0014 (intact); Extra cost=0.029% (< 0.15%); Bootstrap P=0.841 ≥ 0.60; Rolling win=73.3% ≥ 55%,
FG_vs_PROD,PASS,Full Sharpe Δ=+0.0638 ≥ +0.01; Holdout Sharpe Δ=+0.0790 ≥ -0.02; MaxDD Δ=+0.0237 ≥ -0.01; CVaR Δ=+0.0012 ≥ -0.002; SP Sharpe Δ=-0.0174 (intact); Extra cost=0.058% (< 0.15%); Bootstrap P=0.842 ≥ 0.60; Rolling win=73.3% ≥ 55%,
