comparison,p_cand_gt_base,mean_delta,ci95_lo,ci95_hi,n_boot,rolling_win_rate
FG_vs_GGG,0.841,0.029843897089981503,-0.022832800138781785,0.08064946134547739,2000,0.7333333333333333
FG_vs_PROD,0.8415,0.17395939969396354,-0.20746610229476017,0.4793256325192677,2000,0.7333333333333333
