metric,named_artifact,phase10a_source,abs_diff
full_sharpe,0.9482556438408293,0.9482556438408292,1.1102230246251565e-16
full_max_drawdown,-0.1160345788576096,-0.1160345788576096,0.0
full_cvar_5,-0.024947928857399968,-0.0249479288573999,6.938893903907228e-17
avg_turnover,0.06738780265652743,0.0673878026565274,2.7755575615628914e-17
