version,role,market_state,sleeve,BIL_contribution,SPY_contribution,offense_contribution,defense_contribution,cash_contribution,real_asset_contribution,mixed_sleeve_proxy,total_defense_real
improved_phase2b_regime_confidence_boost,production,recovery_confirmed,composite_selective_signals,0.0,0.0016431254001086964,0.03568988172877176,0.13711668413244604,0.0,0.05826603611299986,False,0.1953827202454459
improved_phase2b_combo_abc,official_shadow,recovery_confirmed,composite_selective_signals,0.0,0.0016431254001086964,0.035626466259491854,0.13692153554121267,0.0,0.05826516159744753,False,0.19518669713866021
improved_phase2b_regime_confidence_boost,production,recovery_confirmed,composite_regime_conditioned,0.06183959185098217,0.003441077222525986,0.09963964143988456,0.11059291207394417,0.06183959185098217,0.058999515415343956,True,0.16959242748928813
improved_phase2b_combo_abc,official_shadow,recovery_confirmed,composite_regime_conditioned,0.062172458968042126,0.003441077222525986,0.10019897988511109,0.11017560095523422,0.062172458968042126,0.0591269174814778,True,0.169302518436712
improved_phase2b_regime_confidence_boost,production,recovery_fragile,composite_selective_signals,0.0,0.0022786629394324805,0.03176241118210952,0.11954686306976703,0.0,0.03882224065203841,False,0.15836910372180543
improved_phase2b_combo_abc,official_shadow,recovery_fragile,composite_selective_signals,0.0,0.002276267914586268,0.03171797391590758,0.1175837697049422,0.0,0.03820865167050162,False,0.15579242137544383
improved_phase2b_regime_confidence_boost,production,recovery_fragile,composite_regime_conditioned,0.06480509989518281,0.0036243675675292912,0.06580553658827218,0.10000580481089917,0.06480509989518281,0.04836261413716906,True,0.14836841894806824
improved_phase2b_regime_confidence_boost,production,calm_trend,composite_selective_signals,0.0,0.006789677096105229,0.06939910271814,0.11009214762556717,0.0,0.03702557761574428,False,0.14711772524131145
improved_phase2b_combo_abc,official_shadow,calm_trend,composite_selective_signals,0.0,0.00679239350386022,0.06927127030978697,0.10987637356131184,0.0,0.03697614630771486,False,0.1468525198690267
improved_phase2b_combo_abc,official_shadow,recovery_fragile,composite_regime_conditioned,0.06447117502898807,0.003626638530864024,0.06519223884972433,0.09762435224818672,0.06447117502898807,0.047420253612736864,True,0.14504460586092358
improved_phase2b_regime_confidence_boost,production,calm_trend,composite_regime_conditioned,0.03436653412004407,0.01245710426862972,0.13569236030251333,0.07891042842481731,0.03436653412004407,0.06200724066157713,False,0.14091766908639444
