checkpoint,chosen_alpha
2009-01-02,0.16
2009-07-03,0.16
2010-01-01,0.08
2010-07-02,0.08
2010-12-31,0.08
2011-07-01,0.16
2011-12-30,0.08
2012-06-29,0.08
2012-12-28,0.08
2013-06-28,0.08
2013-12-27,0.08
2014-06-27,0.08
2014-12-26,0.08
2015-06-26,0.08
2015-12-25,0.08
2016-06-24,0.08
2016-12-23,0.08
2017-06-23,0.08
2017-12-22,0.08
2018-06-22,0.08
2018-12-21,0.08
2019-06-21,0.08
2019-12-20,0.08
2020-06-19,0.08
2020-12-18,0.08
2021-06-18,0.08
2021-12-17,0.08
2022-06-17,0.08
2022-12-16,0.08
2023-06-16,0.08
2023-12-15,0.08
2024-06-14,0.16
2024-12-13,0.16
2025-06-13,0.16
2025-12-12,0.16
