Date,net_return,wealth,turnover,cost,drawdown
2023-01-06,-0.004750000000000032,0.99525,0.95,0.00475,0.0
2023-01-09,0.021116510373515585,1.0162662069492414,0.0,0.0,0.0
2023-01-10,0.008541966476216745,1.0249471188199137,0.0,0.0,0.0
2023-01-11,0.02065983071224009,1.0461223527837313,0.0,0.0,0.0
2023-01-12,0.018002604573922776,1.0649552798368387,0.0,0.0,0.0
2023-01-13,0.00852801903472944,1.0740372387344228,0.0,0.0,0.0
2023-01-17,0.006895874929502055,1.0814436652023631,0.0,0.0,0.0
2023-01-18,-0.002558366102931253,1.0786769363870796,0.0,0.0,-0.002558366102931253
2023-01-19,-0.0008733429183582775,1.0777348815234895,0.0,0.0,-0.003429474690371026
2023-01-20,0.026169884417839073,1.1059390788060328,0.0,0.0,0.0
2023-01-23,0.013736899764231092,1.1211312530769373,0.0,0.0,0.0
2023-01-24,-0.01476425685468663,1.1045785832886927,0.0,0.0,-0.01476425685468663
2023-01-25,0.007550219875566144,1.1129183944623637,0.0,0.0,-0.0073255103646726605
2023-01-26,0.022119006482613113,1.137535043644096,0.0,0.0,0.0
2023-01-27,0.001480081852386128,1.139218688618647,0.0,0.0,0.0
2023-01-30,-0.01969155602642969,1.1167856999853571,0.0,0.0,-0.01969155602642969
2023-01-31,0.025348834261369246,1.1450949155997532,0.0,0.0,0.0
2023-02-01,0.01635073805669851,1.163818062614782,0.0,0.0,0.0
2023-02-02,0.010503169917448485,1.176041841479421,0.0,0.0,0.0
2023-02-03,-0.01001417924086212,1.1642647476840924,0.0,0.0,-0.01001417924086212
2023-02-06,-0.023413001127562838,1.137005815833783,0.0,0.0,-0.033192718378567077
2023-02-07,0.031624437634962366,1.1729629853472079,0.0,0.0,-0.0026179817959026686
2023-02-08,-0.014139690314605047,1.1563776519839037,0.0,0.0,-0.016720654658664458
2023-02-09,0.0016022018161623297,1.1582304023580818,0.0,0.0,-0.015145242705763673
2023-02-10,-0.00040510417936723275,1.1577611983814164,0.0,0.0,-0.015544211484013193
