cik10,source,rows,dividend_events,split_events,first_date,last_date
0001724965,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001743725,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001751008,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001773383,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001784535,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001792849,yahoo_current_sec,926,12,0,2022-12-01,2026-08-13
0001803696,yahoo_current_sec,927,14,0,2022-12-01,2026-08-13
0001807794,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001819974,yahoo_current_sec,913,0,0,2022-12-01,2026-08-07
0001827075,tiingo_repair_v1,303,0,0,2022-04-01,2023-06-15
0001834494,tiingo_identity_validated,643,0,0,2023-04-03,2025-10-23
0001838406,yahoo_current_sec,470,0,0,2024-09-26,2026-08-13
0001855747,yahoo_repair_v1,1273,0,0,2021-07-16,2026-08-11
0001856314,yahoo_current_sec,926,14,0,2022-12-01,2026-08-13
0001861795,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001863105,tiingo_repair_v1,205,0,0,2023-04-03,2024-01-25
0001897982,tiingo_identity_validated,362,0,0,2023-10-02,2025-03-12
0001928446,yahoo_current_sec,926,14,0,2022-12-01,2026-08-13
0001992243,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
