Date,net_return,wealth,turnover,cost,growth_target,largest_stock_weight,drawdown
2023-01-06,-0.005497500000000044,0.9945025,0.09999999999999999,0.0004975,0.1,0.02,0.0
2023-01-09,0.006055525345331159,1.0005247350947453,0.0,0.0,0.1,0.020437513294210362,0.0
2023-01-10,0.006266780561649865,1.0067948040560868,0.0,0.0,0.1,0.020565880703372116,0.0
2023-01-11,0.01142158538571092,1.0182939968765035,0.0,0.0,0.1,0.02102188256371529,0.0
2023-01-12,0.013476358013753353,1.032016891341667,0.0,0.0,0.1,0.021095620288397298,0.0
2023-01-13,0.002466046673659017,1.03456189316372,0.019223729703069348,9.636494405698164e-05,0.1,0.025659026562921357,0.0
2023-01-17,0.00634201234814924,1.041123097465089,0.0,0.0,0.1,0.02687928273183997,0.0
2023-01-18,-0.015954654217052555,1.0245123384476467,0.0,0.0,0.1,0.02678512473801342,-0.015954654217052555
2023-01-19,-0.005319613029030945,1.0190623292636376,0.0,0.0,0.1,0.026462177108355984,-0.021189394659636873
2023-01-20,0.020575803272971926,1.0400303552734627,0.0008722560431034913,4.4510364714675496e-06,0.1,0.026968625431431817,-0.0010495802026549983
2023-01-23,0.016756120666718166,1.0574572294034745,0.0,0.0,0.1,0.028185992062529593,0.0
2023-01-24,-0.005997264183565276,1.051115379035921,0.0,0.0,0.1,0.026641178920000085,-0.005997264183565276
2023-01-25,-0.0037525810118996805,1.047170983423235,0.0,0.0,0.1,0.025674624656170618,-0.009727339975766358
2023-01-26,0.023028968657321736,1.0712862511793455,0.0,0.0,0.1,0.026958971508043564,0.0
2023-01-27,-0.006002135218358795,1.0648562462421984,0.0016414660362057236,8.15813563201316e-06,0.1,0.028020425010040862,-0.006002135218358795
2023-01-30,-0.01380407959519292,1.0501568858616328,0.0,0.0,0.1,0.027618059588973426,-0.019723360861256256
2023-01-31,0.011266462324514448,1.0619884388510223,0.0,0.0,0.1,0.027354065942357474,-0.008679111038797926
2023-02-01,0.02044897519925515,1.0837050140989826,0.0,0.0,0.1,0.029483161954861687,0.0
2023-02-02,0.017553732519451692,1.1027280820464647,0.0,0.0,0.1,0.030470577759204233,0.0
