execution_delay_sessions,cost_bps,window,days,start,end,cagr,sharpe_zero_rf,max_drawdown,total_return,annual_turnover,ending_value_10000
0,50,full_recent,901,2023-01-06,2026-08-11,0.40124807775620375,1.516312775548233,-0.23237209902821998,2.3407915041135965,3.2529554731658314,33407.915041135966
0,50,trailing_2y,501,2024-08-12,2026-08-11,0.5882003357772247,1.764930040838281,-0.2323720990282192,1.50852733279419,2.8136531701744025,25085.2733279419
0,50,trailing_1y,252,2025-08-11,2026-08-11,1.0248841837019058,2.2892137557267005,-0.17941471582306556,1.0248841837019058,0.5499988391170283,20248.84183701906
0,50,ytd,152,2026-01-02,2026-08-11,1.094712666527113,2.0893702369535947,-0.17941471582306534,0.5620470752954732,0.9118401806413893,15620.470752954732
0,100,full_recent,901,2023-01-06,2026-08-11,0.3487139389276721,1.353515008705361,-0.24297311377145148,1.9141708169314002,3.254359488519068,29141.708169314003
0,100,trailing_2y,501,2024-08-12,2026-08-11,0.5310525733591827,1.631469537795966,-0.24297311377145192,1.332265265775788,2.8147206944497216,23322.65265775788
0,100,trailing_1y,252,2025-08-11,2026-08-11,0.9816941976385145,2.22260628757872,-0.1829545060436697,0.9816941976385145,0.5503720279689931,19816.941976385144
0,100,ytd,152,2026-01-02,2026-08-11,1.0520353305222963,2.0351064235006184,-0.18295450604366936,0.5427727641353348,0.9124588884749096,15427.727641353347
0,200,full_recent,901,2023-01-06,2026-08-11,0.24916763490855098,1.027795348983955,-0.30173000285563556,1.215426916015205,3.25717110418898,22154.26916015205
0,200,trailing_2y,501,2024-08-12,2026-08-11,0.4225537650388327,1.3640461218995872,-0.2637932946282363,1.0151859776855519,2.816856430094465,20151.85977685552
0,200,trailing_1y,252,2025-08-11,2026-08-11,0.8978943177907612,2.0882319966202565,-0.1900053516329987,0.8978943177907612,0.5511162057191943,18978.94317790761
0,200,ytd,152,2026-01-02,2026-08-11,0.9690903601536789,1.9258791984715002,-0.1900053516329996,0.5048512185933609,0.9136926568502433,15048.512185933609
1,50,full_recent,901,2023-01-06,2026-08-11,0.3634036744812763,1.4122555981791745,-0.2375719859183979,2.0292552367735506,3.2495039358610143,30292.552367735505
1,50,trailing_2y,501,2024-08-12,2026-08-11,0.5444759115501399,1.6803733754696355,-0.23757198591839712,1.3730936864541472,2.8087310556127365,23730.936864541472
1,50,trailing_1y,252,2025-08-11,2026-08-11,0.9470168463702735,2.194655923495327,-0.1712288244625607,0.9470168463702735,0.533909905285271,19470.168463702736
1,50,ytd,152,2026-01-02,2026-08-11,1.0616505245235959,2.0750990278958863,-0.17122882446256038,0.5471290378111735,0.8851664219203178,15471.290378111735
1,100,full_recent,901,2023-01-06,2026-08-11,0.3122019665586009,1.250720976664843,-0.2586466924513252,1.6417959618133242,3.250955191469324,26417.95961813324
1,100,trailing_2y,501,2024-08-12,2026-08-11,0.48865680609084916,1.5492889686551732,-0.24866248087708775,1.205627135872862,2.809889706184542,22056.27135872862
1,100,trailing_1y,252,2025-08-11,2026-08-11,0.9044473715334169,2.1270230631589513,-0.1754004117518364,0.9044473715334169,0.5342494464679408,19044.47371533417
1,100,ytd,152,2026-01-02,2026-08-11,1.0175564502599017,2.0184184643872065,-0.17540041175183663,0.5270846705675991,0.8857293454600071,15270.846705675991
