cik10,source,price_file,error
0000788965,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/HNRG.csv.gz,"OSError(5, 'Input/output error')"
0000927003,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/AEIS.csv.gz,"OSError(5, 'Input/output error')"
0000945983,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/CLMB.csv.gz,"OSError(5, 'Input/output error')"
0001039399,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/FORM.csv.gz,"OSError(5, 'Input/output error')"
0001124804,yahoo_recovered_former,/workspace/2.0/data/sec_recovered_price_probe_vintages/20260813T100449Z-recovered-yahoo-price-probe-v1/histories/MDRX.csv.gz,"OSError(5, 'Input/output error')"
0001361113,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/VRNS.csv.gz,"OSError(5, 'Input/output error')"
0001463101,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/ENPH.csv.gz,"OSError(5, 'Input/output error')"
0001520006,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/MTDR.csv.gz,"OSError(5, 'Input/output error')"
0001650372,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/TEAM.csv.gz,"OSError(5, 'Input/output error')"
0001653482,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/GTLB.csv.gz,"OSError(5, 'Input/output error')"
0001679268,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/TUSK.csv.gz,"OSError(5, 'Input/output error')"
0001694028,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/LBRT.csv.gz,"OSError(5, 'Input/output error')"
0001701732,tiingo_identity_validated,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/ALTR/prices.csv.gz,"OSError(5, 'Input/output error')"
0001713445,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/RDDT.csv.gz,"OSError(5, 'Input/output error')"
0001713683,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/ZS.csv.gz,"OSError(5, 'Input/output error')"
0001827075,tiingo_identity_validated,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/CVT/prices.csv.gz,"OSError(5, 'Input/output error')"
0001855747,yahoo_current_sec,/workspace/2.0/data/yahoo_recent_current_sec_price_vintages/20260813T205326Z-yahoo-recent-current-sec-v1/histories/BLND.csv.gz,"OSError(5, 'Input/output error')"
0001863105,tiingo_identity_validated,/workspace/2.0/data/tiingo_delisted_price_probe_cache_v1/ESMT/prices.csv.gz,"OSError(5, 'Input/output error')"
