decision_date,realization_date,gross_return,net_return,turnover,cost,invested_weight
2005-01-07,2005-01-14,0.0,0.0,0.0,0.0,0.0
2005-01-14,2005-01-21,0.0,0.0,0.0,0.0,0.0
2005-01-21,2005-01-28,0.0,0.0,0.0,0.0,0.0
2005-01-28,2005-02-04,0.0,0.0,0.0,0.0,0.0
2005-02-04,2005-02-11,0.0,0.0,0.0,0.0,0.0
2005-02-11,2005-02-18,0.0,0.0,0.0,0.0,0.0
2005-02-18,2005-02-25,0.0,0.0,0.0,0.0,0.0
2005-02-25,2005-03-04,0.011824479002359108,0.006824479002359108,1.0,0.005,1.0
2005-03-04,2005-03-11,-0.007177022834136838,-0.007177022834136838,0.0,0.0,1.0
2005-03-11,2005-03-18,-0.008333431633458474,-0.008333431633458474,0.0,0.0,1.0
2005-03-18,2005-03-25,-0.020121166860884204,-0.020121166860884204,0.0,0.0,1.0
2005-03-25,2005-04-01,0.0040232077418791805,0.0014412585747328281,0.5163898334292705,0.0025819491671463524,1.0
2005-04-01,2005-04-08,0.002472974737769136,0.002472974737769136,0.0,0.0,1.0
2005-04-08,2005-04-15,-0.019548261928809117,-0.019548261928809117,0.0,0.0,1.0
2005-04-15,2005-04-22,0.009839299189967586,0.009839299189967586,0.0,0.0,1.0
2005-04-22,2005-04-29,0.0032413467919647446,0.0032413467919647446,0.0,0.0,1.0
2005-04-29,2005-05-06,0.014201708719078651,0.010984135435939847,0.6435146566277608,0.003217573283138804,1.0
2005-05-06,2005-05-13,-0.017891055829029327,-0.017891055829029327,0.0,0.0,1.0
2005-05-13,2005-05-20,0.01591871073800491,0.01591871073800491,0.0,0.0,1.0
2005-05-20,2005-05-27,0.011083676926951436,0.011083676926951436,0.0,0.0,1.0
2005-05-27,2005-06-03,0.007737470454518909,0.006456125293305847,0.25626903224261255,0.0012813451612130628,0.9999999999999999
2005-06-03,2005-06-10,0.010601909235128666,0.010601909235128666,0.0,0.0,0.9999999999999999
2005-06-10,2005-06-17,0.025236137197776162,0.025236137197776162,0.0,0.0,0.9999999999999999
2005-06-17,2005-06-24,-0.011149305302690196,-0.011149305302690196,0.0,0.0,0.9999999999999999
2005-06-24,2005-07-01,0.0005257627030523515,-0.0008091406648085312,0.26698067357217653,0.0013349033678608827,1.0
