forward_sessions,period,observations,mean_ic,median_ic,ic_std,positive_rate,selected_on_development
1,development,2769,0.04563624675968078,0.05454545454545454,0.40744455087933995,0.5366558324304803,False
1,validation,1259,0.04536924662477317,0.054945054945054944,0.3843212355108587,0.551231135822081,False
1,retrospective_test,1404,0.02018714868036637,0.02087912087912088,0.35958315333811036,0.5242165242165242,False
2,development,2769,0.04234033370708317,0.038461538461538464,0.40307848098199395,0.5211267605633803,False
2,validation,1259,0.03919419158775367,0.054945054945054944,0.3732991846801983,0.5472597299444003,False
2,retrospective_test,1403,0.020816852643101975,0.03296703296703297,0.36595105707694764,0.5317177476835353,False
5,development,2769,0.04696529618620294,0.045454545454545456,0.3981943002206494,0.5420729505236548,False
5,validation,1259,0.05243801124955821,0.05934065934065934,0.3837361680798426,0.5496425734710088,False
5,retrospective_test,1400,0.03468289199596797,0.041758241758241756,0.3597701277835424,0.5407142857142857,False
10,development,2769,0.05167252699507653,0.04242424242424243,0.3954970861940274,0.5377392560491152,False
10,validation,1259,0.05553984379599791,0.05054945054945055,0.3747706390048968,0.556791104050834,False
10,retrospective_test,1395,0.04265858140019985,0.04395604395604396,0.3543403529635516,0.5483870967741935,False
20,development,2769,0.05427975780088456,0.04945054945054945,0.380454971480668,0.5482123510292525,True
20,validation,1259,0.06942682309429445,0.07252747252747253,0.3607082090932235,0.5774424146147736,True
20,retrospective_test,1385,0.025443725949141113,0.024175824175824177,0.33912102783907355,0.5270758122743683,True
