decision_date,realization_date,gross_return,net_return,turnover,cost,invested_weight
2005-01-07,2005-01-14,0.0,0.0,0.0,0.0,0.0
2005-01-14,2005-01-21,0.0,0.0,0.0,0.0,0.0
2005-01-21,2005-01-28,0.0,0.0,0.0,0.0,0.0
2005-01-28,2005-02-04,0.0,0.0,0.0,0.0,0.0
2005-02-04,2005-02-11,0.0,0.0,0.0,0.0,0.0
2005-02-11,2005-02-18,0.0,0.0,0.0,0.0,0.0
2005-02-18,2005-02-25,0.0026377842212583886,-0.0023622157787416115,1.0,0.005,1.0
2005-02-25,2005-03-04,0.005870700944304569,0.004839833522602201,0.2061734843404735,0.0010308674217023675,1.0
2005-03-04,2005-03-11,-0.013398213564228646,-0.013398213564228646,0.0,0.0,1.0
2005-03-11,2005-03-18,-0.005342948228383845,-0.005342948228383845,0.0,0.0,1.0
2005-03-18,2005-03-25,-0.010259951771173219,-0.011736116764303898,0.2952329986261359,0.0014761649931306793,1.0
2005-03-25,2005-04-01,0.0040232077418791805,0.0038751344960714566,0.029614649161544743,0.0001480732458077237,1.0
2005-04-01,2005-04-08,0.003773158698146326,0.002566565048524449,0.24131872992437534,0.0012065936496218766,1.0
2005-04-08,2005-04-15,0.0,-0.004999999999999999,0.9999999999999999,0.004999999999999999,0.0
2005-04-15,2005-04-22,0.012683541537955176,0.007683541537955176,1.0,0.005,1.0
2005-04-22,2005-04-29,-0.0015697489330074189,-0.002604689013763888,0.20698801615129386,0.0010349400807564693,1.0
2005-04-29,2005-05-06,0.014201708719078651,0.013081065354007727,0.22412867301418488,0.0011206433650709244,1.0
2005-05-06,2005-05-13,-0.017891055829029327,-0.017891055829029327,0.0,0.0,1.0
2005-05-13,2005-05-20,0.02949961378213544,0.027907826862288612,0.31835738396936586,0.0015917869198468291,1.0
2005-05-20,2005-05-27,0.0022909222795663843,0.0022909222795663843,0.0,0.0,1.0
2005-05-27,2005-06-03,0.007737470454518909,0.0062341102525242074,0.3006720403989403,0.0015033602019947016,0.9999999999999999
2005-06-03,2005-06-10,0.010601909235128666,0.010601909235128666,0.0,0.0,0.9999999999999999
2005-06-10,2005-06-17,0.02323450378591152,0.021902308809469598,0.2664389952883848,0.001332194976441924,1.0
2005-06-17,2005-06-24,-0.004606781370541818,-0.005770222017190451,0.2326881293297266,0.001163440646648633,1.0
