candidate,sleeve,ensemble,breadth,market_cap_floor,sector_cap,cohorts,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown
all_valuation__top10__floor100m__sector50__cohort1__w0.10__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.1,50,0.9973810787605144,2.856674793160014,-0.07893763858017344,0.3854560952080459,1.62490957676194,-0.21916671243138786
all_valuation__top10__floor100m__sector50__cohort1__w0.20__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.2,50,0.9425467586427572,3.0267502277003446,-0.07412577872994552,0.3610767185078101,1.604956324614149,-0.2260920618846497
all_valuation__top10__floor100m__sector50__cohort1__w0.30__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.3,50,0.8866668127765696,3.182043892773368,-0.07143206422597326,0.3362458622262543,1.5596593160863037,-0.23606761378857777
all_valuation__top10__floor100m__sector50__cohort1__w0.40__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.4,50,0.8299028277695011,3.2861599380240056,-0.06873800419317178,0.3110000216556419,1.4861467328224787,-0.24673225963883605
all_valuation__top10__floor100m__sector50__cohort1__w0.10__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.1,100,0.9956524730771232,2.8535734732897207,-0.07893763858017322,0.38379633222649434,1.6197786171402468,-0.2193864199960892
all_valuation__top10__floor100m__sector50__cohort1__w0.20__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.2,100,0.9391680662500752,3.0195147867641876,-0.07412577872994563,0.357814252571373,1.594187752264162,-0.2260920618846497
all_valuation__top10__floor100m__sector50__cohort1__w0.30__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.3,100,0.8817204267971703,3.169237484977233,-0.07143206422597348,0.33143933893447564,1.5428706270988983,-0.236067613788578
all_valuation__top10__floor100m__sector50__cohort1__w0.40__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.4,100,0.823474525879133,3.266039407681054,-0.06873800419317178,0.3047095070239805,1.4631685487393713,-0.2467322596388366
all_valuation__top10__floor100m__sector50__cohort1__w0.10__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.1,200,0.9921981254121435,2.8473320056818046,-0.07893763858017344,0.3804805685771928,1.6094513405337538,-0.21982583512549259
all_valuation__top10__floor100m__sector50__cohort1__w0.20__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.2,200,0.9324219374214733,3.004846449388175,-0.07412577872994552,0.3513041390810614,1.5723692923024364,-0.22609206188464992
all_valuation__top10__floor100m__sector50__cohort1__w0.30__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.3,200,0.871852508960157,3.1430764936676403,-0.07143206422597337,0.32185910186770306,1.5086403580977454,-0.23606761378857788
all_valuation__top10__floor100m__sector50__cohort1__w0.40__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,1,0.4,200,0.810661227739047,3.224674182218871,-0.06873800419317178,0.2921858396277992,1.416075641592438,-0.2467322596388365
all_valuation__top10__floor100m__sector50__cohort2__w0.10__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.1,50,0.9973701419149552,2.8583527489475413,-0.078953710693762,0.38453653132264654,1.622333208261312,-0.2194128848408642
all_valuation__top10__floor100m__sector50__cohort2__w0.20__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.2,50,0.9425153064664897,3.030883483329035,-0.07404116417463535,0.3592761796963704,1.5997858188047107,-0.2258151506235173
all_valuation__top10__floor100m__sector50__cohort2__w0.30__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.3,50,0.8866064159819995,3.1894799036491794,-0.07130481465358596,0.3336035476005812,1.5519333958500385,-0.23585406346775095
all_valuation__top10__floor100m__sector50__cohort2__w0.40__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.4,50,0.8298061991288115,3.2973747433407468,-0.06856790081887121,0.3075556284057741,1.475924164919235,-0.24645053694580044
all_valuation__top10__floor100m__sector50__cohort2__w0.10__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.1,100,0.9956299141664307,2.855800618414217,-0.07895371069376189,0.3828745742550961,1.6171048322014252,-0.2196272272410168
all_valuation__top10__floor100m__sector50__cohort2__w0.20__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.2,100,0.9391153651242043,3.025135662990106,-0.07404116417463558,0.3560104115531446,1.5887608920422467,-0.2258151506235173
all_valuation__top10__floor100m__sector50__cohort2__w0.30__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.3,100,0.8816311071234186,3.1796209778220854,-0.07130481465358618,0.3287936590192404,1.5346723474850577,-0.23585406346775095
all_valuation__top10__floor100m__sector50__cohort2__w0.40__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.4,100,0.8233431973709924,3.2821628544688415,-0.06856790081887154,0.3012626866722119,1.45222418269265,-0.24645053694580044
all_valuation__top10__floor100m__sector50__cohort2__w0.10__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.1,200,0.9921531891714741,2.8506742145395028,-0.078953710693762,0.3795554095380995,1.6066101757750917,-0.22005582379978073
all_valuation__top10__floor100m__sector50__cohort2__w0.20__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.2,200,0.9323301236840575,3.0135264843113956,-0.07404116417463558,0.3494975534985263,1.566549572010782,-0.2261757191636239
all_valuation__top10__floor100m__sector50__cohort2__w0.30__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.3,200,0.8717127701743634,3.159581467547805,-0.07130481465358585,0.31921517558026213,1.4997800956088128,-0.23585406346775073
all_valuation__top10__floor100m__sector50__cohort2__w0.40__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,2,0.4,200,0.8104733546903675,3.2510553811132055,-0.06856790081887143,0.28874889011838034,1.4041896015442816,-0.24645053694580032
all_valuation__top10__floor100m__sector50__cohort4__w0.10__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.1,50,0.9984910598452197,2.862048388804322,-0.07876630215764713,0.3826011197906789,1.6155289583960002,-0.21941096071085986
all_valuation__top10__floor100m__sector50__cohort4__w0.20__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.2,50,0.9446945643746116,3.03960687241894,-0.07386269989169636,0.3554813813241151,1.5856265455472125,-0.22552506057085908
all_valuation__top10__floor100m__sector50__cohort4__w0.30__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.3,50,0.8897796219447236,3.204806399099852,-0.07103593265551866,0.3280267201557725,1.5301399150827917,-0.2355385157769706
all_valuation__top10__floor100m__sector50__cohort4__w0.40__50bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.4,50,0.8339075128728943,3.320624847337536,-0.06820780788463121,0.30027525275867273,1.4465898393596053,-0.2460343747069369
all_valuation__top10__floor100m__sector50__cohort4__w0.10__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.1,100,0.9967285910218684,2.859122873977078,-0.07876630215764713,0.3809397911513541,1.610153640910521,-0.21962103450711679
all_valuation__top10__floor100m__sector50__cohort4__w0.20__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.2,100,0.9412564722107808,3.0331038443686356,-0.07386269989169636,0.3522220383526682,1.5743051024714332,-0.2255250605708592
all_valuation__top10__floor100m__sector50__cohort4__w0.30__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.3,100,0.8847562473885282,3.19391859877394,-0.07103593265551866,0.3232339228551937,1.5124519920522432,-0.2356910252901846
all_valuation__top10__floor100m__sector50__cohort4__w0.40__100bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.4,100,0.8273921617882489,3.304425259968694,-0.06820780788463099,0.29401463186926535,1.4223762873986434,-0.2462349462271105
all_valuation__top10__floor100m__sector50__cohort4__w0.10__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.1,200,0.9932078940524596,2.8532604258978567,-0.07876630215764713,0.37762237043444946,1.5993808307273547,-0.22004105492494908
all_valuation__top10__floor100m__sector50__cohort4__w0.20__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.2,200,0.9343968692745672,3.020039699471697,-0.07386269989169636,0.3457239017104694,1.5515689385765918,-0.2261470371403349
all_valuation__top10__floor100m__sector50__cohort4__w0.30__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.3,200,0.8747459198645517,3.171979749647054,-0.07103593265551855,0.3136936597232549,1.4768654835970267,-0.23599604431661314
all_valuation__top10__floor100m__sector50__cohort4__w0.40__200bps,all_valuation__top10__floor100m__sector50,all_valuation,10,100000000,0.5,4,0.4,200,0.8144245869592268,3.271680954094548,-0.06820780788463099,0.2815723534397847,1.3735944085115712,-0.2466360892674575
all_valuation__top10__floor100m__sector60__cohort1__w0.10__50bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.1,50,1.0084940623779075,2.8419432603567807,-0.08124482466106431,0.38902116625316463,1.6249864718288818,-0.21680022792009024
all_valuation__top10__floor100m__sector60__cohort1__w0.20__50bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.2,50,0.9646522164441298,2.9928242486542898,-0.07519187004087657,0.36822875528466437,1.608162130408816,-0.22503372467976634
all_valuation__top10__floor100m__sector60__cohort1__w0.30__50bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.3,50,0.9196034074810415,3.128973093250905,-0.07303864041138375,0.3469993550134316,1.570553294021465,-0.23398083031529426
all_valuation__top10__floor100m__sector60__cohort1__w0.40__50bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.4,50,0.8734694859089145,3.225394396084398,-0.07089003152330497,0.32536203520291473,1.5101772706824985,-0.24285000822172587
all_valuation__top10__floor100m__sector60__cohort1__w0.10__100bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.1,100,1.0070311883544942,2.839363550804678,-0.08124482466106442,0.3874383152831451,1.6201408458073254,-0.21702474920447257
all_valuation__top10__floor100m__sector60__cohort1__w0.20__100bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.2,100,0.961775861070532,2.9868742507615327,-0.07519187004087635,0.3651106925353276,1.5981027547541045,-0.22503372467976646
all_valuation__top10__floor100m__sector60__cohort1__w0.30__100bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.3,100,0.915366369203243,3.1185921757990833,-0.07303864041138375,0.34239508367899263,1.5550191406892302,-0.23398083031529426
all_valuation__top10__floor100m__sector60__cohort1__w0.40__100bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.4,100,0.8679276787236869,3.2093208015295684,-0.0708900315233052,0.31932179657532256,1.4890641030188,-0.24285000822172575
all_valuation__top10__floor100m__sector60__cohort1__w0.10__200bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.1,200,1.004107496954418,2.83417793943347,-0.0812448246610642,0.3842759712644104,1.6103900083440692,-0.21747379177323722
all_valuation__top10__floor100m__sector60__cohort1__w0.20__200bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.2,200,0.956031280960604,2.974846223709418,-0.07519187004087657,0.35888781992138985,1.5777297426229795,-0.22503372467976634
all_valuation__top10__floor100m__sector60__cohort1__w0.30__200bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.3,200,0.9069103538846328,3.097488806111721,-0.07303864041138375,0.33321594788162834,1.523361274778944,-0.2339808303152946
all_valuation__top10__floor100m__sector60__cohort1__w0.40__200bps,all_valuation__top10__floor100m__sector60,all_valuation,10,100000000,0.6,1,0.4,200,0.8568757308281221,3.17649407198843,-0.07089003152330497,0.3072928490501379,1.4458010587743317,-0.24285000822172587
