candidate,sleeve,ensemble,breadth,market_cap_floor,sector_cap,cohorts,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,beats_control_both
sales_only__top10__floor25m__sector60__cohort1__w0.40__50bps,sales_only__top10__floor25m__sector60,sales_only,10,25000000,0.6,1,0.4,50,1.1120849711819831,2.332867517610213,-0.15282913445812063,0.4196258540268616,1.435721529520969,-0.27063539146463034,True
sales_only__top10__floor25m__sector80__cohort1__w0.40__50bps,sales_only__top10__floor25m__sector80,sales_only,10,25000000,0.8,1,0.4,50,1.1112093633985594,2.2809713682528527,-0.14925539070514926,0.43577768841212317,1.4530776505191196,-0.27202649938033363,True
sales_only__top10__floor25m__sector60__cohort1__w0.30__50bps,sales_only__top10__floor25m__sector60,sales_only,10,25000000,0.6,1,0.3,50,1.102742004365647,2.4750341557118403,-0.13875623668144121,0.41953346082404375,1.516396373859619,-0.2541976787689588,True
sales_only__top10__floor25m__sector80__cohort1__w0.30__50bps,sales_only__top10__floor25m__sector80,sales_only,10,25000000,0.8,1,0.3,50,1.1017468690927852,2.423216799961963,-0.13605282849089928,0.43171877351951493,1.5288248246109293,-0.25702828383079,True
sales_only__top10__floor25m__sector70__cohort1__w0.40__50bps,sales_only__top10__floor25m__sector70,sales_only,10,25000000,0.7,1,0.4,50,1.0987102051020785,2.2973440359943638,-0.14896117506211837,0.4140607771870579,1.4092861406498924,-0.27202649938033363,True
sales_only__top10__floor25m__sector70__cohort1__w0.30__50bps,sales_only__top10__floor25m__sector70,sales_only,10,25000000,0.7,1,0.3,50,1.0927841853682705,2.4457697856103193,-0.13583403681930228,0.41550260093296365,1.4963360515668316,-0.25702828383079,True
sales_only__top10__floor25m__sector60__cohort1__w0.20__50bps,sales_only__top10__floor25m__sector60,sales_only,10,25000000,0.6,1,0.2,50,1.0894281903805023,2.5958735041652607,-0.12490276783463183,0.41779402049971925,1.5817453841326845,-0.2395067332603068,True
sales_only__top10__floor25m__sector80__cohort1__w0.20__50bps,sales_only__top10__floor25m__sector80,sales_only,10,25000000,0.8,1,0.2,50,1.0885500156697026,2.551637544409364,-0.1227349321747011,0.42595733692795457,1.5899020255121616,-0.2427708979098544,True
sales_only__top10__floor50m__sector50__cohort1__w0.40__50bps,sales_only__top10__floor50m__sector50,sales_only,10,50000000,0.5,1,0.4,50,1.0877648036096113,2.4431196263411334,-0.13029547221589022,0.42770589218001254,1.4861588792950116,-0.2877006439108881,True
sales_only__top10__floor50m__sector50__cohort1__w0.30__50bps,sales_only__top10__floor50m__sector50,sales_only,10,50000000,0.5,1,0.3,50,1.083774297476332,2.571058181464816,-0.12172322760028653,0.42545236414466037,1.5576276782910163,-0.26789395809109917,True
