decision_at,sleeve,ensemble,breadth,market_cap_floor,sector_cap,cik10,company_name,sector,score,market_cap,intended_weight
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.888149070620365,236379970.334232,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0001760717,SCIPLAY CORP,technology,0.8505713100157674,381096000.0,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0000319201,KLA CORP,technology,0.8448804820854887,5343205957.458898,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0001730168,BROADCOM INC.,technology,0.8364342294676668,23365266993.400497,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0001582982,"CARECLOUD, INC.",technology,0.7853789033272691,42768783.60909271,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0000810136,PHOTRONICS INC,technology,0.7842711994382501,1039055803.0797404,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0000928022,CALLON PETROLEUM CO,energy,0.6864743336623444,2285060043.8900003,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0001705873,BERRY CORP (BRY),energy,0.6639492192819774,614140024.0,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0001528129,"LAREDO PETROLEUM, INC.",energy,0.6598303248246249,864552226.8000001,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector50,all_valuation,10,25000000,0.5,0001534504,PBF ENERGY INC.,energy,0.5796026271745636,4979791235.535584,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector60,all_valuation,10,25000000,0.6,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.888149070620365,236379970.334232,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector60,all_valuation,10,25000000,0.6,0001760717,SCIPLAY CORP,technology,0.8505713100157674,381096000.0,0.1
2023-01-01 00:00:00+00:00,all_valuation__top10__floor25m__sector60,all_valuation,10,25000000,0.6,0000319201,KLA CORP,technology,0.8448804820854887,5343205957.458898,0.1
