candidate,trailing_1y_cagr,trailing_2y_cagr,trailing_3y_cagr,trailing_3y_cagr_vs_leader,trailing_3y_sharpe,trailing_3y_drawdown,trailing_3y_100bps_cagr,full_cagr,full_drawdown,rolling_3y_win_share_vs_leader,rolling_median_cagr_difference,rolling_worst_cagr_difference,raw_pvalue,adjusted_pvalue_35_trials,gate_one_year_return,gate_two_year_return,gate_three_year_return,gate_cost_stress,gate_recent_drawdown,gate_full_drawdown,gate_full_return,gate_rolling_win_share,gate_adjusted_pvalue,qualified
global_xsmom_100,0.28175793182776077,0.23989188473499912,0.2054746059965855,0.04830856760906421,1.512819938469553,-0.11307852627843573,0.1889362067062963,0.07664141402285596,-0.24139541504841766,0.6578947368421053,0.008066925877071474,-0.025439821028616638,0.0033665544481850606,0.11782940568647712,True,True,True,True,True,True,True,True,False,False
global_xsmom_80,0.2521947330854315,0.21758086951612254,0.18969955565444385,0.03253351726692255,1.536844480741077,-0.10503002166200581,0.1730733031016014,0.07358811972151424,-0.21659193200049842,0.6842105263157895,0.0062327538774381575,-0.017014144912504747,0.0031998933368887704,0.11199626679110697,True,True,True,True,True,True,True,True,False,False
global_top4_score_invvol_60,0.22849318380836992,0.2116590007025385,0.1822577258830218,0.025091687495500503,1.5627342191852716,-0.10207824846106006,0.16297041233664644,0.07500424241939196,-0.17523339890950917,0.8947368421052632,0.007710715314295569,-0.010768201512011855,0.005799806673110896,0.20299323355888138,True,True,True,True,True,True,True,True,False,False
global_xsmom_70,0.23727515145270184,0.20622170592868638,0.18160698432154287,0.024440945934021574,1.5458713444993706,-0.10103736854861334,0.16475210357438308,0.07187970624388607,-0.20400446726632693,0.7236842105263158,0.004688261450653042,-0.012902272622420274,0.002933235558814706,0.10266324455851471,True,True,True,True,True,True,True,True,False,False
global_xsmom_60,0.22244339963646031,0.19488080355719295,0.17347820110961298,0.016312162722091683,1.5528542019154183,-0.09703619707892197,0.15636840392305884,0.07001676707138782,-0.19139520598242954,0.7105263157894737,0.0031846164500889396,-0.00894691309259854,0.0033332222259258026,0.11666277790740309,True,True,True,True,True,True,True,True,False,False
global_top2_score_invvol_60,0.17766346418152135,0.19650215762922785,0.17315599091253553,0.015989952525014228,1.436966507433784,-0.14774529214508292,0.15383887129401086,0.0678226034605065,-0.23442135462965663,0.5131578947368421,0.008292785890388843,-0.059997966539761194,0.33575547481750606,1.0,False,True,True,True,True,True,True,True,False,False
global_top4_equal_60,0.21307124893864993,0.19180428427253116,0.1697926204634732,0.012626582075951909,1.4388056582512718,-0.10347829380499063,0.1513318729292128,0.07510711982800267,-0.20602557149013534,0.8157894736842105,0.010026111984630104,-0.021296189947605404,0.13612879570680977,1.0,True,True,False,True,True,True,True,True,False,False
global_xsmom_50,0.20773637963500557,0.18358766738512955,0.1653346863883518,0.008168648000830503,1.5571730807654212,-0.09302650095659482,0.14796379011377891,0.06801231340448521,-0.17870570065759728,0.6578947368421053,0.0023136431255846857,-0.0051233836419797285,0.00253324889170361,0.08866371120962635,True,True,False,True,True,True,True,True,True,False
global_top2_equal_60,0.1639370030872711,0.18284074136499662,0.16371961208605135,0.006553573698530046,1.3667987680888856,-0.15426950098327374,0.14519872110002385,0.06969184630352832,-0.24214585630435492,0.5526315789473685,0.008389328768475313,-0.04638723232550013,0.43298556714776176,1.0,False,True,False,True,True,True,True,True,False,False
global_top4_score_invvol_40,0.19769751960723303,0.1835442988903091,0.16311460432068703,0.005948565933165728,1.5704333176937815,-0.09225221745362533,0.1441412516374141,0.06920255444116963,-0.15511726026544093,0.8157894736842105,0.00280800547706872,-0.004707836367933149,0.1364287857071431,1.0,True,True,False,True,True,True,True,True,False,False
