source,cutoff,maximum_weight_difference,prefix_pass
global_xsmom,2025-12-26,0.0,True
global_top2_equal,2025-12-26,0.0,True
global_top2_score_invvol,2025-12-26,0.0,True
global_top4_equal,2025-12-26,0.0,True
global_top4_score_invvol,2025-12-26,0.0,True
sector_top2_equal,2025-12-26,0.0,True
sector_top2_score_invvol,2025-12-26,0.0,True
sector_top3_equal,2025-12-26,0.0,True
sector_top3_score_invvol,2025-12-26,0.0,True
sector_top4_score_invvol,2025-12-26,0.0,True
residual_top5,2025-12-26,0.0,True
global_xsmom,2026-04-10,0.0,True
global_top2_equal,2026-04-10,0.0,True
global_top2_score_invvol,2026-04-10,0.0,True
global_top4_equal,2026-04-10,0.0,True
global_top4_score_invvol,2026-04-10,0.0,True
sector_top2_equal,2026-04-10,0.0,True
sector_top2_score_invvol,2026-04-10,0.0,True
sector_top3_equal,2026-04-10,0.0,True
sector_top3_score_invvol,2026-04-10,0.0,True
sector_top4_score_invvol,2026-04-10,0.0,True
residual_top5,2026-04-10,0.0,True
global_xsmom,2026-07-31,0.0,True
global_top2_equal,2026-07-31,0.0,True
global_top2_score_invvol,2026-07-31,0.0,True
global_top4_equal,2026-07-31,0.0,True
global_top4_score_invvol,2026-07-31,0.0,True
sector_top2_equal,2026-07-31,0.0,True
sector_top2_score_invvol,2026-07-31,0.0,True
sector_top3_equal,2026-07-31,0.0,True
sector_top3_score_invvol,2026-07-31,0.0,True
sector_top4_score_invvol,2026-07-31,0.0,True
residual_top5,2026-07-31,0.0,True
