candidate,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover
current_return_leader,50,full,1127,2005-01-07,2026-08-07,0.0653704422484287,0.739236962921667,1.0650570604751524,-0.16605814765164162,2.8382727061720985
current_return_leader,50,trailing_1y,53,2025-08-08,2026-08-07,0.19314859386233607,1.6739631665427088,2.605865125242,-0.08901024933646406,3.0890667405295695
current_return_leader,50,trailing_2y,105,2024-08-09,2026-08-07,0.17233798255678812,1.5998665123712656,2.492809475836317,-0.08901024933646418,3.1586459792295907
current_return_leader,50,trailing_3y,157,2023-08-11,2026-08-07,0.1571660383875213,1.5576905038423332,2.4758468523646715,-0.08901024933646418,3.076682997220695
current_return_leader,50,post_2024,136,2024-01-05,2026-08-07,0.16396944126268398,1.633840081238749,2.565086545510701,-0.08901024933646406,3.1260753533249885
current_return_leader,100,full,1127,2005-01-07,2026-08-07,0.05037251232455198,0.5831672795389422,0.8276386277572343,-0.1679371576513774,2.8382727061720985
current_return_leader,100,trailing_1y,53,2025-08-08,2026-08-07,0.17494679949859981,1.5358228573947184,2.354756127524191,-0.08988974383038839,3.0890667405295695
current_return_leader,100,trailing_2y,105,2024-08-09,2026-08-07,0.15396097916903484,1.439411200340508,2.2054048810738553,-0.08988974383038839,3.1586459792295907
current_return_leader,100,trailing_3y,157,2023-08-11,2026-08-07,0.13951695977464018,1.3951011491959986,2.1775960511375665,-0.0898897438303885,3.076682997220695
current_return_leader,100,post_2024,136,2024-01-05,2026-08-07,0.14591669975556276,1.464049146636877,2.2592467792772895,-0.08988974383038839,3.1260753533249885
global_xsmom_45,50,full,1127,2005-01-07,2026-08-07,0.06694971494420732,0.7361610251707782,1.0602605425274347,-0.17239643263649906,2.760147296214205
global_xsmom_45,50,trailing_1y,53,2025-08-08,2026-08-07,0.20042912492799547,1.6939939425790154,2.6337409280893973,-0.09101879846744398,3.0040000606068467
global_xsmom_45,50,trailing_2y,105,2024-08-09,2026-08-07,0.17795900088025296,1.6101162945125078,2.5066455979450986,-0.0910187984674441,3.099377271607472
global_xsmom_45,50,trailing_3y,157,2023-08-11,2026-08-07,0.16125825752273393,1.5580322471371992,2.474858236801134,-0.09101879846744398,3.0402379300600186
global_xsmom_45,50,post_2024,136,2024-01-05,2026-08-07,0.16878689386797974,1.6387148556791407,2.5689841235098743,-0.0910187984674441,3.077930436701503
global_xsmom_45,100,full,1127,2005-01-07,2026-08-07,0.05234150482687694,0.5888878563859632,0.8361809916303242,-0.17415574073571594,2.760147296214205
global_xsmom_45,100,trailing_1y,53,2025-08-08,2026-08-07,0.18262003194745025,1.5627538199087427,2.394968266810736,-0.09186489124437658,3.0040000606068467
global_xsmom_45,100,trailing_2y,105,2024-08-09,2026-08-07,0.15983682011570655,1.4561937996961685,2.2310904856726115,-0.0918648912443768,3.099377271607472
global_xsmom_45,100,trailing_3y,157,2023-08-11,2026-08-07,0.1437550746348637,1.401204992631133,2.1873162932012495,-0.0918648912443768,3.0402379300600186
global_xsmom_45,100,post_2024,136,2024-01-05,2026-08-07,0.15093682081508963,1.475571722444427,2.275445734880867,-0.09186489124437669,3.077930436701503
global_xsmom_50,50,full,1127,2005-01-07,2026-08-07,0.06801231340448521,0.730032039792535,1.0506652640090628,-0.17870570065759728,2.742410746541665
