factor,explained_variance_ratio,cumulative_explained_variance,model,n_factors,refit_date
f1,0.4756086807679835,0.4756086807679835,full_sample_noncausal,3,
f2,0.1404855558189862,0.6160942365869697,full_sample_noncausal,3,
f3,0.08327718213787001,0.6993714187248398,full_sample_noncausal,3,
f1,0.4756086807679835,0.4756086807679835,full_sample_noncausal,5,
f2,0.1404855558189862,0.6160942365869697,full_sample_noncausal,5,
f3,0.08327718213787001,0.6993714187248398,full_sample_noncausal,5,
f4,0.03785988809168031,0.73723130681652,full_sample_noncausal,5,
f5,0.028767621018663852,0.7659989278351839,full_sample_noncausal,5,
f1,0.4756086807679835,0.4756086807679835,full_sample_noncausal,8,
f2,0.1404855558189862,0.6160942365869697,full_sample_noncausal,8,
f3,0.08327718213787001,0.6993714187248398,full_sample_noncausal,8,
f4,0.03785988809168031,0.73723130681652,full_sample_noncausal,8,
f5,0.028767621018663852,0.7659989278351839,full_sample_noncausal,8,
f6,0.027693629837575964,0.7936925576727598,full_sample_noncausal,8,
f7,0.023500707738759567,0.8171932654115194,full_sample_noncausal,8,
f8,0.020175991997722232,0.8373692574092416,full_sample_noncausal,8,
f1,0.4756086807679835,0.4756086807679835,full_sample_noncausal,10,
f2,0.1404855558189862,0.6160942365869697,full_sample_noncausal,10,
f3,0.08327718213787001,0.6993714187248398,full_sample_noncausal,10,
f4,0.03785988809168031,0.73723130681652,full_sample_noncausal,10,
f5,0.028767621018663852,0.7659989278351839,full_sample_noncausal,10,
f6,0.027693629837575964,0.7936925576727598,full_sample_noncausal,10,
f7,0.023500707738759567,0.8171932654115194,full_sample_noncausal,10,
f8,0.020175991997722232,0.8373692574092416,full_sample_noncausal,10,
f9,0.01884775376284315,0.8562170111720848,full_sample_noncausal,10,
f10,0.01698346157362308,0.8732004727457079,full_sample_noncausal,10,
f1,0.526479779837086,0.526479779837086,expanding_window_causal,5,2010-01-01
f2,0.1207755799359408,0.6472553597730268,expanding_window_causal,5,2010-01-01
f3,0.10549219128217754,0.7527475510552044,expanding_window_causal,5,2010-01-01
f4,0.03378020603621157,0.786527757091416,expanding_window_causal,5,2010-01-01
f5,0.025266642220458525,0.8117943993118745,expanding_window_causal,5,2010-01-01
f1,0.5291360910992552,0.5291360910992552,expanding_window_causal,5,2010-07-02
f2,0.1186812391234986,0.6478173302227538,expanding_window_causal,5,2010-07-02
f3,0.1033734872670049,0.7511908174897587,expanding_window_causal,5,2010-07-02
f4,0.032578323794099924,0.7837691412838587,expanding_window_causal,5,2010-07-02
f5,0.025477223162610387,0.809246364446469,expanding_window_causal,5,2010-07-02
f1,0.529494744834361,0.529494744834361,expanding_window_causal,5,2010-12-31
f2,0.11836497564373477,0.6478597204780958,expanding_window_causal,5,2010-12-31
f3,0.10147788311664642,0.7493376035947422,expanding_window_causal,5,2010-12-31
f4,0.031826538367034855,0.7811641419617771,expanding_window_causal,5,2010-12-31
f5,0.02516884163032189,0.8063329835920989,expanding_window_causal,5,2010-12-31
f1,0.5250682077136744,0.5250682077136744,expanding_window_causal,5,2011-07-01
f2,0.11853594794967225,0.6436041556633466,expanding_window_causal,5,2011-07-01
f3,0.10186918071160725,0.7454733363749538,expanding_window_causal,5,2011-07-01
f4,0.031666996620177884,0.7771403329951317,expanding_window_causal,5,2011-07-01
f5,0.025513366018870255,0.802653699014002,expanding_window_causal,5,2011-07-01
f1,0.5360917376682673,0.5360917376682673,expanding_window_causal,5,2011-12-30
f2,0.1147964154489666,0.6508881531172339,expanding_window_causal,5,2011-12-30
f3,0.09908167315011812,0.749969826267352,expanding_window_causal,5,2011-12-30
f4,0.029764788317510095,0.779734614584862,expanding_window_causal,5,2011-12-30
f5,0.02461657046602729,0.8043511850508893,expanding_window_causal,5,2011-12-30
f1,0.5347004351033356,0.5347004351033356,expanding_window_causal,5,2012-06-29
f2,0.11509228773074671,0.6497927228340824,expanding_window_causal,5,2012-06-29
f3,0.09778977042515676,0.7475824932592392,expanding_window_causal,5,2012-06-29
f4,0.02954353130149138,0.7771260245607305,expanding_window_causal,5,2012-06-29
f5,0.024757701164721965,0.8018837257254525,expanding_window_causal,5,2012-06-29
f1,0.5329119942276123,0.5329119942276123,expanding_window_causal,5,2012-12-28
f2,0.1143623994275231,0.6472743936551354,expanding_window_causal,5,2012-12-28
f3,0.0971984331458031,0.7444728268009385,expanding_window_causal,5,2012-12-28
f4,0.0295422280257843,0.7740150548267228,expanding_window_causal,5,2012-12-28
f5,0.025141141378264474,0.7991561962049873,expanding_window_causal,5,2012-12-28
f1,0.5292157139017852,0.5292157139017852,expanding_window_causal,5,2013-06-28
f2,0.11853088659059366,0.6477466004923789,expanding_window_causal,5,2013-06-28
f3,0.09595033490967572,0.7436969354020546,expanding_window_causal,5,2013-06-28
