feature_name,panel,source,feature_family,entity_scope,lag_rule,used_in_ipca,leakage_check,notes,missingness,non_missing_rows
mom_4w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.03873873873873874,37345.0
mom_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.04144144144144144,37240.0
mom_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
mom_52w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.05945945945945946,36540.0
vol_4w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.03873873873873874,37345.0
vol_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.04144144144144144,37240.0
vol_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
downside_vol_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.005405405405405406,38640.0
downside_vol_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.011711711711711712,38395.0
drawdown_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
drawdown_52w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.05945945945945946,36540.0
ma_distance_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.04054054054054054,37275.0
ma_distance_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.04684684684684685,37030.0
ma_distance_52w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.05855855855855856,36575.0
trend_consistency_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.005405405405405406,38640.0
trend_consistency_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.011711711711711712,38395.0
mom_vol_ratio_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
vol_change_13v26,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
rel_strength_SPY_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.04144144144144144,37240.0
rel_strength_SPY_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
rel_strength_BIL_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.12911196911196912,33834.0
rel_strength_BIL_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.13541827541827542,33589.0
rel_strength_TLT_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.04144144144144144,37240.0
rel_strength_TLT_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
rel_strength_GLD_13w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.04144144144144144,37240.0
rel_strength_GLD_26w,ppp_panel_characteristics,data/01_data_hub/weekly_returns.csv; data/01_data_hub/weekly_prices.csv,rolling_etf_characteristic,ETF,trailing weekly calculation shifted one week; no centered windows,True,uses only returns/prices through prior weekly date,,0.047747747747747746,36995.0
