factor,market_state,n_weeks,weekly_mean,ann_return,ann_vol,sharpe,max_drawdown,cvar_5
ipca_style_f1,calm_trend,257,0.00032541379901198693,0.01577368291489778,0.05036643696595616,0.31317845504059727,-0.09730816381468543,-0.014266703289993611
ipca_style_f1,neutral_mixed,368,-0.0006936509211646,-0.03823631668515226,0.076337462457972,-0.5008853510974833,-0.33640591453384083,-0.022061148828782805
ipca_style_f1,recovery_confirmed,41,0.0001639054096717129,0.0070919773422541965,0.054066959751584376,0.13117026322247338,-0.03553982276327883,-0.01086717883210217
ipca_style_f1,recovery_fragile,35,0.0015059099690042626,0.07944150631783198,0.060079958946738656,1.3222629926937448,-0.053814007638331995,-0.01489005141720142
ipca_style_f1,stressed_panic,149,-0.000158428736587695,-0.01550628055155645,0.12101787524461707,-0.12813215006636944,-0.17000101566939507,-0.04154421427234917
ipca_style_f2,calm_trend,257,0.0005709746984201449,0.028670797047708696,0.053158952454753244,0.5393408960064088,-0.05870287972982968,-0.01600781572401579
ipca_style_f2,neutral_mixed,368,0.0001729391834616852,0.006075295335803643,0.07641320298402852,0.07950583274298119,-0.18252544867249665,-0.026594450751654
ipca_style_f2,recovery_confirmed,41,0.002492646674083306,0.13734912996931503,0.03900925972376851,3.5209365915146456,-0.018571130756796395,-0.008380357409651495
ipca_style_f2,recovery_fragile,35,0.00260896180895999,0.1434758002841936,0.05338038407370658,2.6878000743884694,-0.023021002951413294,-0.010695100417167692
ipca_style_f2,stressed_panic,149,-0.0004014176637528182,-0.026263291015696466,0.10653339052922808,-0.24652637905569122,-0.18010882563550046,-0.03868522398737284
ipca_style_f3,calm_trend,257,-0.0004202041340859276,-0.02263828781975219,0.045639058543918164,-0.4960288082622808,-0.14201517288140053,-0.014786411627410649
ipca_style_f3,neutral_mixed,368,-0.0004038472962032651,-0.022621319655486083,0.06126315382894573,-0.3692483693974945,-0.28089450887509093,-0.018578276229093117
ipca_style_f3,recovery_confirmed,41,-0.00023452426029172316,-0.014244282564840782,0.06527298345049638,-0.21822631373428447,-0.04018637590390561,-0.019922796919760608
ipca_style_f3,recovery_fragile,35,0.0005274688037445555,0.026465315689122804,0.05098820366115393,0.5190478147651585,-0.021235125225390727,-0.01627554699274148
ipca_style_f3,stressed_panic,149,-0.0004991460054560392,-0.030114556507153112,0.09619295380776868,-0.31306405838554274,-0.17863444205031753,-0.027988217353907142
