refit_date,factor,loading_corr_to_prior_refit,top6_abs_loading_overlap,refit_number
2010-01-01,pca_exp_f1,,,1
2010-01-01,pca_exp_f2,,,1
2010-01-01,pca_exp_f3,,,1
2010-01-01,pca_exp_f4,,,1
2010-01-01,pca_exp_f5,,,1
2010-07-02,pca_exp_f1,0.9994053494470366,1.0,2
2010-07-02,pca_exp_f2,0.9993546267686283,1.0,2
2010-07-02,pca_exp_f3,0.9994311212166485,1.0,2
2010-07-02,pca_exp_f4,0.9969095210417225,1.0,2
2010-07-02,pca_exp_f5,0.9789475203275245,0.8333333333333334,2
2010-12-31,pca_exp_f1,0.9997707443093898,1.0,3
2010-12-31,pca_exp_f2,0.9976453440012675,1.0,3
2010-12-31,pca_exp_f3,0.9988112312285136,1.0,3
2010-12-31,pca_exp_f4,0.9988319465865989,1.0,3
2010-12-31,pca_exp_f5,0.9990809888509841,1.0,3
2011-07-01,pca_exp_f1,0.9998985791692564,1.0,4
2011-07-01,pca_exp_f2,0.9997021496267927,1.0,4
2011-07-01,pca_exp_f3,0.9996261109561247,1.0,4
2011-07-01,pca_exp_f4,0.9995289708736737,1.0,4
2011-07-01,pca_exp_f5,0.9923553528456144,1.0,4
2011-12-30,pca_exp_f1,0.998922416946326,1.0,5
2011-12-30,pca_exp_f2,0.9833109328300111,1.0,5
2011-12-30,pca_exp_f3,0.9918699875563903,1.0,5
2011-12-30,pca_exp_f4,0.9964480210515411,0.8333333333333334,5
2011-12-30,pca_exp_f5,0.9882290626731866,1.0,5
2012-06-29,pca_exp_f1,0.9999531344320459,1.0,6
2012-06-29,pca_exp_f2,0.9946481721835634,1.0,6
2012-06-29,pca_exp_f3,0.9971699246052538,0.8333333333333334,6
2012-06-29,pca_exp_f4,0.9983429110847906,1.0,6
2012-06-29,pca_exp_f5,0.9952562409560252,0.8333333333333334,6
2012-12-28,pca_exp_f1,0.9999665649354816,1.0,7
2012-12-28,pca_exp_f2,0.999741758322667,1.0,7
2012-12-28,pca_exp_f3,0.9998850468771037,1.0,7
2012-12-28,pca_exp_f4,0.9981016634001594,1.0,7
2012-12-28,pca_exp_f5,0.9980355876873699,1.0,7
2013-06-28,pca_exp_f1,0.9999626465003665,1.0,8
2013-06-28,pca_exp_f2,0.9993503461550646,1.0,8
2013-06-28,pca_exp_f3,0.9996717279980404,1.0,8
2013-06-28,pca_exp_f4,0.997231650138313,0.8333333333333334,8
2013-06-28,pca_exp_f5,0.9967792850231781,0.8333333333333334,8
2013-12-27,pca_exp_f1,0.9999192567109222,1.0,9
2013-12-27,pca_exp_f2,0.9960382834623677,1.0,9
2013-12-27,pca_exp_f3,0.9980539332460289,0.8333333333333334,9
2013-12-27,pca_exp_f4,0.9964479666299185,1.0,9
2013-12-27,pca_exp_f5,0.9960462305538014,1.0,9
2014-06-27,pca_exp_f1,0.9999777022390812,1.0,10
2014-06-27,pca_exp_f2,0.9999062484922612,1.0,10
