date,sleeve_return_baseline_60_40_proxy,sleeve_return_baseline_equal_weight_risk_assets,sleeve_return_baseline_market_proxy_buy_hold,sleeve_return_composite_anti_chop_clarity,sleeve_return_composite_breadth_filtered,sleeve_return_composite_calm_carry_sleeve,sleeve_return_composite_calm_trend_participation,sleeve_return_composite_calm_trend_specialist,sleeve_return_composite_confirmation_aware_momentum,sleeve_return_composite_equal_weight,sleeve_return_composite_healthier_recovery_specialist,sleeve_return_composite_ic_weighted,sleeve_return_composite_macro_trend_diversifier_sleeve,sleeve_return_composite_recovery_confirmed_offense_sleeve,sleeve_return_composite_recovery_transition,sleeve_return_composite_regime_conditioned,sleeve_return_composite_selective_concentrated,sleeve_return_composite_selective_signals,sleeve_return_composite_selective_strength_weighted,sleeve_return_composite_selective_trend_ensemble,sleeve_return_composite_structural_defense_sleeve,sleeve_return_composite_trend_quality_module,sleeve_return_composite_trend_quality_refined,sleeve_return_cross_sectional_reversal_combo_ls,sleeve_return_cta_trend_long_only,sleeve_return_cta_trend_long_short_research,sleeve_return_cta_trend_vol_managed,sleeve_return_dual_momentum_single_best,sleeve_return_dual_momentum_topn,sleeve_return_pairs_stat_arb_research,sleeve_return_sector_factor_rotation,sleeve_return_sector_rotation_with_sma_filter,sleeve_return_taa_10m_sma,ggg1_component_return_composite_regime_offense_component,ggg1_component_return_composite_regime_defense_component,ggg1_component_return_composite_regime_cash_component,portfolio_return_production_improved_phase2b_regime_confidence_boost,portfolio_return_shadow_improved_phase2b_combo_abc,portfolio_return_ggg1_improved_phaseggg_confirmed_only_robust_offense,ggg1_sleeve_weight_dual_momentum_topn,ggg1_sleeve_weight_cta_trend_long_only,ggg1_sleeve_weight_composite_selective_signals,ggg1_sleeve_weight_composite_regime_offense_component,ggg1_sleeve_weight_composite_regime_defense_component,ggg1_sleeve_weight_taa_10m_sma,ggg1_sleeve_weight_cash_BIL
2005-01-07,0.0017247728610626,0.0049553044043015,-0.0016880275919383,,0.0,,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-01-14,-0.0058144566968067,-0.0046526239632702,-0.012347882153318,0.0071076373275008,0.0,0.0,0.004689809821047,0.0031066001691479,0.0,0.0,0.0027354047381355,0.0,0.0,0.0,0.0027354047381355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-01-21,0.003339485267468,-0.0002367435157648,0.0055658087791134,0.0016422056612362,0.0,0.0,0.0018721056492308,0.0008446248263599,0.0,0.0,0.001805860879885,0.0,0.0,0.0,0.001805860879885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007967899488665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-01-28,0.0156220569971179,0.0082885538916919,0.0238437061560643,-0.0035676833873183,0.0,0.0,0.0011235138716287,-0.0042072199779959,0.0,0.0,0.0045628172822998,0.0,0.0,0.0,0.0045628172822998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071710167666406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-02-04,0.0027880227884075,0.003241497522208,0.0044914514405371,0.0058365648875108,0.0,0.0,0.002956106953857,0.0034200887844307,0.0,0.0,0.0006741391305596,0.0,0.0,0.0,0.0006741391305596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013696563537038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-02-11,-0.0063218255959525,-0.0011295343006888,-0.0031462903133328,-0.0029817412444267,0.0,0.0,-0.0057856460679603,-0.0006393831779061,0.0,0.0,-0.0071339689347782,0.0,0.0,0.0,-0.0071339689347782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021459572310296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-02-18,0.0054663088871695,0.0032715060986195,0.008638693993663,0.0067331202639418,0.0,0.0,0.003141636847033,0.0036693314967412,0.0,0.0,0.0004330222523631,0.0,0.0,0.0,0.0004330222523631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0084627206571774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-02-25,0.0053476654499805,0.0056027514240292,0.0107055343721302,-0.0021037610295913,0.0007217166557906,0.0,-0.001789383842752,-0.0015941042686458,0.0,0.0036085832789531,-0.001262624322215,0.0,0.0,0.0,-0.001262624322215,-0.0026237635896508,-0.002191937736142,-0.0016439533021065,-0.002787906604213,-0.0016439533021065,0.0,0.0,0.0,-0.0045915485586288,0.0,0.0,0.0,0.0,0.0,0.0,0.0100305412104974,0.0,0.0,-0.0046625378779958,-0.0044478215375646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-03-04,-0.0172250023876621,-0.0069216718613898,-0.0190661274081795,-0.0012957063149636,0.0004879252584498,0.0,-0.0061373325405147,-0.0003312882251377,0.0,0.0024396262922492,-0.0086189965168408,0.0,0.0,0.0,-0.0086189965168408,-0.0036745355743408,-0.011491535798035,-0.0086186518485262,-0.0172373036970525,-0.0086186518485262,0.0,0.0,0.0,0.003275924780595,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073185808923861,0.0,0.0,-0.0093713745954825,-0.0036309842570867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-03-11,-0.0052640568864754,-0.0068830225951964,-0.0114992736842311,-0.0042033777626512,-0.0023383254299025,0.0,-0.003243114266187,-0.0051288592276045,0.0,-0.0116916271495128,-0.0015557139642854,0.0,0.0,0.0,-0.0015557139642854,-0.0062236001258433,-0.0010939315425111,-0.0008204486568833,-0.0016408973137667,-0.0008204486568833,0.0,0.0,0.0,-0.0035872849812742,0.0,0.0,0.0,0.0,0.0,0.0,-0.0147019420335724,0.0,0.0,-0.01791631170564,-0.0051773170078524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-03-18,-0.0092422212145453,-0.0128994404656216,-0.0118106359785347,-0.0142533548358141,-0.0032814805788294,0.0,-0.0079174788593818,-0.0089738350384629,0.0,-0.016407402894147,-0.0025654866935011,0.0,0.0,0.0,-0.0025654866935011,-0.0093773547144146,-0.0030877195168106,-0.0023157896376079,-0.0046315792752159,-0.0023157896376079,0.0,0.0,0.0,0.0010544734083836,0.0,0.0,0.0,0.0,0.0,0.0,-0.0114438450490956,0.0,0.0,-0.0065947471070791,-0.0146862366991978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-03-25,0.0055303464515497,0.0009235270954431,0.0024759959580822,0.0083845437451623,0.0009373399974957,0.0,0.0072089606214417,0.0043511174891398,0.0,0.0046866999874786,0.0056241107439234,0.0,0.0,0.0,0.0056241107439234,0.003702524990609,0.0075590967739994,0.0056693225804995,0.0113386451609991,0.0056693225804995,0.0,0.0,0.0,-0.0046304964361953,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028146606602387,0.0,0.0,-0.0019323561702789,0.0106000363658981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-04-01,0.0028646214502857,0.00299240230485,0.0048540485129346,-0.001620921437306,0.0001371837857207,0.0,-0.0026557045231227,-0.0021427145064925,0.0,0.0006859189286036,-0.0027060618105837,0.0,0.0,0.0,-0.0027060618105837,0.0005144391964527,-0.003137215594124,-0.002352911695593,-0.0047058233911861,-0.002352911695593,0.0,0.0,0.0,-0.0021432711711089,0.0,0.0,0.0,0.0,0.0,0.0,0.0116546506713363,0.0,0.0,0.0120820398163622,-0.0047172422464663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
