ticker,cik10,company_name,exchange
AAPL,0000320193,Apple Inc.,Nasdaq
AMD,0000002488,ADVANCED MICRO DEVICES INC,Nasdaq
AVGO,0001730168,Broadcom Inc.,Nasdaq
COP,0001163165,CONOCOPHILLIPS,NYSE
CRM,0001108524,"Salesforce, Inc.",NYSE
CSCO,0000858877,"CISCO SYSTEMS, INC.",Nasdaq
CVX,0000093410,CHEVRON CORP,NYSE
EOG,0000821189,EOG RESOURCES INC,NYSE
IBM,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,NYSE
KMI,0001506307,"KINDER MORGAN, INC.",NYSE
MPC,0001510295,Marathon Petroleum Corp,NYSE
MSFT,0000789019,MICROSOFT CORP,Nasdaq
NVDA,0001045810,NVIDIA CORP,Nasdaq
ORCL,0001341439,ORACLE CORP,NYSE
OXY,0000797468,OCCIDENTAL PETROLEUM CORP /DE/,NYSE
PSX,0001534701,Phillips 66,NYSE
QCOM,0000804328,QUALCOMM INC/DE,Nasdaq
SLB,0000087347,SLB LIMITED/NV,NYSE
WMB,0000107263,"WILLIAMS COMPANIES, INC.",NYSE
XOM,0002115436,ExxonMobil Holdings Corp,NYSE
