id,short_name,mean_volatility_percentile,weight_weighted_volatility_percentile,resolved_holding_observations,pure_cash_trailing_return
sec-residual-controlled-1.25x-5pct-v1,150.86% Residual 1.25x,0.7192056375639758,0.6419752993155345,4515,1.126
sec-sector-ensemble-fragile-1.35x-v1,174.97% Fragile 1.35x,0.5908367768146808,0.5510957384175125,2659,1.1412
candidate-return-first-60-40-forward-v1,ETF Incumbent,0.26457630141548427,0.2162702422246144,123,0.7031
sec-growth-survivorship-aware-v1,142% Growth / Micron,0.7152258558094061,0.7166461317252989,776,1.5572
sec-cash-conversion-breadth20-dynamic-v1,102% Daily-Audited,0.595459766489632,0.5531752486812826,1616,0.9268
sec-sector-aware-signal-ensemble-v1,124% Sector Ensemble,0.5908367768146808,0.5510957384175124,2659,1.242
