manager_cap,horizon,window,observations,mean_ic,t_stat,p_value,mean_ic_sector_controlled,t_stat_sector_controlled,share_positive
50,4,select,82,-0.016052454135931538,-1.5035546933960067,0.13658519667632193,-0.014415035386594884,-1.4227442848537684,0.4878048780487805
50,4,evaluate,83,-0.003064056116283408,-0.19741357012428865,0.8439924434921283,-0.005040091847034591,-0.35917659191469037,0.46987951807228917
50,13,select,26,-0.017882173667683597,-0.8320738452159535,0.413245156135028,-0.01856733348637067,-0.9826147429753029,0.5384615384615384
50,13,evaluate,25,-0.018513937591607944,-0.7991527850693491,0.43204015274989255,-0.012032572287984584,-0.5459837634640032,0.44
100,4,select,82,-0.017687161574691045,-1.5582748612600072,0.12306691121159358,-0.015566389846866008,-1.459239300462153,0.4878048780487805
100,4,evaluate,87,-0.00443727850234464,-0.2836036742451478,0.7773957451715263,-0.0071647999147931235,-0.5011042595962821,0.4827586206896552
100,13,select,26,-0.015058212280588653,-0.6494665716855288,0.521959803192971,-0.015396891788178798,-0.7526431880816994,0.5
100,13,evaluate,26,-0.023635296673039225,-0.9756865450371411,0.33856705121982394,-0.01756646769991084,-0.751767437907069,0.46153846153846156
250,4,select,85,-0.01845811932344417,-1.6263266168071928,0.10762614538684834,-0.016101484727933595,-1.498841924656034,0.4588235294117647
250,4,evaluate,87,-0.005582811453110367,-0.35076176452472685,0.7266248432565215,-0.007762977769843447,-0.5284181890688978,0.45977011494252873
250,13,select,27,-0.018488995917798925,-0.8095220141608632,0.4255618529547323,-0.018300032563105743,-0.8960968785169912,0.5185185185185185
250,13,evaluate,26,-0.028867775819685863,-1.1345065531567657,0.26734348635111693,-0.022446583941457834,-0.9151963130876122,0.4230769230769231
