series,feature,n,ic,p,p_bonf_run,p_bonf_cum
124% Sector Ensemble,own_vol_13w,175,0.22270488132557098,0.0024987506246876563,0.19240379810094954,1.0
equal_weight_universe,uni_dd,142,-0.21662532353088162,0.0069965017491254375,0.5387306346826587,1.0
174.97% Fragile 1.35x,own_vol_13w,175,0.21315047021943576,0.005497251374312844,0.42328835582208896,1.0
equal_weight_universe,own_dd,142,-0.18846158815304198,0.013993003498250875,1.0,1.0
150.86% Residual 1.25x,own_vol_13w,180,0.18771361256005842,0.022488755622188907,1.0,1.0
equal_weight_universe,uni_breadth,142,-0.17961990062679306,0.02448775612193903,1.0,1.0
150.86% Residual 1.25x,uni_ret_13w,180,-0.17950965564780808,0.03498250874562719,1.0,1.0
102% Daily-Audited,uni_breadth,180,-0.16516417653174098,0.01699150424787606,1.0,1.0
equal_weight_universe,own_ret_4w,139,-0.16156217882836585,0.06146926536731634,1.0,1.0
174.97% Fragile 1.35x,uni_breadth,187,-0.1576919971744759,0.02148925537231384,1.0,1.0
equal_weight_universe,uni_vol_13w,142,0.15529840252645172,0.03648175912043978,1.0,1.0
102% Daily-Audited,uni_ret_13w,173,-0.15396257376084108,0.029985007496251874,1.0,1.0
142% Growth / Micron,own_dd,187,-0.1531598761798226,0.034482758620689655,1.0,1.0
equal_weight_universe,own_vol_ratio,117,0.15278214869097395,0.1089455272363818,1.0,1.0
102% Daily-Audited,own_vol_13w,168,0.15043454932906802,0.028985507246376812,1.0,1.0
102% Daily-Audited,uni_dd,180,-0.15027651279973908,0.030984507746126936,1.0,1.0
150.86% Residual 1.25x,uni_dd,192,-0.14981920830213885,0.05847076461769116,1.0,1.0
ETF Incumbent,uni_ret_13w,180,-0.14963013261726185,0.04247876061969016,1.0,1.0
102% Daily-Audited,uni_vol_13w,173,0.14855537683503997,0.026486756621689155,1.0,1.0
equal_weight_universe,own_vol_13w,130,0.14699367736825575,0.06346826586706647,1.0,1.0
124% Sector Ensemble,own_dd,187,-0.14331346551394447,0.04897551224387806,1.0,1.0
equal_weight_universe,uni_ret_13w,142,-0.13867612758832418,0.05847076461769116,1.0,1.0
equal_weight_universe,own_ret_13w,130,-0.1378825328763195,0.09995002498750624,1.0,1.0
