decision_at,tradable_members,covered_members,missing_members,execution_price_coverage
2012-04-01 00:00:00+00:00,410,330,80,0.8048780487804879
2012-07-01 00:00:00+00:00,417,335,82,0.8033573141486811
2012-10-01 00:00:00+00:00,421,337,84,0.8004750593824228
2013-01-01 00:00:00+00:00,416,336,80,0.8076923076923077
2013-04-01 00:00:00+00:00,440,358,82,0.8136363636363636
2013-07-01 00:00:00+00:00,443,360,83,0.8126410835214447
2013-10-01 00:00:00+00:00,444,361,83,0.8130630630630631
2014-01-01 00:00:00+00:00,436,357,79,0.8188073394495413
2014-04-01 00:00:00+00:00,451,372,79,0.8248337028824834
2014-07-01 00:00:00+00:00,454,377,77,0.8303964757709251
2014-10-01 00:00:00+00:00,457,383,74,0.838074398249453
2015-01-01 00:00:00+00:00,457,385,72,0.8424507658643327
2015-04-01 00:00:00+00:00,478,403,75,0.8430962343096234
2015-07-01 00:00:00+00:00,483,407,76,0.8426501035196687
2015-10-01 00:00:00+00:00,479,406,73,0.8475991649269311
2016-01-01 00:00:00+00:00,476,405,71,0.8508403361344538
2016-04-01 00:00:00+00:00,505,430,75,0.8514851485148515
2016-07-01 00:00:00+00:00,506,434,72,0.857707509881423
2016-10-01 00:00:00+00:00,495,429,66,0.8666666666666667
2017-01-01 00:00:00+00:00,484,425,59,0.878099173553719
2017-04-01 00:00:00+00:00,486,428,58,0.8806584362139918
2017-07-01 00:00:00+00:00,485,429,56,0.8845360824742268
2017-10-01 00:00:00+00:00,482,425,57,0.8817427385892116
2018-01-01 00:00:00+00:00,473,417,56,0.8816067653276956
2018-04-01 00:00:00+00:00,476,425,51,0.8928571428571429
2018-07-01 00:00:00+00:00,476,424,52,0.8907563025210085
2018-10-01 00:00:00+00:00,473,422,51,0.8921775898520085
2019-01-01 00:00:00+00:00,470,419,51,0.8914893617021277
2019-04-01 00:00:00+00:00,496,443,53,0.8931451612903226
2019-07-01 00:00:00+00:00,493,442,51,0.896551724137931
2019-10-01 00:00:00+00:00,487,439,48,0.9014373716632443
2020-01-01 00:00:00+00:00,485,439,46,0.9051546391752577
2020-04-01 00:00:00+00:00,505,457,48,0.904950495049505
2020-07-01 00:00:00+00:00,507,460,47,0.9072978303747534
2020-10-01 00:00:00+00:00,505,458,47,0.906930693069307
2021-01-01 00:00:00+00:00,498,456,42,0.9156626506024096
2021-04-01 00:00:00+00:00,499,462,37,0.9258517034068137
2021-07-01 00:00:00+00:00,487,453,34,0.9301848049281314
2021-10-01 00:00:00+00:00,479,448,31,0.9352818371607515
2022-01-01 00:00:00+00:00,471,441,30,0.9363057324840764
2022-04-01 00:00:00+00:00,468,445,23,0.9508547008547008
2022-07-01 00:00:00+00:00,471,446,25,0.9469214437367304
2022-10-01 00:00:00+00:00,466,444,22,0.9527896995708155
2023-01-01 00:00:00+00:00,457,436,21,0.9540481400437637
2023-04-01 00:00:00+00:00,526,500,26,0.9505703422053232
2023-07-01 00:00:00+00:00,531,506,25,0.9529190207156308
2023-10-01 00:00:00+00:00,535,511,24,0.9551401869158879
2024-01-01 00:00:00+00:00,521,499,22,0.9577735124760077
2024-04-01 00:00:00+00:00,519,499,20,0.9614643545279383
2024-07-01 00:00:00+00:00,512,495,17,0.966796875
2024-10-01 00:00:00+00:00,505,492,13,0.9742574257425742
2025-01-01 00:00:00+00:00,492,479,13,0.9735772357723578
2025-04-01 00:00:00+00:00,492,481,11,0.9776422764227642
2025-07-01 00:00:00+00:00,488,479,9,0.9815573770491803
2025-10-01 00:00:00+00:00,481,473,8,0.9833679833679834
2026-01-01 00:00:00+00:00,471,465,6,0.9872611464968153
2026-04-01 00:00:00+00:00,471,467,4,0.9915074309978769
2026-07-01 00:00:00+00:00,468,466,2,0.9957264957264957
