decision_at,price_source,covered_members
2012-04-01 00:00:00+00:00,tiingo_identity_validated,98
2012-04-01 00:00:00+00:00,yahoo_current_sec,203
2012-04-01 00:00:00+00:00,yahoo_recovered_former,29
2012-07-01 00:00:00+00:00,tiingo_identity_validated,99
2012-07-01 00:00:00+00:00,yahoo_current_sec,204
2012-07-01 00:00:00+00:00,yahoo_recovered_former,32
2012-10-01 00:00:00+00:00,tiingo_identity_validated,99
2012-10-01 00:00:00+00:00,yahoo_current_sec,206
2012-10-01 00:00:00+00:00,yahoo_recovered_former,32
2013-01-01 00:00:00+00:00,tiingo_identity_validated,100
2013-01-01 00:00:00+00:00,yahoo_current_sec,207
2013-01-01 00:00:00+00:00,yahoo_recovered_former,29
2013-04-01 00:00:00+00:00,tiingo_identity_validated,112
2013-04-01 00:00:00+00:00,yahoo_current_sec,215
2013-04-01 00:00:00+00:00,yahoo_recovered_former,31
2013-07-01 00:00:00+00:00,tiingo_identity_validated,112
2013-07-01 00:00:00+00:00,yahoo_current_sec,218
2013-07-01 00:00:00+00:00,yahoo_recovered_former,30
2013-10-01 00:00:00+00:00,tiingo_identity_validated,111
2013-10-01 00:00:00+00:00,yahoo_current_sec,222
2013-10-01 00:00:00+00:00,yahoo_recovered_former,28
2014-01-01 00:00:00+00:00,tiingo_identity_validated,111
2014-01-01 00:00:00+00:00,yahoo_current_sec,222
2014-01-01 00:00:00+00:00,yahoo_recovered_former,24
2014-04-01 00:00:00+00:00,tiingo_identity_validated,120
2014-04-01 00:00:00+00:00,yahoo_current_sec,229
2014-04-01 00:00:00+00:00,yahoo_recovered_former,23
2014-07-01 00:00:00+00:00,tiingo_identity_validated,122
2014-07-01 00:00:00+00:00,yahoo_current_sec,232
2014-07-01 00:00:00+00:00,yahoo_recovered_former,23
2014-10-01 00:00:00+00:00,tiingo_identity_validated,125
2014-10-01 00:00:00+00:00,yahoo_current_sec,235
2014-10-01 00:00:00+00:00,yahoo_recovered_former,23
2015-01-01 00:00:00+00:00,tiingo_identity_validated,124
2015-01-01 00:00:00+00:00,yahoo_current_sec,238
2015-01-01 00:00:00+00:00,yahoo_recovered_former,23
2015-04-01 00:00:00+00:00,tiingo_identity_validated,132
2015-04-01 00:00:00+00:00,yahoo_current_sec,245
2015-04-01 00:00:00+00:00,yahoo_recovered_former,26
2015-07-01 00:00:00+00:00,tiingo_identity_validated,128
2015-07-01 00:00:00+00:00,yahoo_current_sec,253
2015-07-01 00:00:00+00:00,yahoo_recovered_former,26
2015-10-01 00:00:00+00:00,tiingo_identity_validated,125
2015-10-01 00:00:00+00:00,yahoo_current_sec,255
2015-10-01 00:00:00+00:00,yahoo_recovered_former,26
2016-01-01 00:00:00+00:00,tiingo_identity_validated,123
2016-01-01 00:00:00+00:00,yahoo_current_sec,256
2016-01-01 00:00:00+00:00,yahoo_recovered_former,26
2016-04-01 00:00:00+00:00,tiingo_identity_validated,136
2016-04-01 00:00:00+00:00,yahoo_current_sec,266
2016-04-01 00:00:00+00:00,yahoo_recovered_former,28
2016-07-01 00:00:00+00:00,tiingo_identity_validated,135
2016-07-01 00:00:00+00:00,yahoo_current_sec,270
2016-07-01 00:00:00+00:00,yahoo_recovered_former,29
2016-10-01 00:00:00+00:00,tiingo_identity_validated,130
2016-10-01 00:00:00+00:00,yahoo_current_sec,270
2016-10-01 00:00:00+00:00,yahoo_recovered_former,29
2017-01-01 00:00:00+00:00,tiingo_identity_validated,125
2017-01-01 00:00:00+00:00,yahoo_current_sec,271
2017-01-01 00:00:00+00:00,yahoo_recovered_former,29
2017-04-01 00:00:00+00:00,tiingo_identity_validated,125
2017-04-01 00:00:00+00:00,yahoo_current_sec,275
2017-04-01 00:00:00+00:00,yahoo_recovered_former,28
2017-07-01 00:00:00+00:00,tiingo_identity_validated,123
2017-07-01 00:00:00+00:00,yahoo_current_sec,278
2017-07-01 00:00:00+00:00,yahoo_recovered_former,28
2017-10-01 00:00:00+00:00,tiingo_identity_validated,118
2017-10-01 00:00:00+00:00,yahoo_current_sec,279
2017-10-01 00:00:00+00:00,yahoo_recovered_former,28
