candidate,year,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover
ml::hist_gradient_boosting::sign,2023,21,2023-08-11,2023-12-29,0.24583805557539917,1.2947043430555432,2.32131607175947,-0.06825253191933178,3.555952800046835
ml::hist_gradient_boosting::sign,2024,52,2024-01-05,2024-12-27,0.28164290903597444,1.207423482213988,1.9297692412346288,-0.12780154406085276,1.3705670588737184
ml::hist_gradient_boosting::sign,2025,52,2025-01-03,2025-12-26,0.4026063164150486,1.6879677135508435,2.757722267069741,-0.18961715633605747,5.3605256705914375
ml::hist_gradient_boosting::sign,2026,32,2026-01-02,2026-08-07,0.4398924643168245,1.4625348614134612,2.4712246341230397,-0.19287653088073597,5.555241218617236
benchmark::XLK,2023,21,2023-08-11,2023-12-29,0.28902401145974066,1.3889763653634266,2.5599217313722025,-0.08363133767882036,0.0
benchmark::XLK,2024,52,2024-01-05,2024-12-27,0.2891959111702156,1.2315667948348283,1.9716246796400732,-0.12780154406085253,0.0
benchmark::XLK,2025,52,2025-01-03,2025-12-26,0.23180413040824233,0.9421510907993113,1.4349430781514816,-0.2386956580300179,0.0
benchmark::XLK,2026,32,2026-01-02,2026-08-07,0.5427801815670741,1.7833512409762182,3.4249133577699205,-0.10994496064229098,0.0
comparison::breadth_ceiling,2023,21,2023-08-11,2023-12-29,0.12086534442318775,0.8095152457887117,1.3625225066071096,-0.07816314830983007,4.339897745025391
comparison::breadth_ceiling,2024,52,2024-01-05,2024-12-27,0.2230552596329698,1.337150017310895,2.1600579827193593,-0.0740432772844305,3.4759188150653024
comparison::breadth_ceiling,2025,52,2025-01-03,2025-12-26,0.4871535445591304,2.581991135311109,4.933679295207949,-0.06486263985033713,4.274684364784961
comparison::breadth_ceiling,2026,32,2026-01-02,2026-08-07,0.18601476872705303,0.793404825608154,1.2115333965005752,-0.15233979815658594,4.979403618655868
