candidate,cutoff,maximum_weight_difference,prefix_pass
standalone::trend_quality_26__top1__equal,2025-12-26,0.0,True
standalone::trend_quality_26__top1__score_invvol,2025-12-26,0.0,True
standalone::trend_quality_26__top2__equal,2025-12-26,0.0,True
standalone::trend_quality_26__top2__score_invvol,2025-12-26,0.0,True
standalone::trend_quality_26__top3__equal,2025-12-26,0.0,True
standalone::trend_quality_26__top3__score_invvol,2025-12-26,0.0,True
standalone::trend_quality_52__top1__equal,2025-12-26,0.0,True
standalone::trend_quality_52__top1__score_invvol,2025-12-26,0.0,True
standalone::trend_quality_52__top2__equal,2025-12-26,0.0,True
standalone::trend_quality_52__top2__score_invvol,2025-12-26,0.0,True
standalone::trend_quality_52__top3__equal,2025-12-26,0.0,True
standalone::trend_quality_52__top3__score_invvol,2025-12-26,0.0,True
standalone::leadership_persistence__top1__equal,2025-12-26,0.0,True
standalone::leadership_persistence__top1__score_invvol,2025-12-26,0.0,True
standalone::leadership_persistence__top2__equal,2025-12-26,0.0,True
standalone::leadership_persistence__top2__score_invvol,2025-12-26,0.0,True
standalone::leadership_persistence__top3__equal,2025-12-26,0.0,True
standalone::leadership_persistence__top3__score_invvol,2025-12-26,0.0,True
standalone::gain_to_pain_26__top1__equal,2025-12-26,0.0,True
standalone::gain_to_pain_26__top1__score_invvol,2025-12-26,0.0,True
standalone::gain_to_pain_26__top2__equal,2025-12-26,0.0,True
standalone::gain_to_pain_26__top2__score_invvol,2025-12-26,0.0,True
standalone::gain_to_pain_26__top3__equal,2025-12-26,0.0,True
standalone::gain_to_pain_26__top3__score_invvol,2025-12-26,0.0,True
standalone::gain_to_pain_52__top1__equal,2025-12-26,0.0,True
standalone::gain_to_pain_52__top1__score_invvol,2025-12-26,0.0,True
standalone::gain_to_pain_52__top2__equal,2025-12-26,0.0,True
standalone::gain_to_pain_52__top2__score_invvol,2025-12-26,0.0,True
standalone::gain_to_pain_52__top3__equal,2025-12-26,0.0,True
standalone::gain_to_pain_52__top3__score_invvol,2025-12-26,0.0,True
standalone::downside_efficiency_52__top1__equal,2025-12-26,0.0,True
standalone::downside_efficiency_52__top1__score_invvol,2025-12-26,0.0,True
standalone::downside_efficiency_52__top2__equal,2025-12-26,0.0,True
standalone::downside_efficiency_52__top2__score_invvol,2025-12-26,0.0,True
standalone::downside_efficiency_52__top3__equal,2025-12-26,0.0,True
standalone::downside_efficiency_52__top3__score_invvol,2025-12-26,0.0,True
standalone::low_vol_momentum_26__top1__equal,2025-12-26,0.0,True
standalone::low_vol_momentum_26__top1__score_invvol,2025-12-26,0.0,True
