candidate,first_hash,second_hash,deterministic
comparison::breadth_ceiling,53af9091a995351c2e446565c6aa871f53a1e0f9bfe19a21adddede5b4668886,53af9091a995351c2e446565c6aa871f53a1e0f9bfe19a21adddede5b4668886,True
benchmark::SPY,aad7725aef26337c5802ff4d6d743a3a2270713c21b54117c15f0e9b5044b35e,aad7725aef26337c5802ff4d6d743a3a2270713c21b54117c15f0e9b5044b35e,True
benchmark::QQQ,1177f821ee52bc7647239275dfccadd772f9143effeb8b3dead55600ef2e97ad,1177f821ee52bc7647239275dfccadd772f9143effeb8b3dead55600ef2e97ad,True
benchmark::XLK,8a9336a06da647789b2f2d800a106143fdd9d6c4b2215b65b3cd90a6a8322598,8a9336a06da647789b2f2d800a106143fdd9d6c4b2215b65b3cd90a6a8322598,True
benchmark::XLE,a56bd076b260be47afe33b5a14c657cf0ae4a0379e3e6c81d7a70e4103a3f0ea,a56bd076b260be47afe33b5a14c657cf0ae4a0379e3e6c81d7a70e4103a3f0ea,True
benchmark::VUG,35da3470d4cb29047ab6d470bd3a321f06a1911102202af9be66c4e8e9eea57f,35da3470d4cb29047ab6d470bd3a321f06a1911102202af9be66c4e8e9eea57f,True
benchmark::USO,2d5dde174b026893084fadd7bcda33395a5034f81f3aa44d64cdd7ee087ccf01,2d5dde174b026893084fadd7bcda33395a5034f81f3aa44d64cdd7ee087ccf01,True
benchmark_portfolio::XLK75_QQQ25,f13fbc01013ad6b95af726a41eb5d502957efc387b13fcbf231a463d8c4553b9,f13fbc01013ad6b95af726a41eb5d502957efc387b13fcbf231a463d8c4553b9,True
benchmark_portfolio::XLK75_XLE25,712029be3fafaaa50e9f5be9e5ee38f0e003a9f7fc60c4c949ba1557cbe05837,712029be3fafaaa50e9f5be9e5ee38f0e003a9f7fc60c4c949ba1557cbe05837,True
benchmark_portfolio::XLK75_USO25,98f15b883a93d699c2bd088bab8ddc40c1de1f15ad27b9706e63c21fe96617a9,98f15b883a93d699c2bd088bab8ddc40c1de1f15ad27b9706e63c21fe96617a9,True
benchmark_portfolio::XLK50_XLE25_USO25,b02beb44c4861165115e16f0b13069e09d3a0d214907e920e13200df7216a1c9,b02beb44c4861165115e16f0b13069e09d3a0d214907e920e13200df7216a1c9,True
benchmark_portfolio::XLK50_QQQ25_XLE25,35fd606764eb13f277fc84c1c6cfc69c40ef02970771901afeebf5f1ade73942,35fd606764eb13f277fc84c1c6cfc69c40ef02970771901afeebf5f1ade73942,True
benchmark_portfolio::XLK_QQQ_XLE_USO_equal,5133094f233ee1af89de40962da87896b30aa8f4345a5b8c308eac81ee0694da,5133094f233ee1af89de40962da87896b30aa8f4345a5b8c308eac81ee0694da,True
standalone::trend_quality_26__top1__equal,91c3178873aa0587ae635dbf3a7638eac10c6afb431c0aa51e878734d1578767,91c3178873aa0587ae635dbf3a7638eac10c6afb431c0aa51e878734d1578767,True
xlk_blend::trend_quality_26__top1__equal::25,4d3700a138da7b026b5906f7b81ff7fa29524e0d331c43e8d17234a0eaeb0b2f,4d3700a138da7b026b5906f7b81ff7fa29524e0d331c43e8d17234a0eaeb0b2f,True
ceiling_blend::trend_quality_26__top1__equal::25,925e0fa5b8e191fd0dc78c81a2a7a8536b7ffecc7709a0cb88e164a69a0fcaf7,925e0fa5b8e191fd0dc78c81a2a7a8536b7ffecc7709a0cb88e164a69a0fcaf7,True
xlk_blend::trend_quality_26__top1__equal::50,0331ce06a4016e1668a3467a6c0c978957d3345371e1d57e5e9b06729f330b8a,0331ce06a4016e1668a3467a6c0c978957d3345371e1d57e5e9b06729f330b8a,True
ceiling_blend::trend_quality_26__top1__equal::50,6f75c51ec6423fbc19a90ed107035a3dc23ed762f398c2aaf5493aaa9c5d5f07,6f75c51ec6423fbc19a90ed107035a3dc23ed762f398c2aaf5493aaa9c5d5f07,True
xlk_blend::trend_quality_26__top1__equal::75,4baf079fa13687911d15dc0ab1f214944b5e3303e66c5f67da0679647bafadfb,4baf079fa13687911d15dc0ab1f214944b5e3303e66c5f67da0679647bafadfb,True
ceiling_blend::trend_quality_26__top1__equal::75,8470410ad9722292cb949ecac008b8f5100d942f00e201f0bd6bce76a0e31290,8470410ad9722292cb949ecac008b8f5100d942f00e201f0bd6bce76a0e31290,True
regime::tech_leadership::trend_quality_26__top1__equal,bc849e64588ebb8ee5e0d1aeeb8152e19b3e7417681aba299458a9aa1c7159f8,bc849e64588ebb8ee5e0d1aeeb8152e19b3e7417681aba299458a9aa1c7159f8,True
regime::broad_risk_on::trend_quality_26__top1__equal,d33aeb7d81b1243de521b81be12ec3b5ce2ce189d60545320ad72676cee98843,d33aeb7d81b1243de521b81be12ec3b5ce2ce189d60545320ad72676cee98843,True
regime::high_dispersion::trend_quality_26__top1__equal,0f206e54d9745783f9bfa2fbbaa02fec7129d0f1ff9c94975283557e4e11b470,0f206e54d9745783f9bfa2fbbaa02fec7129d0f1ff9c94975283557e4e11b470,True
regime::low_volatility_risk_on::trend_quality_26__top1__equal,39bc65b3a37574ac4b2df026780dc71503a913ccb664aa7642d4c99f1a207324,39bc65b3a37574ac4b2df026780dc71503a913ccb664aa7642d4c99f1a207324,True
standalone::trend_quality_26__top1__score_invvol,91c3178873aa0587ae635dbf3a7638eac10c6afb431c0aa51e878734d1578767,91c3178873aa0587ae635dbf3a7638eac10c6afb431c0aa51e878734d1578767,True
xlk_blend::trend_quality_26__top1__score_invvol::25,4d3700a138da7b026b5906f7b81ff7fa29524e0d331c43e8d17234a0eaeb0b2f,4d3700a138da7b026b5906f7b81ff7fa29524e0d331c43e8d17234a0eaeb0b2f,True
ceiling_blend::trend_quality_26__top1__score_invvol::25,925e0fa5b8e191fd0dc78c81a2a7a8536b7ffecc7709a0cb88e164a69a0fcaf7,925e0fa5b8e191fd0dc78c81a2a7a8536b7ffecc7709a0cb88e164a69a0fcaf7,True
xlk_blend::trend_quality_26__top1__score_invvol::50,0331ce06a4016e1668a3467a6c0c978957d3345371e1d57e5e9b06729f330b8a,0331ce06a4016e1668a3467a6c0c978957d3345371e1d57e5e9b06729f330b8a,True
ceiling_blend::trend_quality_26__top1__score_invvol::50,6f75c51ec6423fbc19a90ed107035a3dc23ed762f398c2aaf5493aaa9c5d5f07,6f75c51ec6423fbc19a90ed107035a3dc23ed762f398c2aaf5493aaa9c5d5f07,True
xlk_blend::trend_quality_26__top1__score_invvol::75,4baf079fa13687911d15dc0ab1f214944b5e3303e66c5f67da0679647bafadfb,4baf079fa13687911d15dc0ab1f214944b5e3303e66c5f67da0679647bafadfb,True
ceiling_blend::trend_quality_26__top1__score_invvol::75,8470410ad9722292cb949ecac008b8f5100d942f00e201f0bd6bce76a0e31290,8470410ad9722292cb949ecac008b8f5100d942f00e201f0bd6bce76a0e31290,True
regime::tech_leadership::trend_quality_26__top1__score_invvol,bc849e64588ebb8ee5e0d1aeeb8152e19b3e7417681aba299458a9aa1c7159f8,bc849e64588ebb8ee5e0d1aeeb8152e19b3e7417681aba299458a9aa1c7159f8,True
regime::broad_risk_on::trend_quality_26__top1__score_invvol,d33aeb7d81b1243de521b81be12ec3b5ce2ce189d60545320ad72676cee98843,d33aeb7d81b1243de521b81be12ec3b5ce2ce189d60545320ad72676cee98843,True
regime::high_dispersion::trend_quality_26__top1__score_invvol,0f206e54d9745783f9bfa2fbbaa02fec7129d0f1ff9c94975283557e4e11b470,0f206e54d9745783f9bfa2fbbaa02fec7129d0f1ff9c94975283557e4e11b470,True
regime::low_volatility_risk_on::trend_quality_26__top1__score_invvol,39bc65b3a37574ac4b2df026780dc71503a913ccb664aa7642d4c99f1a207324,39bc65b3a37574ac4b2df026780dc71503a913ccb664aa7642d4c99f1a207324,True
