candidate,training_score,signal_family,construction,holdout_eligible,training_5y_cagr,training_3y_cagr,training_5y_sharpe,training_5y_drawdown
regime::low_volatility_risk_on::leadership_persistence__top1__score_invvol,0.2656083895839138,leadership_persistence,regime_low_volatility_risk_on,True,0.1779816733431816,0.26467396425746625,0.7941719630076499,-0.292688562356618
regime::low_volatility_risk_on::leadership_persistence__top1__equal,0.2656083895839138,leadership_persistence,regime_low_volatility_risk_on,True,0.1779816733431816,0.26467396425746625,0.7941719630076499,-0.292688562356618
benchmark_portfolio::XLK75_XLE25,0.2558471748008432,benchmark_portfolio,benchmark_portfolio,True,0.17870449034137037,0.22138075770076915,0.822102532857902,-0.3611944022497149
xlk_blend::leadership_persistence__top1__equal::25,0.2502091122260861,leadership_persistence,xlk_blend,True,0.18131258364304714,0.1813583159998755,0.8701406724029516,-0.2926885623566179
xlk_blend::leadership_persistence__top1__score_invvol::25,0.2502091122260861,leadership_persistence,xlk_blend,True,0.18131258364304714,0.1813583159998755,0.8701406724029516,-0.2926885623566179
benchmark_portfolio::XLK50_QQQ25_XLE25,0.24631892310207779,benchmark_portfolio,benchmark_portfolio,True,0.1707394550923078,0.21219030076035672,0.8021815981858607,-0.3550359220909488
xlk_blend::leadership_persistence__top1__equal::50,0.24628545518959505,leadership_persistence,xlk_blend,True,0.16633813136054365,0.2122930885392671,0.8279464981148874,-0.3125111785568544
xlk_blend::leadership_persistence__top1__score_invvol::50,0.24628545518959505,leadership_persistence,xlk_blend,True,0.16633813136054365,0.2122930885392671,0.8279464981148874,-0.3125111785568544
benchmark::XLK,0.24374559813030156,benchmark,benchmark,True,0.19199506350894846,0.1453262390381953,0.8495068831347388,-0.32621187351274494
regime::tech_leadership::leadership_persistence__top1__score_invvol,0.23678264713130215,leadership_persistence,regime_tech_leadership,True,0.16767244999204345,0.2028536392347553,0.7532308536564949,-0.292688562356618
regime::tech_leadership::leadership_persistence__top1__equal,0.23678264713130215,leadership_persistence,regime_tech_leadership,True,0.16767244999204345,0.2028536392347553,0.7532308536564949,-0.292688562356618
benchmark_portfolio::XLK75_QQQ25,0.23459135655053232,benchmark_portfolio,benchmark_portfolio,True,0.1840356985592897,0.1368018884676201,0.8312937087467248,-0.32970815100108986
xlk_blend::leadership_persistence__top1__score_invvol::75,0.23198129433857761,leadership_persistence,xlk_blend,True,0.14725444755607242,0.2377274621983816,0.723103871454197,-0.36120807886710415
xlk_blend::leadership_persistence__top1__equal::75,0.23198129433857761,leadership_persistence,xlk_blend,True,0.14725444755607242,0.2377274621983816,0.723103871454197,-0.36120807886710415
xlk_blend::leadership_persistence__top3__equal::25,0.23058687829955904,leadership_persistence,xlk_blend,True,0.16991324625590298,0.15072964973129133,0.8342003562662985,-0.297449245261715
xlk_blend::trend_quality_52__top3__equal::25,0.22632134235852047,trend_quality_52,xlk_blend,True,0.16605162197840095,0.14648171985377179,0.8274585321534836,-0.29653937407209574
xlk_blend::trend_quality_52__top2__equal::25,0.2248490859337922,trend_quality_52,xlk_blend,True,0.16337004870103278,0.14955904583807356,0.8195934296175047,-0.2947338447401173
xlk_blend::trend_quality_52__top1__score_invvol::25,0.223243030837252,trend_quality_52,xlk_blend,True,0.15957332422602022,0.16119588562627118,0.7914027061375853,-0.28994194595972833
xlk_blend::trend_quality_52__top1__equal::25,0.223243030837252,trend_quality_52,xlk_blend,True,0.15957332422602022,0.16119588562627118,0.7914027061375853,-0.28994194595972833
xlk_blend::leadership_persistence__top2__equal::25,0.2219005758387524,leadership_persistence,xlk_blend,True,0.1636987618642105,0.14333828519093728,0.8067983316294493,-0.2961021002197911
xlk_blend::high_proximity_strength__top1__equal::25,0.22165951595732825,high_proximity_strength,xlk_blend,True,0.1613298476275149,0.14628678969705344,0.8097557047170328,-0.29817395825922777
xlk_blend::high_proximity_strength__top1__score_invvol::25,0.22165951595732825,high_proximity_strength,xlk_blend,True,0.1613298476275149,0.14628678969705344,0.8097557047170328,-0.29817395825922777
xlk_blend::trend_quality_52__top2__score_invvol::25,0.21896961107206733,trend_quality_52,xlk_blend,True,0.15940469950436875,0.1415820384791553,0.808521798256995,-0.2940960104253636
xlk_blend::trend_quality_26__top3__equal::25,0.21893902681411417,trend_quality_26,xlk_blend,True,0.15898319009784334,0.14650867092471098,0.7959651147799487,-0.2968814771584237
xlk_blend::leadership_persistence__top3__score_invvol::25,0.2184667925320485,leadership_persistence,xlk_blend,True,0.16183964545474328,0.1355442627373571,0.8069972643799541,-0.297323088619889
xlk_blend::trend_quality_52__top3__score_invvol::25,0.217296677892586,trend_quality_52,xlk_blend,True,0.1594060196216609,0.13607501011181067,0.8083056308604627,-0.29605427520231276
benchmark_portfolio::XLK75_USO25,0.21649599624493399,benchmark_portfolio,benchmark_portfolio,True,0.14172273735462193,0.21117049202748972,0.6811120622391391,-0.36829747685268555
benchmark_portfolio::XLK50_XLE25_USO25,0.21625167869069709,benchmark_portfolio,benchmark_portfolio,True,0.12211518042449132,0.28202796427222854,0.5837418115433374,-0.43954377060513483
xlk_blend::volatility_breakout__top3__score_invvol::25,0.21620322207674275,volatility_breakout,xlk_blend,True,0.15644051390826252,0.13823698757392489,0.8086781745960777,-0.30907767688361365
benchmark::XLE,0.2161479650441906,benchmark,benchmark,True,0.08939235665068646,0.40149443547722563,0.42064220410611014,-0.6389337226618634
xlk_blend::drawdown_recovery__top3__equal::25,0.21599609658314384,drawdown_recovery,xlk_blend,True,0.159198364574356,0.13601436201440675,0.7967276923420822,-0.2992716955460424
