name,state,n_weeks,stage1_risky_budget,stage1_cash_budget,intended_risky_budget,intended_cash_budget,post_overlay_risky_budget,post_overlay_cash_budget,final_etf_risky_budget,final_etf_cash_budget,overlay_cash_added,overlay_absorption,lookthrough_absorption,total_absorption,duplicated_cash_over_intended,recovery_regime_relief_cash,guardrail_cash_added,excess_cash_not_guardrail,target_vol_active_share,panic_guardrail_active_share,avg_target_vol_required_cash,target_vol_shortfall_avg,avg_self_gated_overlay_cut_risky,avg_non_self_gated_overlay_cut_risky
improved_phase2b_regime_confidence_boost,calm_trend,295,0.9728813559322034,0.02711864406779661,0.9728813559322034,0.02711864406779661,0.9664835742167562,0.033516425783243604,0.9315193152046186,0.06848068479538143,0.006397781715446992,0.0063977817154469915,0.03496425901213783,0.04136204072758482,0.006397781715446994,0.0,0.027245878483315382,0.006270547299928218,0.003389830508474576,0.0,0.0001272344155187757,9.408669700213191e-20,6.092931456808475e-05,6.630510095069085e-05
improved_phase2b_regime_confidence_boost,neutral_healthy_proxy,293,0.8907849829351536,0.10921501706484642,0.8907849829351536,0.10921501706484642,0.8507665993919976,0.14923340060800244,0.7869310827127224,0.21306891728727764,0.040018383543156025,0.04001838354315603,0.06383551667927517,0.1038539002224312,0.040018383543156025,0.04000217779688025,0.1092312228111222,0.04000217779688025,0.0034129692832764505,0.0,1.6205746275778836e-05,0.0,0.002836488435141885,0.003721779078646857
improved_phase2b_regime_confidence_boost,neutral_mixed,200,0.825,0.175,0.825,0.175,0.6683323610110814,0.3316676389889186,0.6140118110878975,0.3859881889121024,0.1566676389889185,0.1566676389889185,0.05432054992318397,0.21098818891210244,0.1566676389889185,0.0,0.175,0.1566676389889185,0.0,0.0,0.0,0.0,0.014673856278763298,0.01789787567129942
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,1.0,2.523234146875355e-18,1.0,2.523234146875355e-18,0.9361623843434809,0.06383761565651912,0.8743227924924988,0.12567720750750142,0.06383761565651912,0.06383761565651913,0.06183959185098225,0.1256772075075014,0.06383761565651912,0.06383761565651912,2.523234146875355e-18,0.06383761565651912,0.0,0.0,0.0,0.0,0.005357162642833446,0.009152773887640225
improved_phase2b_regime_confidence_boost,recovery_fragile,49,1.0,2.265761274745217e-18,1.0,2.265761274745217e-18,0.8764868292556013,0.12351317074439862,0.7817820996671325,0.21821790033286736,0.12351317074439862,0.12351317074439862,0.09470472958846875,0.21821790033286736,0.12351317074439862,0.12351317074439862,2.265761274745217e-18,0.12351317074439862,0.0,0.0,0.0,0.0,0.0022118806091238202,0.003585116260994237
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.9912663755458515,0.008733624454148473,0.9912663755458515,0.008733624454148473,0.4906752780797398,0.5093247219202602,0.39258630161550856,0.6074136983844914,0.5005910974661117,0.5005910974661117,0.09808897646423119,0.598680073930343,0.5005910974661117,0.0,0.5093247219202602,0.0,0.0,1.0,0.0003353491018264966,0.0,0.04512372517189488,0.04901721485996033
improved_phasevv_recovery_neutral_budget_aware_overlay,calm_trend,295,0.9728813559322034,0.02711864406779661,0.9728813559322034,0.02711864406779661,0.9659339162713918,0.03406608372860824,0.931825403273483,0.068174596726517,0.006947439660811625,0.006947439660811625,0.03410851299790878,0.041055952658720404,0.006947439660811627,0.0,0.027249753318017662,0.006816330410590574,0.003389830508474576,0.0,0.00013110925022105372,1.6465171975373085e-19,6.185861881151356e-05,6.925063140954e-05
improved_phasevv_recovery_neutral_budget_aware_overlay,neutral_healthy_proxy,293,0.8907849829351536,0.10921501706484642,0.865,0.13500000000000004,0.8482112542838964,0.15178874571610365,0.7912925899194301,0.20870741008057003,0.042573728651257206,0.042573728651257206,0.05691866436446644,0.09949239301572364,0.09876600039123655,0.09876600039123655,0.053022745324867074,0.09876600039123655,0.0034129692832764505,0.0,2.8401728534019087e-05,3.13789570739832e-19,0.003545733981018044,0.003876499703859395
improved_phasevv_recovery_neutral_budget_aware_overlay,neutral_mixed,200,0.825,0.175,0.825,0.175,0.6677188077124668,0.3322811922875333,0.6148505359478608,0.3851494640521392,0.15728119228753326,0.15728119228753326,0.05286827176460593,0.2101494640521392,0.15728119228753326,0.0,0.17509344649946,0.1571877457880733,0.0,0.0,9.344649945997597e-05,0.0,0.015131276919410385,0.017499334528014797
improved_phasevv_recovery_neutral_budget_aware_overlay,recovery_confirmed,44,1.0,1.0092936587501423e-17,0.9399999999999996,0.060000000000000005,0.936294935873189,0.06370506412681065,0.8932946317905578,0.10670536820944214,0.06370506412681065,0.06370506412681065,0.04300030408263148,0.10670536820944211,0.01590909090909091,0.01590909090909091,0.04779597321771976,0.01590909090909091,0.0,0.0,0.003060038117816736,0.0,0.008748327281420195,0.00595525567096199
