,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2021-04-30,0.24720748589761063,0.09486835040891765,0.1192296104070427,0.07495859134195615,0.33491861043689564,0.11463187409590299,0.014185477411674197
2021-05-07,0.24720748589761063,0.09486835040891765,0.1192296104070427,0.07495859134195615,0.33491861043689564,0.11463187409590299,0.014185477411674197
2021-05-14,0.24720748589761063,0.09486835040891765,0.1192296104070427,0.07495859134195615,0.33491861043689564,0.11463187409590299,0.014185477411674197
2021-05-21,0.24720748589761063,0.09486835040891765,0.1192296104070427,0.07495859134195615,0.33491861043689564,0.11463187409590299,0.014185477411674197
2021-05-28,0.2488179752874628,0.09231013887034527,0.11923994755744656,0.06933772636666426,0.3421859511337243,0.11431569943955079,0.013792561344805998
2021-06-04,0.2488179752874628,0.09231013887034527,0.11923994755744656,0.06933772636666426,0.3421859511337243,0.11431569943955079,0.013792561344805998
2021-06-11,0.2488179752874628,0.09231013887034527,0.11923994755744656,0.06933772636666426,0.3421859511337243,0.11431569943955079,0.013792561344805998
2021-06-18,0.2488179752874628,0.09231013887034527,0.11923994755744656,0.06933772636666426,0.3421859511337243,0.11431569943955079,0.013792561344805998
2021-06-25,0.24778221189566316,0.0905620348431733,0.11910837532497359,0.06796302815224955,0.34575165430974825,0.11342264348770231,0.015410051986489703
2021-07-02,0.24778221189566316,0.0905620348431733,0.11910837532497359,0.06796302815224955,0.34575165430974825,0.11342264348770231,0.015410051986489703
2021-07-09,0.24778221189566316,0.0905620348431733,0.11910837532497359,0.06796302815224955,0.34575165430974825,0.11342264348770231,0.015410051986489703
2021-07-16,0.24778221189566316,0.0905620348431733,0.11910837532497359,0.06796302815224955,0.34575165430974825,0.11342264348770231,0.015410051986489703
2021-07-23,0.24778221189566316,0.0905620348431733,0.11910837532497359,0.06796302815224955,0.34575165430974825,0.11342264348770231,0.015410051986489703
2021-07-30,0.15816777957150685,0.09262436654490551,0.11883119285351665,0.06738982106700182,0.34906263714765784,0.2017797432660088,0.012144459549402575
2021-08-06,0.15816777957150685,0.09262436654490551,0.11883119285351665,0.06738982106700182,0.34906263714765784,0.2017797432660088,0.012144459549402575
2021-08-13,0.15816777957150685,0.09262436654490551,0.11883119285351665,0.06738982106700182,0.34906263714765784,0.2017797432660088,0.012144459549402575
2021-08-20,0.15816777957150685,0.09262436654490551,0.11883119285351665,0.06738982106700182,0.34906263714765784,0.2017797432660088,0.012144459549402575
2021-08-27,0.1383360101175904,0.09279823460427958,0.11815840224190245,0.0667100397105444,0.35231879324236764,0.21823754408047719,0.013440976002838445
