,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2018-12-07,0.06283430727248718,0.15714035237271903,0.20139351629573596,0.04612004311021057,0.2747845313124639,0.2577272496363834,0.0
2018-12-14,0.06283430727248718,0.15714035237271903,0.20139351629573596,0.04612004311021057,0.2747845313124639,0.2577272496363834,0.0
2018-12-21,0.06283430727248718,0.15714035237271903,0.20139351629573596,0.04612004311021057,0.2747845313124639,0.2577272496363834,0.0
2018-12-28,0.06386868282429269,0.06380951851792645,0.2654732177557754,0.11075963784525912,0.31384717051475597,0.18224177254199034,0.0
2019-01-04,0.06386868282429269,0.06380951851792645,0.2654732177557754,0.11075963784525912,0.31384717051475597,0.18224177254199034,0.0
2019-01-11,0.06386868282429269,0.06380951851792645,0.2654732177557754,0.11075963784525912,0.31384717051475597,0.18224177254199034,0.0
2019-01-18,0.06386868282429269,0.06380951851792645,0.2654732177557754,0.11075963784525912,0.31384717051475597,0.18224177254199034,0.0
2019-01-25,0.06634746148051067,0.06759928249270274,0.25922257095192586,0.11103384855248508,0.3149458234588835,0.1808510130634922,0.0
2019-02-01,0.06634746148051067,0.06759928249270274,0.25922257095192586,0.11103384855248508,0.3149458234588835,0.1808510130634922,0.0
2019-02-08,0.06634746148051067,0.06759928249270274,0.25922257095192586,0.11103384855248508,0.3149458234588835,0.1808510130634922,0.0
2019-02-15,0.06634746148051067,0.06759928249270274,0.25922257095192586,0.11103384855248508,0.3149458234588835,0.1808510130634922,0.0
2019-02-22,0.07682871140557818,0.07945018075229732,0.21366349563944695,0.13461585356922603,0.27191120203759295,0.22353055659585852,0.0
2019-03-01,0.07682871140557818,0.07945018075229732,0.21366349563944695,0.13461585356922603,0.27191120203759295,0.22353055659585852,0.0
2019-03-08,0.07682871140557818,0.07945018075229732,0.21366349563944695,0.13461585356922603,0.27191120203759295,0.22353055659585852,0.0
2019-03-15,0.07682871140557818,0.07945018075229732,0.21366349563944695,0.13461585356922603,0.27191120203759295,0.22353055659585852,0.0
2019-03-22,0.07682871140557818,0.07945018075229732,0.21366349563944695,0.13461585356922603,0.27191120203759295,0.22353055659585852,0.0
2019-03-29,0.06934070937046022,0.0725014313924755,0.2782792739339209,0.12146413566486136,0.2895130895432678,0.16890136009501425,0.0
2019-04-05,0.06934070937046022,0.0725014313924755,0.2782792739339209,0.12146413566486136,0.2895130895432678,0.16890136009501425,0.0
2019-04-12,0.06934070937046022,0.0725014313924755,0.2782792739339209,0.12146413566486136,0.2895130895432678,0.16890136009501425,0.0
2019-04-19,0.06934070937046022,0.0725014313924755,0.2782792739339209,0.12146413566486136,0.2895130895432678,0.16890136009501425,0.0
2019-04-26,0.0204,0.19916213695633359,0.09244804694365583,0.36798981610001064,0.2077261806875219,0.11227381931247811,0.0
2019-05-03,0.0204,0.19916213695633359,0.09244804694365583,0.36798981610001064,0.2077261806875219,0.11227381931247811,0.0
2019-05-10,0.0204,0.19916213695633359,0.09244804694365583,0.36798981610001064,0.2077261806875219,0.11227381931247811,0.0
2019-05-17,0.0204,0.19916213695633359,0.09244804694365583,0.36798981610001064,0.2077261806875219,0.11227381931247811,0.0
2019-05-24,0.0204,0.19916213695633359,0.09244804694365583,0.36798981610001064,0.2077261806875219,0.11227381931247811,0.0
2019-05-31,0.07388393804426134,0.07692281492842364,0.16627721078709912,0.05691932354891367,0.4131584832948079,0.21283822939649433,0.0
2019-06-07,0.07388393804426134,0.07692281492842364,0.16627721078709912,0.05691932354891367,0.4131584832948079,0.21283822939649433,0.0
2019-06-14,0.07388393804426134,0.07692281492842364,0.16627721078709912,0.05691932354891367,0.4131584832948079,0.21283822939649433,0.0
2019-06-21,0.07388393804426134,0.07692281492842364,0.16627721078709912,0.05691932354891367,0.4131584832948079,0.21283822939649433,0.0
2019-06-28,0.0204,0.20894196407044527,0.09832553844441813,0.3523324974851366,0.22061463350753688,0.09938536649246314,0.0
2019-07-05,0.0204,0.20894196407044527,0.09832553844441813,0.3523324974851366,0.22061463350753688,0.09938536649246314,0.0
2019-07-12,0.0204,0.20894196407044527,0.09832553844441813,0.3523324974851366,0.22061463350753688,0.09938536649246314,0.0
2019-07-19,0.0204,0.20894196407044527,0.09832553844441813,0.3523324974851366,0.22061463350753688,0.09938536649246314,0.0
2019-07-26,0.13260102556542755,0.13528063221231804,0.21588707124459164,0.16623127097766277,0.23774939167133988,0.11225060832866009,0.0
2019-08-02,0.13260102556542755,0.13528063221231804,0.21588707124459164,0.16623127097766277,0.23774939167133988,0.11225060832866009,0.0
2019-08-09,0.13260102556542755,0.13528063221231804,0.21588707124459164,0.16623127097766277,0.23774939167133988,0.11225060832866009,0.0
