variant,cost_bps,full_observations,full_years,full_total_return,full_annual_return,full_annual_volatility,full_sharpe_zero_rf,full_sortino_zero_target,full_max_drawdown,full_max_drawdown_duration_weeks,full_calmar,full_cvar_5_weekly,full_positive_week_share,full_worst_week,full_best_week,full_annual_turnover,full_mean_invested_weight,oos_2016_2020_observations,oos_2016_2020_years,oos_2016_2020_total_return,oos_2016_2020_annual_return,oos_2016_2020_annual_volatility,oos_2016_2020_sharpe_zero_rf,oos_2016_2020_sortino_zero_target,oos_2016_2020_max_drawdown,oos_2016_2020_max_drawdown_duration_weeks,oos_2016_2020_calmar,oos_2016_2020_cvar_5_weekly,oos_2016_2020_positive_week_share,oos_2016_2020_worst_week,oos_2016_2020_best_week,oos_2016_2020_annual_turnover,oos_2016_2020_mean_invested_weight,oos_2021_present_observations,oos_2021_present_years,oos_2021_present_total_return,oos_2021_present_annual_return,oos_2021_present_annual_volatility,oos_2021_present_sharpe_zero_rf,oos_2021_present_sortino_zero_target,oos_2021_present_max_drawdown,oos_2021_present_max_drawdown_duration_weeks,oos_2021_present_calmar,oos_2021_present_cvar_5_weekly,oos_2021_present_positive_week_share,oos_2021_present_worst_week,oos_2021_present_best_week,oos_2021_present_annual_turnover,oos_2021_present_mean_invested_weight
source_exact,10,1120,21.5384615385,0.86125640075,0.029263842787,0.124477570791,0.295127379866,0.387369740398,-0.401507333392,406,0.0728849521621,-0.0455842983031,0.567857142857,-0.156110114449,0.0928238424777,43.5898734968,0.679517031208,261,5.01923076923,0.0299788809988,0.00590237569714,0.125466665368,0.110784603182,0.140778609902,-0.365940341584,152,0.0161293386555,-0.0457213069385,0.574712643678,-0.11005067917,0.0928238424777,45.3113292477,0.67568284791,293,5.63461538462,0.223212321151,0.0364046146305,0.10307914324,0.398682908875,0.55472222542,-0.20679295054,130,0.176043789382,-0.0332740065451,0.549488054608,-0.078413184016,0.0406046577612,44.9382324297,0.683040553493
source_exact,50,1120,21.5384615385,-0.956600533454,-0.135549068255,0.121579451946,-1.13428341901,-1.33112912188,-0.957461537169,1119,-0.14157129346,-0.0483030421664,0.422321428571,-0.157135231944,0.0863465343968,43.5898734968,0.679517031208,261,5.01923076923,-0.585604126374,-0.16097238951,0.121869077965,-1.37541878818,-1.57221528846,-0.655939478581,260,-0.245407380964,-0.0482597824407,0.383141762452,-0.112515586923,0.0863465343968,45.3113292477,0.67568284791,293,5.63461538462,-0.55608368565,-0.134225132722,0.100621283732,-1.37979352108,-1.62533310857,-0.562770332414,292,-0.238507833463,-0.0366086729253,0.412969283276,-0.0803908810745,0.0374817647837,44.9382324297,0.683040553493
source_exact,100,1120,21.5384615385,-0.999607750069,-0.30522530755,0.119356858643,-2.97918120464,-3.01232772001,-0.999608913083,1119,-0.305344723877,-0.0518417798588,0.2625,-0.158415407957,0.0782770609864,43.5898734968,0.679517031208,261,5.01923076923,-0.867472347414,-0.331450046135,0.118657297961,-3.31925370329,-3.26881276282,-0.867243641208,260,-0.382187923193,-0.051718168323,0.214559386973,-0.115589661377,0.0782770609864,45.3113292477,0.67568284791,293,5.63461538462,-0.875235658193,-0.308839042224,0.0994714213684,-3.65002661395,-3.51488866018,-0.875094043923,292,-0.352920973887,-0.0409890597219,0.269624573379,-0.0828592161837,0.0335874337756,44.9382324297,0.683040553493
source_exact_stale_1d,10,1120,21.5384615385,0.52411706055,0.019758371722,0.129959313768,0.216169192975,0.295137466573,-0.411412058946,319,0.0480257476474,-0.0456064566483,0.5375,-0.151040450933,0.142902924688,43.5032974575,0.679820011214,261,5.01923076923,0.0638881586306,0.0124150326618,0.133023254083,0.15945077888,0.217190187991,-0.356369580838,155,0.0348375207351,-0.0450073490332,0.555555555556,-0.113144231161,0.142902924688,45.3154431586,0.675841966144,293,5.63461538462,0.188814138676,0.0311712725025,0.104311342241,0.346473733093,0.497068059863,-0.196000596894,193,0.159036620278,-0.0325330238887,0.539249146758,-0.0747283981754,0.0505528867628,44.8311957532,0.682785105016
source_exact_stale_1d,50,1120,21.5384615385,-0.964204209461,-0.143245323277,0.128539142589,-1.13588359505,-1.38789425988,-0.964775741738,1119,-0.148475253968,-0.0485308033551,0.414285714286,-0.152737028901,0.136135873205,43.5032974575,0.679820011214,261,5.01923076923,-0.571955854215,-0.155538028995,0.130498214958,-1.22768367725,-1.50642404683,-0.64834729646,260,-0.239899248203,-0.0478581590251,0.39846743295,-0.115238286503,0.136135873205,45.3154431586,0.675841966144,293,5.63461538462,-0.567612809685,-0.138259020357,0.1028756691,-1.39274264786,-1.68258831988,-0.571154673887,292,-0.242069314458,-0.0357109146454,0.402730375427,-0.0776017579561,0.0437456404952,44.8311957532,0.682785105016
source_exact_stale_1d,100,1120,21.5384615385,-0.999673533424,-0.311121687722,0.128165486964,-2.83230015803,-2.99239508582,-0.999674516219,1119,-0.311222985756,-0.052334809314,0.280357142857,-0.15485432477,0.127705406431,43.5032974575,0.679820011214,261,5.01923076923,-0.863105228112,-0.327117637159,0.128718949037,-3.00112692151,-3.18405592444,-0.864204138016,260,-0.378518943349,-0.0516421737724,0.222222222222,-0.117851058352,0.127705406431,45.3154431586,0.675841966144,293,5.63461538462,-0.878139182341,-0.311721386817,0.102911012445,-3.56508874452,-3.51390987482,-0.877880789668,292,-0.355083959561,-0.0400637912999,0.279863481229,-0.0811843685319,0.0367504272116,44.8311957532,0.682785105016
source_exact_stale_5d,10,1120,21.5384615385,-0.306407374351,-0.0168433810149,0.12049712324,-0.0799869696465,-0.106690573117,-0.54646730368,1027,-0.0308223033683,-0.0421015368649,0.504464285714,-0.14802775486,0.111482621061,43.4989239915,0.681309233962,261,5.01923076923,-0.0178541798072,-0.00358285893334,0.118019523145,0.0295560035765,0.0379597244884,-0.300466398875,118,-0.0119243248055,-0.0418043724084,0.547892720307,-0.111798201388,0.0972780819011,45.3055484585,0.680030702588,293,5.63461538462,0.0771882963546,0.0132834213153,0.0965080237698,0.184662511429,0.275727403912,-0.214543139616,217,0.0619149199508,-0.0274613357015,0.498293515358,-0.0371798275287,0.0611422548534,44.7408366872,0.68223117279
source_exact_stale_5d,50,1120,21.5384615385,-0.983719871415,-0.174019436531,0.121479000403,-1.5093074405,-1.79498838011,-0.983940587187,1118,-0.176859699455,-0.0454438020469,0.385714285714,-0.150087018004,0.109926898949,43.4989239915,0.681309233962,261,5.01923076923,-0.604888648116,-0.168900676698,0.119412741708,-1.48576439283,-1.72186740046,-0.623410703977,260,-0.270930023531,-0.045891686142,0.394636015326,-0.114144848606,0.0967721207934,45.3055484585,0.680030702588,293,5.63461538462,-0.60739621198,-0.152894864068,0.0974308379718,-1.65182723324,-2.03127739898,-0.616394487582,287,-0.248047098325,-0.0306570327199,0.38566552901,-0.0422294952771,0.058726574609,44.7408366872,0.68223117279
source_exact_stale_5d,100,1120,21.5384615385,-0.999851634073,-0.335889242311,0.12410034041,-3.22213063059,-3.306336918,-0.999851071724,1119,-0.335939273168,-0.0499599249187,0.255357142857,-0.152656515092,0.107984454768,43.4989239915,0.681309233962,261,5.01923076923,-0.873655587194,-0.337783997852,0.122543971297,-3.28760643292,-3.31432637797,-0.875196780263,260,-0.385952057262,-0.0510738028333,0.23754789272,-0.117075526737,0.0961399152703,45.3055484585,0.680030702588,293,5.63461538462,-0.889062810016,-0.323098245905,0.10044297645,-3.82031958292,-3.77773841797,-0.890356098094,292,-0.362886542358,-0.0354119631086,0.266211604096,-0.0485158109642,0.0557127757321,44.7408366872,0.68223117279
source_exact_random_matched,10,1120,21.5384615385,-0.738674259004,-0.0604052062594,0.11140773185,-0.502378948876,-0.62360171536,-0.803465731024,994,-0.0751808122325,-0.0421340638592,0.498214285714,-0.131471681834,0.0996666934268,115.050289573,0.679517031208,261,5.01923076923,-0.323099878538,-0.0748017883864,0.109307240368,-0.654804371093,-0.769455874481,-0.488549835411,222,-0.153109842568,-0.0427068517661,0.513409961686,-0.109510766148,0.0736302283875,118.980428496,0.67568284791,293,5.63461538462,-0.348529788471,-0.0732319598425,0.0943238195718,-0.758412526283,-0.94746558972,-0.377318663591,292,-0.194085177621,-0.0325035674213,0.467576791809,-0.0597964723066,0.0327032195799,113.403700756,0.683040553493
source_exact_random_matched,50,1120,21.5384615385,-0.999987232697,-0.407370623726,0.111825751329,-4.59790818662,-4.09628161381,-0.999987244434,1119,-0.407375820035,-0.0507956898911,0.190178571429,-0.135129288733,0.0891518531615,115.050289573,0.679517031208,261,5.01923076923,-0.938119733077,-0.425570878018,0.109375662855,-4.98535278264,-4.28737025822,-0.937635167982,260,-0.453876830296,-0.0510239940926,0.134099616858,-0.116751278243,0.0657566833009,118.980428496,0.67568284791,293,5.63461538462,-0.9496346308,-0.411614914306,0.0950875187403,-5.50130019074,-4.52538688371,-0.949455300786,292,-0.433527427742,-0.0417772555985,0.18771331058,-0.0673399128756,0.027235979407,113.403700756,0.683040553493
source_exact_random_matched,100,1120,21.5384615385,-0.999999999949,-0.667373116216,0.116708377789,-9.27210842355,-5.75870554721,-0.999999999949,1119,-0.66737311625,-0.0620005663408,0.0491071428571,-0.139684086859,0.0761174509784,115.050289573,0.679517031208,261,5.01923076923,-0.996913039601,-0.683896035554,0.113415863925,-9.98415179895,-5.9131369829,-0.996858873268,260,-0.686051008717,-0.0617111245118,0.0268199233716,-0.125740396034,0.0559651127896,118.980428496,0.67568284791,293,5.63461538462,-0.997963427984,-0.667034992479,0.10196735716,-10.6196579341,-5.99079687435,-0.997946307252,292,-0.668407696518,-0.0538984365151,0.0443686006826,-0.0767027757152,0.0238708609866,113.403700756,0.683040553493
